sample,candidate,interval,step,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,roll1y_worst,roll1y_neg,roll1y_win,roll2y_worst,roll2y_neg,roll2y_win,bench_return,bench_sharpe,bench_mdd
5y,H,1,0.01,0.9481,0.1429,-0.364,0.2194,0.721,-0.3528404878542909,0.15169660678642716,0.4630738522954092,-0.0871930603553015,0.042666666666666665,0.64,0.8025,0.633,-0.364
5y,H,1,0.02,0.8821,0.135,-0.364,0.2205,0.687,-0.3528404878542909,0.1536926147704591,0.4301397205588822,-0.112859962449256,0.072,0.5586666666666666,0.8025,0.633,-0.364
5y,H,1,0.03,0.8332,0.129,-0.364,0.222,0.66,-0.3528404878542909,0.15469061876247506,0.41916167664670656,-0.13207919057902484,0.09066666666666667,0.23333333333333334,0.8025,0.633,-0.364
5y,H,1,0.05,0.8313,0.1288,-0.364,0.2238,0.655,-0.3528404878542909,0.15768463073852296,0.38622754491017963,-0.13978422244789457,0.09333333333333334,0.22533333333333333,0.8025,0.633,-0.364
5y,H,1,0.07,0.8271,0.1283,-0.364,0.2244,0.652,-0.3528404878542909,0.15768463073852296,0.405189620758483,-0.15085987509209464,0.096,0.22933333333333333,0.8025,0.633,-0.364
5y,H,1,0.1,0.834,0.1291,-0.364,0.225,0.654,-0.3528404878542909,0.15868263473053892,0.3912175648702595,-0.16124936172172566,0.10133333333333333,0.21066666666666667,0.8025,0.633,-0.364
5y,H,1,0.15,0.8447,0.1304,-0.364,0.2253,0.659,-0.3528404878542909,0.15868263473053892,0.38922155688622756,-0.15888781956356857,0.09866666666666667,0.5186666666666667,0.8025,0.633,-0.364
5y,H,1,0.2,0.857,0.1319,-0.364,0.2256,0.664,-0.3528404878542909,0.15868263473053892,0.4161676646706587,-0.15743173231653884,0.09733333333333333,0.516,0.8025,0.633,-0.364
5y,H,1,0.25,0.8731,0.1339,-0.364,0.2258,0.672,-0.3528404878542909,0.16067864271457086,0.49700598802395207,-0.15558217017806253,0.09733333333333333,0.6586666666666666,0.8025,0.633,-0.364
5y,H,1,0.3,0.8742,0.134,-0.364,0.226,0.672,-0.3528404878542909,0.16067864271457086,0.5838323353293413,-0.15675966055684076,0.09733333333333333,0.776,0.8025,0.633,-0.364
5y,H,1,0.4,0.888,0.1357,-0.364,0.2262,0.678,-0.3528404878542909,0.16067864271457086,0.591816367265469,-0.15443154013892846,0.09733333333333333,0.7893333333333333,0.8025,0.633,-0.364
5y,H,1,0.5,0.9077,0.1381,-0.364,0.2264,0.687,-0.3528404878542909,0.1596806387225549,0.6047904191616766,-0.14975952344734678,0.09466666666666666,0.8093333333333333,0.8025,0.633,-0.364
5y,H,1,0.75,0.9212,0.1397,-0.364,0.2265,0.693,-0.3528404878542909,0.16067864271457086,0.6187624750499002,-0.14755643427457488,0.09333333333333334,0.808,0.8025,0.633,-0.364
5y,H,1,1.0,0.9346,0.1413,-0.364,0.2266,0.699,-0.3528404878542909,0.16067864271457086,0.6127744510978044,-0.14540750652015666,0.09333333333333334,0.8093333333333333,0.8025,0.633,-0.364
5y,H,2,0.01,0.9822,0.1468,-0.364,0.2191,0.737,-0.3528404878542909,0.15169660678642716,0.48502994011976047,-0.07368714276355592,0.030666666666666665,0.6733333333333333,0.8025,0.633,-0.364
5y,H,2,0.02,0.9499,0.1431,-0.364,0.2194,0.722,-0.3528404878542909,0.15169660678642716,0.47604790419161674,-0.0860908819938766,0.042666666666666665,0.644,0.8025,0.633,-0.364
5y,H,2,0.03,0.9178,0.1393,-0.364,0.2198,0.706,-0.3528404878542909,0.1536926147704591,0.46107784431137727,-0.09842502545390852,0.052,0.6053333333333333,0.8025,0.633,-0.364
5y,H,2,0.05,0.8542,0.1316,-0.364,0.2212,0.672,-0.3528404878542909,0.1536926147704591,0.406187624750499,-0.12297325902295164,0.08533333333333333,0.5146666666666667,0.8025,0.633,-0.364
5y,H,2,0.07,0.8237,0.1279,-0.364,0.2225,0.654,-0.3528404878542909,0.15469061876247506,0.39520958083832336,-0.13294595309096102,0.09066666666666667,0.228,0.8025,0.633,-0.364
5y,H,2,0.1,0.8345,0.1292,-0.364,0.2237,0.657,-0.3528404878542909,0.156686626746507,0.38922155688622756,-0.13693658823579735,0.09333333333333334,0.224,0.8025,0.633,-0.364
5y,H,2,0.15,0.8322,0.1289,-0.364,0.2244,0.655,-0.3528404878542909,0.15768463073852296,0.38323353293413176,-0.1496858211699187,0.096,0.216,0.8025,0.633,-0.364
5y,H,2,0.2,0.8396,0.1298,-0.364,0.2249,0.657,-0.3528404878542909,0.15868263473053892,0.3972055888223553,-0.1573796299577397,0.09866666666666667,0.5186666666666667,0.8025,0.633,-0.364
5y,H,2,0.25,0.8461,0.1306,-0.364,0.2251,0.66,-0.3528404878542909,0.15868263473053892,0.39421157684630737,-0.15783044518054834,0.09866666666666667,0.5306666666666666,0.8025,0.633,-0.364
5y,H,2,0.3,0.8525,0.1314,-0.364,0.2253,0.663,-0.3528404878542909,0.15768463073852296,0.39520958083832336,-0.15511015702417752,0.09866666666666667,0.5306666666666666,0.8025,0.633,-0.364
5y,H,2,0.4,0.864,0.1328,-0.364,0.2255,0.668,-0.3528404878542909,0.15868263473053892,0.41417165668662675,-0.15266218495632045,0.09733333333333333,0.5293333333333333,0.8025,0.633,-0.364
5y,H,2,0.5,0.8743,0.1341,-0.364,0.2257,0.673,-0.3528404878542909,0.15868263473053892,0.4301397205588822,-0.15191327171192892,0.09733333333333333,0.5386666666666666,0.8025,0.633,-0.364
5y,H,2,0.75,0.8778,0.1345,-0.364,0.226,0.674,-0.3528404878542909,0.15868263473053892,0.41916167664670656,-0.15298864907965382,0.09733333333333333,0.544,0.8025,0.633,-0.364
5y,H,2,1.0,0.8811,0.1349,-0.364,0.2264,0.674,-0.3528404878542909,0.15868263473053892,0.5099800399201597,-0.15408963073719306,0.09733333333333333,0.6626666666666666,0.8025,0.633,-0.364
5y,H,3,0.01,0.993,0.1481,-0.364,0.219,0.743,-0.3528404878542909,0.15169660678642716,0.5069860279441117,-0.06944837258121883,0.028,0.6866666666666666,0.8025,0.633,-0.364
5y,H,3,0.02,0.9714,0.1456,-0.364,0.2192,0.732,-0.3528404878542909,0.15169660678642716,0.49001996007984033,-0.07765193286932637,0.032,0.6586666666666666,0.8025,0.633,-0.364
5y,H,3,0.03,0.9499,0.1431,-0.364,0.2194,0.722,-0.3528404878542909,0.15169660678642716,0.4820359281437126,-0.08582458528908787,0.042666666666666665,0.6466666666666666,0.8025,0.633,-0.364
5y,H,3,0.05,0.9072,0.138,-0.364,0.22,0.7,-0.3528404878542909,0.1536926147704591,0.4471057884231537,-0.1020770435365278,0.058666666666666666,0.5866666666666667,0.8025,0.633,-0.364
5y,H,3,0.07,0.8647,0.1329,-0.364,0.2209,0.678,-0.3528404878542909,0.1536926147704591,0.4241516966067864,-0.11820550546283504,0.08133333333333333,0.5466666666666666,0.8025,0.633,-0.364
5y,H,3,0.1,0.8193,0.1273,-0.364,0.2223,0.652,-0.3528404878542909,0.15469061876247506,0.405189620758483,-0.13272345521391193,0.09066666666666667,0.21866666666666668,0.8025,0.633,-0.364
5y,H,3,0.15,0.8256,0.1281,-0.364,0.2236,0.653,-0.3528404878542909,0.156686626746507,0.37524950099800397,-0.13806880684389444,0.09333333333333334,0.22666666666666666,0.8025,0.633,-0.364
5y,H,3,0.2,0.8258,0.1281,-0.364,0.2242,0.652,-0.3528404878542909,0.15768463073852296,0.3902195608782435,-0.14488494446613776,0.09466666666666666,0.22266666666666668,0.8025,0.633,-0.364
5y,H,3,0.25,0.814,0.1267,-0.364,0.2245,0.646,-0.3528404878542909,0.15768463073852296,0.38622754491017963,-0.1573091434472772,0.10133333333333333,0.19866666666666666,0.8025,0.633,-0.364
5y,H,3,0.3,0.8155,0.1268,-0.364,0.2248,0.646,-0.3528404878542909,0.15868263473053892,0.36926147704590817,-0.16271002567323356,0.104,0.20533333333333334,0.8025,0.633,-0.364
5y,H,3,0.4,0.8172,0.1271,-0.364,0.2251,0.646,-0.3528404878542909,0.1596806387225549,0.37325349301397204,-0.16547001266596262,0.10533333333333333,0.20533333333333334,0.8025,0.633,-0.364
5y,H,3,0.5,0.8177,0.1271,-0.364,0.2253,0.646,-0.3528404878542909,0.15868263473053892,0.3782435129740519,-0.16452826988931335,0.10533333333333333,0.204,0.8025,0.633,-0.364
5y,H,3,0.75,0.8159,0.1269,-0.364,0.2255,0.645,-0.3528404878542909,0.16067864271457086,0.36227544910179643,-0.16866443848001333,0.10533333333333333,0.15333333333333332,0.8025,0.633,-0.364
5y,H,3,1.0,0.8135,0.1266,-0.364,0.2259,0.643,-0.3528404878542909,0.16067864271457086,0.249500998003992,-0.17304391226812987,0.108,0.08266666666666667,0.8025,0.633,-0.364
5y,H,5,0.01,1.0018,0.1491,-0.364,0.219,0.747,-0.3528404878542909,0.1506986027944112,0.5508982035928144,-0.06577505403439676,0.025333333333333333,0.7773333333333333,0.8025,0.633,-0.364
5y,H,5,0.02,0.989,0.1476,-0.364,0.2191,0.741,-0.3528404878542909,0.15169660678642716,0.5119760479041916,-0.07032699530674602,0.029333333333333333,0.6866666666666666,0.8025,0.633,-0.364
5y,H,5,0.03,0.9763,0.1462,-0.364,0.2191,0.735,-0.3528404878542909,0.15169660678642716,0.48902195608782434,-0.07486974951396386,0.032,0.6653333333333333,0.8025,0.633,-0.364
5y,H,5,0.05,0.9509,0.1432,-0.364,0.2193,0.722,-0.3528404878542909,0.15169660678642716,0.47305389221556887,-0.08392765702536131,0.04,0.64,0.8025,0.633,-0.364
5y,H,5,0.07,0.9256,0.1402,-0.364,0.2196,0.71,-0.3528404878542909,0.15269461077844312,0.4550898203592814,-0.092948697652946,0.04666666666666667,0.6186666666666667,0.8025,0.633,-0.364
5y,H,5,0.1,0.8879,0.1357,-0.364,0.2203,0.69,-0.3528404878542909,0.1536926147704591,0.4411177644710579,-0.10641096252434346,0.06133333333333333,0.5613333333333334,0.8025,0.633,-0.364
5y,H,5,0.15,0.8387,0.1297,-0.364,0.2216,0.663,-0.3528404878542909,0.1536926147704591,0.4001996007984032,-0.12541025120828442,0.08933333333333333,0.5066666666666667,0.8025,0.633,-0.364
5y,H,5,0.2,0.8203,0.1274,-0.364,0.2227,0.652,-0.3528404878542909,0.15469061876247506,0.4001996007984032,-0.1321378950444052,0.09066666666666667,0.228,0.8025,0.633,-0.364
5y,H,5,0.25,0.824,0.1279,-0.364,0.2234,0.653,-0.3528404878542909,0.156686626746507,0.38822355289421157,-0.13536074107009366,0.09066666666666667,0.21866666666666668,0.8025,0.633,-0.364
