sample,candidate,resell,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022,r2_worst,r2_neg,r2_win
5y,Buy&Hold,,0.8025,0.1252,-0.364,0.2285,0.633,-0.36395279909120204,-0.17279501718524914,0.10533333333333333,0.0
5y,A,65.0,0.6969,0.1117,-0.2718,0.1915,0.651,-0.05730995374747749,-0.016307855514630876,0.0026666666666666666,0.12533333333333332
5y,A,77.0,0.8195,0.1273,-0.3565,0.2169,0.663,-0.3304538683278717,-0.05897996706559561,0.025333333333333333,0.504
5y,B,65.0,0.6624,0.1071,-0.2718,0.1913,0.63,-0.051332795661392705,-0.010048336427910587,0.0013333333333333333,0.124
5y,B,77.0,0.8131,0.1265,-0.3565,0.2165,0.661,-0.3304538683278717,-0.05064696999469698,0.024,0.508
5y,C,65.0,0.6516,0.1057,-0.2718,0.1912,0.623,-0.051332795661392816,-0.010048336427911253,0.0013333333333333333,0.124
5y,C,77.0,0.8013,0.1251,-0.3565,0.2164,0.655,-0.3304538683278717,-0.0506469699946972,0.024,0.508
5y,D,65.0,0.6397,0.1041,-0.2718,0.1912,0.616,-0.05133279566139248,-0.010048336427910809,0.0013333333333333333,0.124
5y,D,77.0,0.7882,0.1234,-0.3565,0.2164,0.648,-0.3304538683278717,-0.05064696999469709,0.021333333333333333,0.508
5y,E,65.0,0.6299,0.1028,-0.2718,0.1913,0.609,-0.060996069587649915,-0.008540421624628869,0.0013333333333333333,0.124
5y,E,77.0,0.7986,0.1247,-0.3565,0.2166,0.653,-0.3304538683278717,-0.050886952826696974,0.021333333333333333,0.508
5y,F,65.0,0.6953,0.1115,-0.2718,0.1905,0.652,-0.051332795661392705,-0.010048336427910809,0.0013333333333333333,0.124
5y,F,77.0,0.8489,0.131,-0.3565,0.2158,0.681,-0.3304538683278717,-0.0506469699946972,0.021333333333333333,0.508
5y,G,65.0,0.6852,0.1102,-0.2718,0.1906,0.646,-0.06099606958765025,-0.00854042162462898,0.0013333333333333333,0.124
5y,G,77.0,0.8596,0.1323,-0.3565,0.216,0.685,-0.3304538683278717,-0.05088695282669731,0.021333333333333333,0.508
2011,Buy&Hold,,8.8541,0.1568,-0.364,0.2052,0.815,-0.36395279909120204,-0.20823648653047766,0.09663377829367382,0.0
2011,A,65.0,3.4985,0.1005,-0.2718,0.1686,0.654,-0.057309953747477715,-0.16245573450839468,0.011897852582704585,0.1538015089959373
2011,A,77.0,6.0437,0.1323,-0.3565,0.1869,0.76,-0.3304538683278717,-0.1741127935915603,0.05658734764944864,0.3705745792222867
2011,B,65.0,3.3948,0.0988,-0.2718,0.1684,0.645,-0.051332795661392705,-0.1637383554327987,0.012188044109112013,0.15409170052234475
2011,B,77.0,6.1337,0.1333,-0.3565,0.1863,0.767,-0.3304538683278717,-0.1673175387028515,0.05165409170052235,0.3807312826465467
2011,C,65.0,3.4118,0.0991,-0.2718,0.1684,0.647,-0.051332795661392816,-0.1637383554327988,0.012188044109112013,0.15409170052234475
2011,C,77.0,6.1482,0.1334,-0.3565,0.1863,0.767,-0.3304538683278717,-0.1673175387028516,0.05165409170052235,0.3807312826465467
2011,D,65.0,3.4347,0.0995,-0.2718,0.1685,0.648,-0.05133279566139248,-0.1637383554327989,0.012188044109112013,0.15409170052234475
2011,D,77.0,6.1236,0.1332,-0.3565,0.1863,0.766,-0.3304538683278717,-0.16731753870285127,0.05165409170052235,0.3807312826465467
2011,E,65.0,3.3685,0.0984,-0.2718,0.1688,0.642,-0.060996069587649915,-0.16547426416748812,0.012478235635519443,0.15089959373186304
2011,E,77.0,6.334,0.1353,-0.3565,0.1866,0.775,-0.3304538683278717,-0.16368795375738188,0.04933255948926291,0.3798607080673244
2011,F,65.0,3.4228,0.0993,-0.2718,0.1685,0.647,-0.051332795661392594,-0.16373835543279902,0.012188044109112013,0.15409170052234475
2011,F,77.0,6.1044,0.133,-0.3565,0.1863,0.765,-0.3304538683278717,-0.1673175387028515,0.05165409170052235,0.3807312826465467
2011,G,65.0,3.3526,0.0982,-0.2718,0.1687,0.641,-0.06099606958765025,-0.16547426416748823,0.012478235635519443,0.15089959373186304
2011,G,77.0,6.3073,0.135,-0.3565,0.1865,0.774,-0.3304538683278716,-0.16368795375738177,0.04933255948926291,0.3798607080673244
