sample,id,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
전체(2011~),Buy&Hold,4.1804,0.1104,-0.4081,0.2336,0.595
전체(2011~),A,1.2817,0.0539,-0.4081,0.1816,0.399
전체(2011~),B,1.2595,0.0533,-0.4081,0.1814,0.395
전체(2011~),C,1.2573,0.0532,-0.4081,0.1814,0.395
전체(2011~),D,1.2269,0.0523,-0.4081,0.1816,0.389
전체(2011~),E,1.2486,0.0529,-0.4081,0.1818,0.393
전체(2011~),F,1.2205,0.0521,-0.4081,0.1815,0.388
전체(2011~),G,1.2539,0.0531,-0.4081,0.1817,0.394
전체(2011~),H,2.968,0.0917,-0.4081,0.2221,0.532
전체(2011~),I,3.709,0.1037,-0.4081,0.2234,0.582
최근5년,Buy&Hold,1.933,0.2409,-0.4081,0.3275,0.878
최근5년,A,0.6841,0.1102,-0.4081,0.2576,0.568
최근5년,B,0.661,0.1071,-0.4081,0.2574,0.556
최근5년,C,0.658,0.1067,-0.4081,0.2574,0.555
최근5년,D,0.6846,0.1103,-0.4081,0.2572,0.568
최근5년,E,0.6883,0.1108,-0.4081,0.2575,0.57
최근5년,F,0.7345,0.1168,-0.4081,0.2568,0.594
최근5년,G,0.7382,0.1173,-0.4081,0.257,0.595
최근5년,H,2.2535,0.267,-0.4081,0.3207,0.961
최근5년,I,2.1774,0.261,-0.4081,0.3213,0.943
