sample,base,rule,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022,r1_worst,r1_neg,r2_worst,r2_neg
5y,I 77,기존: FG<31 전량,0.8823,0.135,-0.3565,0.2179,0.693,-0.3474331780394059,-0.352840487854291,0.15568862275449102,-0.09540549087107131,0.05466666666666667
5y,I 77,FG 분할 31/20/10,0.6717,0.1084,-0.337,0.2083,0.6,-0.33101873780422897,-0.32899429658235224,0.1626746506986028,-0.08814475186867987,0.09466666666666666
5y,I 77,FG 분할 31/25/15,0.7295,0.1159,-0.3497,0.2119,0.626,-0.3438923874869063,-0.34563901632664806,0.16067864271457086,-0.09373111857469862,0.08
5y,I 77,FG 분할 31/15/5,0.635,0.1035,-0.3331,0.2059,0.583,-0.327618656502191,-0.3264394152190849,0.1656686626746507,-0.08279952530194967,0.09466666666666666
5y,I 77,낙폭 분할 -10/-20/-30%,0.6602,0.1068,-0.2982,0.2,0.61,-0.28879686274340266,-0.28627294833764916,0.16766467065868262,-0.016335193257732916,0.013333333333333334
5y,I 77,낙폭 분할 -8/-16/-24%,0.6115,0.1003,-0.3072,0.2017,0.576,-0.30401814209757794,-0.30154824489763177,0.16766467065868262,-0.0443381786463074,0.04
5y,I 77,낙폭 분할 -12/-24/-36%,0.6293,0.1027,-0.2912,0.1965,0.598,-0.28789033572144807,-0.28536320423678974,0.1686626746506986,-0.033226385624793964,0.03866666666666667
5y,I 77,반등확인 +5,0.7437,0.1178,-0.3643,0.2168,0.624,-0.3585794328769615,-0.352840487854291,0.15868263473053892,-0.13216021011403412,0.088
5y,I 77,반등확인 +10,0.6618,0.1071,-0.3643,0.2159,0.581,-0.35857943287696137,-0.352840487854291,0.1596806387225549,-0.15310680361897067,0.09466666666666666
5y,I 77,반등확인 +15,0.6531,0.1059,-0.3643,0.2152,0.577,-0.35857943287696137,-0.3528404878542909,0.1596806387225549,-0.14135147754875632,0.092
5y,H 77,기존: FG<31 전량,0.8576,0.132,-0.3565,0.2159,0.685,-0.3304538683278717,-0.352840487854291,0.15169660678642716,-0.0506469699946972,0.021333333333333333
5y,H 77,FG 분할 31/20/10,0.6035,0.0992,-0.3076,0.2,0.574,-0.2916998807161263,-0.29977398154365775,0.1596806387225549,-0.07126603376259089,0.07466666666666667
5y,H 77,FG 분할 31/25/15,0.6914,0.111,-0.3316,0.2064,0.615,-0.3135576850925632,-0.3290311745265766,0.15768463073852296,-0.0545006595219506,0.024
5y,H 77,FG 분할 31/15/5,0.5879,0.097,-0.2916,0.1946,0.575,-0.27677780204538227,-0.28502200360347096,0.16167664670658682,-0.049815228082592866,0.04933333333333333
5y,H 77,낙폭 분할 -10/-20/-30%,0.6286,0.1026,-0.2888,0.189,0.613,-0.25011375643099487,-0.25083806287195387,0.16367265469061876,0.04668599066905199,0.0
5y,H 77,낙폭 분할 -8/-16/-24%,0.5658,0.0939,-0.2913,0.1914,0.566,-0.2707698485212394,-0.27147420348199147,0.16367265469061876,0.010012761818726013,0.0
5y,H 77,낙폭 분할 -12/-24/-36%,0.5757,0.0953,-0.2578,0.1829,0.591,-0.24349421969529994,-0.24422491987015515,0.1656686626746507,-0.002142211723681453,0.0026666666666666666
5y,H 77,반등확인 +5,0.6485,0.1053,-0.3676,0.2143,0.576,-0.35305654292331046,-0.3550871208559637,0.156686626746507,-0.12099201541969684,0.07733333333333334
5y,H 77,반등확인 +10,0.5388,0.0901,-0.3676,0.2131,0.513,-0.35305654292331046,-0.3550871208559637,0.15768463073852296,-0.14633946588365865,0.09333333333333334
5y,H 77,반등확인 +15,0.5293,0.0888,-0.3676,0.2124,0.508,-0.35305654292331046,-0.3550871208559637,0.16067864271457086,-0.13352418103742913,0.088
2011,I 77,기존: FG<31 전량,7.2952,0.1442,-0.3565,0.1892,0.809,-0.3474331780394059,-0.3528404878542909,0.16846944294213087,-0.19045338479838458,0.08096343586767267
2011,I 77,FG 분할 31/20/10,5.1295,0.1224,-0.337,0.1807,0.731,-0.33101873780422897,-0.32899429658235224,0.16468361276365603,-0.20697521619879844,0.0963435867672664
2011,I 77,FG 분할 31/25/15,5.5923,0.1276,-0.3497,0.1836,0.747,-0.3438923874869063,-0.34563901632664806,0.16657652785289345,-0.2222359175566042,0.09576320371445154
2011,I 77,FG 분할 31/15/5,4.8191,0.1187,-0.3367,0.1777,0.722,-0.3307664336630425,-0.3287412289296405,0.16576527852893455,-0.2067827836968923,0.0963435867672664
2011,I 77,낙폭 분할 -10/-20/-30%,3.8764,0.1061,-0.3245,0.1611,0.708,-0.31842145703859803,-0.3130983346530041,0.16576527852893455,-0.21783141249154592,0.07283807312826465
2011,I 77,낙폭 분할 -8/-16/-24%,3.8818,0.1062,-0.3327,0.1688,0.684,-0.3267526625049878,-0.32149460676031905,0.1660356949702542,-0.22186978354053244,0.08009286128845038
2011,I 77,낙폭 분할 -12/-24/-36%,3.3163,0.0976,-0.3312,0.1578,0.671,-0.3252282080216662,-0.3199582463009808,0.16630611141157384,-0.22564273058089712,0.09605339524085897
2011,I 77,반등확인 +5,6.3439,0.1354,-0.3643,0.1847,0.782,-0.3585794328769615,-0.352840487854291,0.1687398593834505,-0.22063574159273003,0.09779454439930355
2011,I 77,반등확인 +10,6.5394,0.1373,-0.3643,0.1739,0.828,-0.35857943287696137,-0.3528404878542909,0.16846944294213087,-0.2239566135913097,0.09808473592571097
2011,I 77,반등확인 +15,5.7932,0.1297,-0.3643,0.1723,0.796,-0.3585794328769615,-0.352840487854291,0.17063277447268793,-0.22395661359130958,0.09779454439930355
2011,H 77,기존: FG<31 전량,6.1757,0.1337,-0.3565,0.1863,0.768,-0.3304538683278716,-0.3528404878542909,0.1795565170362358,-0.1673175387028516,0.04991294254207777
2011,H 77,FG 분할 31/20/10,3.9731,0.1075,-0.3076,0.1752,0.672,-0.2916998807161264,-0.29977398154365786,0.17712276906435911,-0.18908025238096215,0.08763784097504353
2011,H 77,FG 분할 31/25/15,4.5266,0.115,-0.3316,0.1794,0.698,-0.3135576850925632,-0.3290311745265766,0.17793401838831802,-0.21410484961859522,0.0693557748113755
2011,H 77,FG 분할 31/15/5,3.9539,0.1072,-0.2931,0.1697,0.687,-0.27677780204538227,-0.28502200360347085,0.17577068685776095,-0.17328935450212457,0.06848520023215322
2011,H 77,낙폭 분할 -10/-20/-30%,3.0629,0.0934,-0.2888,0.15,0.671,-0.25011375643099465,-0.25083806287195365,0.17306652244456464,-0.18641942546419088,0.06500290191526407
2011,H 77,낙폭 분할 -8/-16/-24%,3.0826,0.0937,-0.2913,0.1576,0.649,-0.27076984852123964,-0.2714742034819917,0.18009734991887508,-0.20883001829019399,0.06500290191526407
2011,H 77,낙폭 분할 -12/-24/-36%,2.4984,0.083,-0.2578,0.1441,0.627,-0.24349421969529983,-0.24422491987015504,0.17252568956192538,-0.1792376341634785,0.06964596633778293
2011,H 77,반등확인 +5,4.7803,0.1182,-0.3676,0.1814,0.708,-0.35305654292331046,-0.3550871208559637,0.18604651162790697,-0.24632366038809728,0.11520603598374927
2011,H 77,반등확인 +10,4.6929,0.1171,-0.3676,0.1698,0.739,-0.35305654292331046,-0.3550871208559637,0.1836127636560303,-0.2532266943298984,0.12623331398723156
2011,H 77,반등확인 +15,4.0167,0.1081,-0.3676,0.1677,0.698,-0.35305654292331046,-0.3550871208559637,0.18577609518658733,-0.25322669432989864,0.12594312246082415
