sample,setting,candidate,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022
5y,원래,A,급락 100%,0.6969,0.1117,-0.2718,0.1915,0.651,-0.05730995374747749
5y,원래,A,급락 50% 매일반복,0.5855,0.0967,-0.2718,0.1879,0.587,-0.041563565683413684
5y,원래,A,급락 50% 국면당1회,0.463,0.0792,-0.2632,0.1618,0.554,-0.05427843617135819
5y,원래,B,급락 100%,0.6624,0.1071,-0.2718,0.1913,0.63,-0.051332795661392705
5y,원래,B,급락 50% 매일반복,0.5625,0.0935,-0.2718,0.1862,0.575,-0.034553787783857204
5y,원래,B,급락 50% 국면당1회,0.4394,0.0757,-0.2303,0.14,0.593,-0.024432325897131624
5y,원래,C,급락 100%,0.6516,0.1057,-0.2718,0.1912,0.623,-0.051332795661392816
5y,원래,C,급락 50% 매일반복,0.5559,0.0926,-0.2718,0.1862,0.57,-0.03455378778385598
5y,원래,C,급락 50% 국면당1회,0.4334,0.0748,-0.2303,0.1399,0.587,-0.024432325897131624
5y,원래,D,급락 100%,0.6397,0.1041,-0.2718,0.1912,0.616,-0.05133279566139248
5y,원래,D,급락 50% 매일반복,0.5614,0.0933,-0.2718,0.1859,0.575,-0.03455378778385709
5y,원래,D,급락 50% 국면당1회,0.4248,0.0735,-0.2303,0.1399,0.579,-0.024432325897131735
5y,원래,E,급락 100%,0.6299,0.1028,-0.2718,0.1913,0.609,-0.060996069587649915
5y,원래,E,급락 50% 매일반복,0.5471,0.0913,-0.2718,0.1873,0.562,-0.04434068191282736
5y,원래,E,급락 50% 국면당1회,0.4353,0.075,-0.2519,0.1584,0.538,-0.048388124133580956
5y,원래,F,급락 100%,0.6953,0.1115,-0.2718,0.1905,0.652,-0.051332795661392705
5y,원래,F,급락 50% 매일반복,0.5913,0.0975,-0.2718,0.1854,0.596,-0.03455378778385676
5y,원래,F,급락 50% 국면당1회,0.4487,0.077,-0.2303,0.1395,0.604,-0.0244323258971314
5y,원래,G,급락 100%,0.6852,0.1102,-0.2718,0.1906,0.646,-0.06099606958765025
5y,원래,G,급락 50% 매일반복,0.5768,0.0955,-0.2718,0.1868,0.583,-0.04434068191282703
5y,원래,G,급락 50% 국면당1회,0.4608,0.0788,-0.2519,0.158,0.561,-0.04838812413358107
5y,원래,H,급락 100%,0.9949,0.1483,-0.364,0.2191,0.743,-0.36395279909120204
5y,원래,H,급락 50% 매일반복,0.8964,0.1367,-0.364,0.2182,0.699,-0.36395279909120204
5y,원래,H,급락 50% 국면당1회,0.6924,0.1111,-0.3594,0.2123,0.604,-0.3593988080246543
5y,원래,I,급락 100%,0.9481,0.1429,-0.364,0.2201,0.719,-0.36395279909120204
5y,원래,I,급락 50% 매일반복,0.8785,0.1346,-0.364,0.2194,0.687,-0.36395279909120204
5y,원래,I,급락 50% 국면당1회,0.7449,0.1179,-0.3594,0.2156,0.627,-0.3593988080246543
5y,추천,A,급락 100%,0.9359,0.1414,-0.2302,0.1607,0.907,-0.21937792103736364
5y,추천,A,급락 50% 매일반복,0.8437,0.1303,-0.2295,0.1592,0.853,-0.21949230893723237
5y,추천,A,급락 50% 국면당1회,0.8153,0.1268,-0.2255,0.1549,0.852,-0.21883027393023335
5y,추천,B,급락 100%,0.938,0.1417,-0.2302,0.1598,0.913,-0.21937792103736375
5y,추천,B,급락 50% 매일반복,0.825,0.128,-0.2295,0.1568,0.85,-0.2194923017144601
5y,추천,B,급락 50% 국면당1회,0.7346,0.1166,-0.2112,0.1488,0.819,-0.20547089266776453
5y,추천,C,급락 100%,0.9254,0.1402,-0.2302,0.1597,0.905,-0.21937792103736364
5y,추천,C,급락 50% 매일반복,0.8173,0.1271,-0.2295,0.1567,0.845,-0.21949225820807228
5y,추천,C,급락 50% 국면당1회,0.7274,0.1157,-0.2112,0.1488,0.813,-0.20544743965345336
5y,추천,D,급락 100%,0.9115,0.1385,-0.2302,0.1596,0.896,-0.21937792103736387
5y,추천,D,급락 50% 매일반복,0.8237,0.1279,-0.2295,0.1564,0.851,-0.21949165490206346
5y,추천,D,급락 50% 국면당1회,0.7171,0.1143,-0.2111,0.1487,0.806,-0.20540253185284374
5y,추천,E,급락 100%,0.9083,0.1381,-0.2302,0.1603,0.891,-0.21937792103736387
5y,추천,E,급락 50% 매일반복,0.8402,0.1299,-0.2299,0.1585,0.853,-0.2199310088947919
5y,추천,E,급락 50% 국면당1회,0.7548,0.1192,-0.2198,0.1537,0.813,-0.21286687356905398
5y,추천,F,급락 100%,0.9763,0.1462,-0.2302,0.1588,0.942,-0.21937792103736387
5y,추천,F,급락 50% 매일반복,0.8586,0.1322,-0.2295,0.1558,0.878,-0.219470623488757
5y,추천,F,급락 50% 국면당1회,0.7451,0.118,-0.2114,0.1484,0.829,-0.20561816670935318
5y,추천,G,급락 100%,0.973,0.1458,-0.2302,0.1595,0.937,-0.21937792103736387
5y,추천,G,급락 50% 매일반복,0.8754,0.1342,-0.2299,0.1579,0.88,-0.21993100889479167
