sample,base,filter_ma,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022,r2_worst,r2_neg
5y,I 77,없음,급락 100%,0.8823,0.135,-0.3565,0.2179,0.693,-0.3474331780394059,-0.09540549087107131,0.05466666666666667
5y,I 77,없음,급락 50% 매일반복,0.8063,0.1257,-0.3557,0.217,0.656,-0.34735499502556766,-0.10421062553418825,0.06533333333333333
5y,I 77,없음,급락 50% 국면당1회,0.6973,0.1118,-0.334,0.2102,0.611,-0.32914957940213496,-0.07929131758365193,0.07866666666666666
5y,I 77,150,급락 100%,0.9176,0.1393,-0.2558,0.1598,0.9,-0.2452796273729242,-0.01949837459679249,0.014666666666666666
5y,I 77,150,급락 50% 매일반복,0.8399,0.1299,-0.2548,0.1585,0.853,-0.24504985397988566,-0.029136525994418738,0.016
5y,I 77,150,급락 50% 국면당1회,0.7369,0.1169,-0.2296,0.1487,0.821,-0.22397197303954952,-0.007850544788454261,0.009333333333333334
5y,I 77,175,급락 100%,0.9921,0.148,-0.2302,0.1589,0.952,-0.21937792103736387,0.019099853976748182,0.0
5y,I 77,175,급락 50% 매일반복,0.9106,0.1384,-0.2295,0.1576,0.905,-0.219470623488757,0.008617914088157708,0.0
5y,I 77,175,급락 50% 국면당1회,0.752,0.1188,-0.2114,0.1484,0.834,-0.20561816670935318,0.011639428318174216,0.0
5y,I 77,200,급락 100%,0.9144,0.1389,-0.2407,0.1595,0.899,-0.22999821875587323,0.0022761085409517268,0.0
5y,I 77,200,급락 50% 매일반복,0.8366,0.1294,-0.2398,0.1582,0.852,-0.22990596604259894,-0.007760881778946849,0.004
5y,I 77,200,급락 50% 국면당1회,0.6947,0.1114,-0.2176,0.149,0.787,-0.21182212227084019,0.0015144273560334653,0.0
5y,H 77,없음,급락 100%,0.8576,0.132,-0.3565,0.2159,0.685,-0.3304538683278717,-0.0506469699946972,0.021333333333333333
5y,H 77,없음,급락 50% 매일반복,0.7679,0.1209,-0.355,0.2146,0.641,-0.3303324969302809,-0.0664805272149056,0.024
5y,H 77,없음,급락 50% 국면당1회,0.6113,0.1002,-0.316,0.2023,0.575,-0.30212441997027173,-0.05841096400409229,0.04666666666666667
5y,H 77,150,급락 100%,0.8924,0.1362,-0.2558,0.157,0.896,-0.22564235725560655,0.029015961967318926,0.0
5y,H 77,150,급락 50% 매일반복,0.7994,0.1248,-0.2538,0.1552,0.839,-0.2252197175608136,0.011005936238737801,0.0
5y,H 77,150,급락 50% 국면당1회,0.638,0.1039,-0.2032,0.1397,0.78,-0.18709692111055787,0.005791088439938585,0.0
5y,H 77,175,급락 100%,0.9659,0.145,-0.2302,0.1561,0.949,-0.19906670753351707,0.06952399609679127,0.0
5y,H 77,175,급락 50% 매일반복,0.8679,0.1333,-0.2288,0.1543,0.892,-0.19929873924587393,0.0499333807920983,0.0
5y,H 77,175,급락 50% 국면당1회,0.6327,0.1032,-0.1926,0.14,0.774,-0.17627444145316584,0.015617335892025519,0.0
5y,H 77,200,급락 100%,0.8892,0.1359,-0.2407,0.1566,0.895,-0.2099633376031711,0.05186782690238578,0.0
5y,H 77,200,급락 50% 매일반복,0.796,0.1244,-0.2389,0.1549,0.838,-0.20982012438853614,0.03314044124122506,0.0
5y,H 77,200,급락 50% 국면당1회,0.59,0.0973,-0.1943,0.1407,0.734,-0.17798621556849437,0.012183657704353479,0.0
2011,I 77,없음,급락 100%,7.2952,0.1442,-0.3565,0.1892,0.809,-0.3474331780394059,-0.19045338479838458,0.08096343586767267
2011,I 77,없음,급락 50% 매일반복,6.7256,0.139,-0.3557,0.1874,0.79,-0.3473733250993557,-0.2029657747758945,0.08676726639582125
2011,I 77,없음,급락 50% 국면당1회,5.0315,0.1212,-0.3417,0.17,0.76,-0.3357377683737831,-0.20121724413094344,0.08908879860708067
2011,I 77,150,급락 100%,5.6771,0.1285,-0.2558,0.148,0.893,-0.24527962737292408,-0.06372603919963671,0.05571677307022635
2011,I 77,150,급락 50% 매일반복,5.342,0.1248,-0.2548,0.146,0.881,-0.24507120735949883,-0.07802713483380219,0.05310504933255949
2011,I 77,150,급락 50% 국면당1회,3.8344,0.1055,-0.2391,0.1331,0.822,-0.23224375043758294,-0.07676453114039383,0.08386535113174695
2011,I 77,175,급락 100%,6.395,0.1359,-0.2302,0.1506,0.924,-0.21937792103736387,-0.04817096084743644,0.01654091700522345
2011,I 77,175,급락 50% 매일반복,6.0163,0.1321,-0.2295,0.1485,0.912,-0.219492344867402,-0.0467884042814215,0.019442832269297737
2011,I 77,175,급락 50% 국면당1회,4.244,0.1113,-0.2192,0.1361,0.845,-0.21220052390347044,-0.05266232727396214,0.04497968659315148
2011,I 77,200,급락 100%,6.1361,0.1333,-0.2407,0.1522,0.901,-0.22999821875587312,-0.048024790688782404,0.022054556006964595
2011,I 77,200,급락 50% 매일반복,5.7726,0.1295,-0.2398,0.1502,0.888,-0.229927594769332,-0.05953267545586771,0.028438769587928032
2011,I 77,200,급락 50% 국면당1회,4.085,0.1091,-0.2264,0.1379,0.822,-0.21941216143448394,-0.061334401986457676,0.04875217643644805
2011,H 77,없음,급락 100%,6.1757,0.1337,-0.3565,0.1863,0.768,-0.3304538683278716,-0.1673175387028516,0.04991294254207777
2011,H 77,없음,급락 50% 매일반복,5.5194,0.1268,-0.355,0.1843,0.742,-0.330332496930281,-0.19994015284786226,0.0641323273360418
2011,H 77,없음,급락 50% 국면당1회,3.8292,0.1055,-0.3178,0.1597,0.709,-0.30212441997027184,-0.1876352424578307,0.08154381892048752
2011,H 77,150,급락 100%,4.724,0.1175,-0.2558,0.1444,0.844,-0.22564235725560666,-0.11948927447003455,0.09721416134648868
2011,H 77,150,급락 50% 매일반복,4.3177,0.1123,-0.2538,0.142,0.822,-0.22521971756081338,-0.11520609746676391,0.10359837492745212
2011,H 77,150,급락 50% 국면당1회,2.7767,0.0883,-0.2054,0.1236,0.748,-0.18709692111055787,-0.12086519303354992,0.10591990713871155
2011,H 77,175,급락 100%,5.3395,0.1248,-0.2302,0.147,0.876,-0.19906670753351718,-0.058127717236646115,0.08560650029019153
2011,H 77,175,급락 50% 매일반복,4.8762,0.1193,-0.2288,0.1447,0.854,-0.19929873924587393,-0.05272321164298299,0.09199071387115496
2011,H 77,175,급락 50% 국면당1회,3.0623,0.0933,-0.1948,0.1269,0.769,-0.17627444145316573,-0.060165013585069094,0.10214741729541497
2011,H 77,200,급락 100%,5.149,0.1226,-0.2407,0.1486,0.854,-0.20996333760317099,-0.058181877391024206,0.08618688334300638
2011,H 77,200,급락 50% 매일반복,4.7026,0.1172,-0.2389,0.1464,0.833,-0.20982012438853626,-0.05596256708519831,0.08618688334300638
2011,H 77,200,급락 50% 국면당1회,2.9884,0.0921,-0.1965,0.1288,0.75,-0.17798621556849425,-0.05148546304387036,0.1004062681369704
