sample,filter,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022,r2_worst,r2_neg,crash_buys
5y,True,10,0.5023,0.0849,-0.2093,0.1361,0.67,-0.20223911136495443,-0.04803051828684246,0.044,8
5y,True,11,0.5023,0.0849,-0.2093,0.1361,0.67,-0.20223911136495443,-0.04803051828684246,0.044,9
5y,True,12,0.503,0.085,-0.2093,0.1361,0.67,-0.20223911136495443,-0.04803051828684246,0.044,10
5y,True,13,0.503,0.085,-0.2093,0.1361,0.67,-0.20223911136495443,-0.04803051828684246,0.044,13
5y,True,14,0.503,0.085,-0.2093,0.1361,0.67,-0.20223911136495443,-0.04803051828684246,0.044,14
5y,True,15,0.503,0.085,-0.2093,0.1361,0.67,-0.20223911136495443,-0.04803051828684246,0.044,14
5y,True,16,0.503,0.085,-0.2093,0.1361,0.67,-0.20223911136495443,-0.04803051828684246,0.044,15
5y,True,17,0.5653,0.0939,-0.2093,0.1399,0.714,-0.20223911136495443,-0.04803051828684246,0.044,21
5y,True,18,0.5653,0.0939,-0.2093,0.1399,0.714,-0.20223911136495443,-0.04803051828684246,0.044,21
5y,True,19,0.5772,0.0955,-0.2093,0.14,0.725,-0.20223911136495432,-0.04803051828684224,0.044,20
5y,True,20,0.5977,0.0984,-0.2093,0.1404,0.742,-0.20223911136495432,-0.04803051828684224,0.044,20
5y,True,21,0.747,0.1182,-0.2302,0.1497,0.824,-0.21862821168563729,-0.03901353318254419,0.016,24
5y,True,22,0.747,0.1182,-0.2302,0.1497,0.824,-0.21862821168563729,-0.03901353318254419,0.016,25
5y,True,23,0.8244,0.128,-0.2302,0.1524,0.87,-0.21496411855081266,-0.0015944014425421926,0.0013333333333333333,29
5y,True,24,0.8478,0.1308,-0.2302,0.1526,0.885,-0.21496411855081266,0.008765418408219317,0.0,31
5y,True,25,0.8502,0.1311,-0.2302,0.1529,0.886,-0.21937792103736387,0.010108180535031597,0.0,29
5y,True,26,0.8502,0.1311,-0.2302,0.1529,0.886,-0.21937792103736387,0.010108180535031597,0.0,29
5y,True,27,0.8667,0.1331,-0.2302,0.1531,0.897,-0.21937792103736387,0.019099853976748182,0.0,33
5y,True,28,0.9757,0.1461,-0.2302,0.1588,0.942,-0.21937792103736387,0.019099853976748182,0.0,37
5y,True,29,0.974,0.1459,-0.2302,0.1588,0.941,-0.21937792103736387,0.019099853976748182,0.0,36
5y,True,30,0.9763,0.1462,-0.2302,0.1588,0.942,-0.21937792103736387,0.019099853976748182,0.0,32
5y,True,31,0.9921,0.148,-0.2302,0.1589,0.952,-0.21937792103736387,0.019099853976748182,0.0,29
5y,True,32,0.9244,0.1401,-0.2394,0.1595,0.906,-0.23261084588739445,0.001824309067394836,0.0,31
5y,True,33,0.9244,0.1401,-0.2394,0.1595,0.906,-0.23261084588739445,0.001824309067394836,0.0,32
5y,True,34,0.9025,0.1375,-0.2394,0.1596,0.89,-0.23261084588739445,-0.009565987969939238,0.004,31
5y,True,35,0.9025,0.1375,-0.2394,0.1596,0.89,-0.23261084588739445,-0.009565987969939238,0.004,28
5y,True,36,0.8941,0.1364,-0.2394,0.1596,0.885,-0.23261084588739445,-0.009565987969939238,0.004,30
5y,True,37,0.8941,0.1364,-0.2394,0.1596,0.885,-0.23261084588739445,-0.009565987969939238,0.004,35
5y,True,38,0.9049,0.1377,-0.2394,0.1597,0.892,-0.23261084588739445,-0.003923633952471639,0.0026666666666666666,39
5y,True,39,0.8865,0.1355,-0.2394,0.1597,0.879,-0.23261084588739445,-0.003923633952471639,0.0026666666666666666,42
5y,True,40,0.8865,0.1355,-0.2394,0.1597,0.879,-0.23261084588739445,-0.003923633952471639,0.0026666666666666666,44
5y,True,41,0.8479,0.1308,-0.2394,0.1608,0.849,-0.23261084588739445,-0.024291618881653765,0.008,46
5y,True,42,0.8479,0.1308,-0.2394,0.1608,0.849,-0.23261084588739445,-0.024291618881653765,0.008,42
5y,True,43,0.8479,0.1308,-0.2394,0.1608,0.849,-0.23261084588739445,-0.024291618881653765,0.008,40
5y,True,44,0.8598,0.1323,-0.2394,0.1612,0.855,-0.23261084588739445,-0.017981108079461183,0.005333333333333333,39
5y,True,45,0.8598,0.1323,-0.2394,0.1612,0.855,-0.23261084588739445,-0.017981108079461183,0.005333333333333333,38
5y,True,46,0.8579,0.1321,-0.2394,0.1612,0.853,-0.23261084588739445,-0.017981108079461183,0.005333333333333333,37
5y,True,47,0.885,0.1354,-0.2394,0.1614,0.871,-0.23261084588739445,-0.00364077268105234,0.0026666666666666666,35
5y,True,48,0.885,0.1354,-0.2394,0.1614,0.871,-0.23261084588739445,-0.00364077268105234,0.0026666666666666666,32
5y,True,49,0.8621,0.1326,-0.2394,0.1618,0.854,-0.23261084588739445,-0.019533914964737664,0.006666666666666667,30
5y,True,50,0.8425,0.1302,-0.2394,0.1633,0.835,-0.23261084588739445,-0.02134241860549435,0.006666666666666667,32
5y,False,10,0.5145,0.0867,-0.3233,0.1986,0.519,-0.31717352493720585,-0.0992821304459679,0.11333333333333333,8
5y,False,11,0.5145,0.0867,-0.3233,0.1986,0.519,-0.31717352493720585,-0.0992821304459679,0.11333333333333333,9
5y,False,12,0.5152,0.0868,-0.3233,0.1986,0.52,-0.31717352493720585,-0.0992821304459679,0.11333333333333333,10
5y,False,13,0.5158,0.0869,-0.323,0.1986,0.52,-0.3169018965411018,-0.09892382484537332,0.11333333333333333,13
5y,False,14,0.5112,0.0862,-0.3251,0.1988,0.517,-0.3189878235168483,-0.10167537559839146,0.11466666666666667,14
5y,False,15,0.5113,0.0862,-0.325,0.1988,0.517,-0.31893077900918887,-0.10160012806584073,0.11466666666666667,14
5y,False,16,0.5113,0.0862,-0.325,0.1988,0.517,-0.31893077900918887,-0.10160012806584073,0.11466666666666667,15
5y,False,17,0.5771,0.0955,-0.3236,0.203,0.553,-0.3175438952052594,-0.09977068666188904,0.11733333333333333,21
5y,False,18,0.5564,0.0926,-0.3325,0.2034,0.539,-0.3265204410041158,-0.1116116675013572,0.12266666666666666,21
5y,False,19,0.5668,0.0941,-0.3331,0.2055,0.542,-0.3271254083968209,-0.11240968128817896,0.12666666666666668,20
5y,False,20,0.6034,0.0992,-0.3263,0.2061,0.564,-0.32021835998356407,-0.10329857889408534,0.124,20
5y,False,21,0.6507,0.1056,-0.3565,0.2113,0.582,-0.3468064529412632,-0.14698929860693088,0.10133333333333333,24
5y,False,22,0.6507,0.1056,-0.3565,0.2113,0.582,-0.3468064529412632,-0.14698929860693088,0.10133333333333333,25
5y,False,23,0.7239,0.1152,-0.3565,0.2132,0.62,-0.34374342708432404,-0.11377455426535232,0.08533333333333333,29
5y,False,24,0.7459,0.1181,-0.3565,0.2134,0.632,-0.34374342708432404,-0.10457875650716941,0.068,31
5y,False,25,0.7482,0.1184,-0.3565,0.2136,0.633,-0.3474331780394059,-0.10338686619118043,0.06266666666666666,29
5y,False,26,0.7482,0.1184,-0.3565,0.2136,0.633,-0.3474331780394059,-0.10338686619118043,0.06266666666666666,29
