sample,resell,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022,r2_worst,r2_neg,crash_buys
5y,70,15,0.2855,0.0516,-0.1488,0.0964,0.572,-0.12437238048548727,-0.04089527030815787,0.06533333333333333,14
5y,70,16,0.2855,0.0516,-0.1488,0.0964,0.572,-0.12437238048548727,-0.04089527030815787,0.06533333333333333,15
5y,70,17,0.3424,0.0607,-0.1497,0.101,0.637,-0.12437238048548727,-0.04089527030815787,0.05466666666666667,21
5y,70,18,0.3424,0.0607,-0.1497,0.101,0.637,-0.12437238048548727,-0.04089527030815787,0.05466666666666667,21
5y,70,19,0.3526,0.0623,-0.1497,0.1011,0.651,-0.12437238048548727,-0.04089527030815798,0.05466666666666667,20
5y,70,20,0.3429,0.0608,-0.1831,0.108,0.603,-0.12437238048548727,-0.04089527030815798,0.05466666666666667,20
5y,70,21,0.3944,0.0688,-0.2302,0.1328,0.57,-0.2079826936557968,-0.06352695063805802,0.02666666666666667,24
5y,70,22,0.3944,0.0688,-0.2302,0.1328,0.57,-0.2079826936557968,-0.06352695063805802,0.02666666666666667,25
5y,70,23,0.479,0.0815,-0.2302,0.1365,0.645,-0.2024168835778537,-0.020912454716892626,0.006666666666666667,29
5y,70,24,0.51,0.086,-0.2302,0.137,0.674,-0.2024168835778537,-0.008474973548656672,0.004,31
5y,70,25,0.5191,0.0873,-0.2302,0.1394,0.673,-0.20912151292480163,-0.01047256216302983,0.004,29
5y,70,26,0.5314,0.0891,-0.2302,0.1396,0.684,-0.20912151292480163,-0.01047256216302983,0.004,29
5y,70,27,0.5466,0.0912,-0.2302,0.1399,0.697,-0.20912151292480163,0.00028632162493003044,0.0,33
5y,70,28,0.6414,0.1043,-0.2302,0.1478,0.748,-0.20912151292480163,0.00028632162493003044,0.0,37
5y,70,29,0.6367,0.1037,-0.2302,0.1478,0.744,-0.20912151292480163,0.00028632162493003044,0.0,36
5y,70,30,0.6432,0.1046,-0.2302,0.1479,0.75,-0.20912151292480163,0.00028632162493003044,0.0,32
5y,70,31,0.6538,0.106,-0.2302,0.148,0.758,-0.20912151292480163,0.00028632162493003044,0.0,29
5y,70,32,0.5788,0.0958,-0.2302,0.1486,0.692,-0.22922251575984287,-0.025137000055236003,0.008,31
5y,70,33,0.5788,0.0958,-0.2302,0.1486,0.692,-0.22922251575984287,-0.025137000055236003,0.008,32
5y,70,34,0.5919,0.0976,-0.2302,0.1491,0.702,-0.22922251575984287,-0.03535910425664046,0.014666666666666666,31
