sample,structure,crash_buy,sell,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,bench_return,bench_sharpe
5y,"A(50%/1일,20%)@65/30",1.0,1.0,0.6969,0.1117,-0.2718,0.1915,0.651,0.8025,0.633
5y,"A(50%/1일,20%)@65/30",1.0,0.5,0.6228,0.1018,-0.2864,0.1963,0.594,0.8025,0.633
5y,"A(50%/1일,20%)@65/30",0.5,1.0,0.5855,0.0967,-0.2718,0.1879,0.587,0.8025,0.633
5y,"A(50%/1일,20%)@65/30",0.5,0.5,0.5081,0.0857,-0.282,0.1934,0.524,0.8025,0.633
5y,"B(40%/1일,10%)@65/30",1.0,1.0,0.6624,0.1071,-0.2718,0.1913,0.63,0.8025,0.633
5y,"B(40%/1일,10%)@65/30",1.0,0.5,0.6078,0.0998,-0.2864,0.196,0.585,0.8025,0.633
5y,"B(40%/1일,10%)@65/30",0.5,1.0,0.5625,0.0935,-0.2718,0.1862,0.575,0.8025,0.633
5y,"B(40%/1일,10%)@65/30",0.5,0.5,0.5015,0.0848,-0.282,0.1917,0.522,0.8025,0.633
5y,"F(40%/10일,10%)@65/30",1.0,1.0,0.6953,0.1115,-0.2718,0.1905,0.652,0.8025,0.633
5y,"F(40%/10일,10%)@65/30",1.0,0.5,0.6396,0.1041,-0.2864,0.1952,0.607,0.8025,0.633
5y,"F(40%/10일,10%)@65/30",0.5,1.0,0.5913,0.0975,-0.2718,0.1854,0.596,0.8025,0.633
5y,"F(40%/10일,10%)@65/30",0.5,0.5,0.5292,0.0888,-0.282,0.1909,0.543,0.8025,0.633
5y,H=F@79/31,1.0,1.0,0.9949,0.1483,-0.364,0.2191,0.743,0.8025,0.633
5y,H=F@79/31,1.0,0.5,0.9481,0.1429,-0.364,0.2201,0.719,0.8025,0.633
5y,H=F@79/31,0.5,1.0,0.8964,0.1367,-0.364,0.2182,0.699,0.8025,0.633
5y,H=F@79/31,0.5,0.5,0.8785,0.1346,-0.364,0.2194,0.687,0.8025,0.633
2011,"A(50%/1일,20%)@65/30",1.0,1.0,3.4985,0.1005,-0.2718,0.1686,0.654,8.8541,0.815
2011,"A(50%/1일,20%)@65/30",1.0,0.5,4.1593,0.1101,-0.2864,0.1733,0.691,8.8541,0.815
2011,"A(50%/1일,20%)@65/30",0.5,1.0,3.1448,0.0947,-0.2718,0.165,0.633,8.8541,0.815
2011,"A(50%/1일,20%)@65/30",0.5,0.5,3.752,0.1043,-0.282,0.1699,0.671,8.8541,0.815
2011,"B(40%/1일,10%)@65/30",1.0,1.0,3.3948,0.0988,-0.2718,0.1684,0.645,8.8541,0.815
2011,"B(40%/1일,10%)@65/30",1.0,0.5,4.148,0.11,-0.2864,0.1728,0.692,8.8541,0.815
2011,"B(40%/1일,10%)@65/30",0.5,1.0,3.0795,0.0936,-0.2718,0.1641,0.629,8.8541,0.815
2011,"B(40%/1일,10%)@65/30",0.5,0.5,3.7537,0.1043,-0.282,0.1687,0.674,8.8541,0.815
2011,"F(40%/10일,10%)@65/30",1.0,1.0,3.4228,0.0993,-0.2718,0.1685,0.647,8.8541,0.815
2011,"F(40%/10일,10%)@65/30",1.0,0.5,4.1538,0.11,-0.2864,0.1729,0.692,8.8541,0.815
2011,"F(40%/10일,10%)@65/30",0.5,1.0,3.0892,0.0938,-0.2718,0.1643,0.629,8.8541,0.815
2011,"F(40%/10일,10%)@65/30",0.5,0.5,3.7496,0.1043,-0.282,0.1688,0.674,8.8541,0.815
2011,H=F@79/31,1.0,1.0,5.7751,0.1295,-0.364,0.1928,0.73,8.8541,0.815
2011,H=F@79/31,1.0,0.5,7.0529,0.142,-0.364,0.1942,0.783,8.8541,0.815
2011,H=F@79/31,0.5,1.0,5.3867,0.1253,-0.364,0.1904,0.717,8.8541,0.815
2011,H=F@79/31,0.5,0.5,6.7634,0.1394,-0.364,0.1929,0.775,8.8541,0.815
