sample,variant,date,action,fg,price,pctOfPortfolio,resultingWeight
5y,H 100/100(기존),2021-09-20,RAMP_BUY,11.1,14713.9,0.04,0.04
5y,H 100/100(기존),2021-09-21,RAMP_BUY,11.1,14746.4,0.04,0.0801
5y,H 100/100(기존),2021-09-22,RAMP_BUY,11.45,14896.85,0.04,0.1208
5y,H 100/100(기존),2021-09-23,RAMP_BUY,20.03,15052.24,0.04,0.1619
5y,H 100/100(기존),2021-09-24,RAMP_BUY,24.5,15047.7,0.04,0.2019
5y,H 100/100(기존),2021-09-27,RAMP_BUY,23.83,14969.97,0.04,0.2411
5y,H 100/100(기존),2021-09-28,RAMP_BUY,24.77,14546.68,0.04,0.2759
5y,H 100/100(기존),2021-09-29,RAMP_BUY,12.47,14512.44,0.04,0.3154
5y,H 100/100(기존),2021-09-30,RAMP_BUY,12.48,14448.58,0.04,0.3544
5y,H 100/100(기존),2021-10-01,RAMP_BUY,9.97,14566.7,0.04,0.3963
5y,H 100/100(기존),2021-10-04,CRASH_FULL_BUY,18.33,14255.48,0.6089,1.0
5y,H 100/100(기존),2023-02-02,SELL_ALL,82.17,12200.82,,0.0
5y,H 100/100(기존),2023-03-06,WEEKLY_BUY,55.69,11675.74,0.1,0.1
5y,H 100/100(기존),2023-03-13,CRASH_FULL_BUY,26.89,11188.84,0.9038,1.0
5y,H 100/100(기존),2023-06-14,SELL_ALL,79.63,13626.48,,0.0
5y,H 100/100(기존),2023-07-25,WEEKLY_BUY,82.51,14144.56,0.1,0.1
5y,H 100/100(기존),2023-07-26,SELL_ALL,81.23,14127.28,,0.0
5y,H 100/100(기존),2023-08-25,WEEKLY_BUY,40.59,13590.65,0.1,0.1
5y,H 100/100(기존),2023-09-26,WEEKLY_BUY,38.43,13063.61,0.1,0.1965
5y,H 100/100(기존),2023-09-27,CRASH_FULL_BUY,24.23,13092.85,0.8032,1.0
5y,H 100/100(기존),2023-12-20,SELL_ALL,82.97,14777.94,,0.0
5y,H 100/100(기존),2024-01-23,WEEKLY_BUY,72.86,15425.94,0.1,0.1
5y,H 100/100(기존),2024-02-22,WEEKLY_BUY,63.7,16041.62,0.1,0.2036
5y,H 100/100(기존),2024-03-05,SELL_ALL,79.23,15939.59,,0.0
5y,H 100/100(기존),2024-04-04,WEEKLY_BUY,69.4,16049.08,0.1,0.1
5y,H 100/100(기존),2024-04-19,CRASH_FULL_BUY,30.4,15282.01,0.9043,1.0
5y,H 매도만50%,2021-09-20,RAMP_BUY,11.1,14713.9,0.04,0.04
5y,H 매도만50%,2021-09-21,RAMP_BUY,11.1,14746.4,0.04,0.0801
5y,H 매도만50%,2021-09-22,RAMP_BUY,11.45,14896.85,0.04,0.1208
5y,H 매도만50%,2021-09-23,RAMP_BUY,20.03,15052.24,0.04,0.1619
5y,H 매도만50%,2021-09-24,RAMP_BUY,24.5,15047.7,0.04,0.2019
5y,H 매도만50%,2021-09-27,RAMP_BUY,23.83,14969.97,0.04,0.2411
5y,H 매도만50%,2021-09-28,RAMP_BUY,24.77,14546.68,0.04,0.2759
5y,H 매도만50%,2021-09-29,RAMP_BUY,12.47,14512.44,0.04,0.3154
5y,H 매도만50%,2021-09-30,RAMP_BUY,12.48,14448.58,0.04,0.3544
5y,H 매도만50%,2021-10-01,RAMP_BUY,9.97,14566.7,0.04,0.3963
5y,H 매도만50%,2021-10-04,CRASH_FULL_BUY,18.33,14255.48,0.6089,1.0
5y,H 매도만50%,2023-02-02,SELL_HALF,82.17,12200.82,0.5,0.5
5y,H 매도만50%,2023-03-06,WEEKLY_BUY,55.69,11675.74,0.1,0.589
5y,H 매도만50%,2023-03-13,CRASH_FULL_BUY,26.89,11188.84,0.4213,1.0
5y,H 매도만50%,2023-06-14,SELL_HALF,79.63,13626.48,0.5,0.5
5y,H 매도만50%,2023-06-30,SELL_HALF,79.2,13787.92,0.2515,0.2515
5y,H 매도만50%,2023-07-14,SELL_HALF,79.4,14113.7,0.1279,0.1279
5y,H 매도만50%,2023-08-25,WEEKLY_BUY,40.59,13590.65,0.1,0.2238
5y,H 매도만50%,2023-09-26,WEEKLY_BUY,38.43,13063.61,0.1,0.317
5y,H 매도만50%,2023-09-27,CRASH_FULL_BUY,24.23,13092.85,0.6825,1.0
5y,H 매도만50%,2023-12-20,SELL_HALF,82.97,14777.94,0.5,0.5
5y,H 매도만50%,2023-12-26,SELL_HALF,79.74,15074.57,0.2525,0.2525
5y,H 매도만50%,2024-02-02,WEEKLY_BUY,72.34,15628.95,0.1,0.3594
5y,H 매도만50%,2024-03-05,SELL_HALF,79.23,15939.59,0.182,0.182
5y,H 매도만50%,2024-04-04,WEEKLY_BUY,69.4,16049.08,0.1,0.283
5y,H 매도만50%,2024-04-19,CRASH_FULL_BUY,30.4,15282.01,0.7269,1.0
5y,H 둘다50%,2021-09-20,RAMP_BUY,11.1,14713.9,0.04,0.04
5y,H 둘다50%,2021-09-21,RAMP_BUY,11.1,14746.4,0.04,0.0801
5y,H 둘다50%,2021-09-22,RAMP_BUY,11.45,14896.85,0.04,0.1208
5y,H 둘다50%,2021-09-23,RAMP_BUY,20.03,15052.24,0.04,0.1619
5y,H 둘다50%,2021-09-24,RAMP_BUY,24.5,15047.7,0.04,0.2019
5y,H 둘다50%,2021-09-27,RAMP_BUY,23.83,14969.97,0.04,0.2411
5y,H 둘다50%,2021-09-28,RAMP_BUY,24.77,14546.68,0.04,0.2759
5y,H 둘다50%,2021-09-29,RAMP_BUY,12.47,14512.44,0.04,0.3154
5y,H 둘다50%,2021-09-30,RAMP_BUY,12.48,14448.58,0.04,0.3544
5y,H 둘다50%,2021-10-01,RAMP_BUY,9.97,14566.7,0.04,0.3963
5y,H 둘다50%,2021-10-04,CRASH_HALF_BUY,18.33,14255.48,0.3044,0.6956
5y,H 둘다50%,2021-10-05,CRASH_HALF_BUY,9.5,14433.83,0.1509,0.8491
5y,H 둘다50%,2021-10-06,CRASH_HALF_BUY,18.77,14501.91,0.0751,0.9249
5y,H 둘다50%,2021-10-07,CRASH_HALF_BUY,20.07,14654.02,0.0372,0.9628
5y,H 둘다50%,2021-10-08,CRASH_HALF_BUY,24.6,14579.54,0.0187,0.9813
5y,H 둘다50%,2021-10-11,CRASH_HALF_BUY,25.27,14486.2,0.0094,0.9906
5y,H 둘다50%,2021-10-12,CRASH_HALF_BUY,25.9,14465.92,0.0047,0.9953
5y,H 둘다50%,2021-10-13,CRASH_HALF_BUY,22.7,14571.64,0.0023,0.9977
5y,H 둘다50%,2021-10-14,CRASH_HALF_BUY,24.1,14823.43,0.0011,0.9989
5y,H 둘다50%,2021-11-12,WEEKLY_BUY,72.23,15860.96,0.0011,1.0
5y,H 둘다50%,2023-02-02,SELL_HALF,82.17,12200.82,0.5,0.5
5y,H 둘다50%,2023-03-06,WEEKLY_BUY,55.69,11675.74,0.1,0.589
5y,H 둘다50%,2023-03-13,CRASH_HALF_BUY,26.89,11188.84,0.2107,0.7893
5y,H 둘다50%,2023-03-14,CRASH_HALF_BUY,23.36,11428.15,0.1036,0.8964
5y,H 둘다50%,2023-03-15,CRASH_HALF_BUY,25.09,11434.05,0.0518,0.9482
5y,H 둘다50%,2023-03-16,CRASH_HALF_BUY,22.69,11717.28,0.0253,0.9747
5y,H 둘다50%,2023-03-20,CRASH_HALF_BUY,27.0,11675.54,0.0127,0.9873
5y,H 둘다50%,2023-03-21,CRASH_HALF_BUY,30.43,11860.11,0.0062,0.9938
5y,H 둘다50%,2023-04-20,WEEKLY_BUY,67.26,12059.56,0.0061,1.0
5y,H 둘다50%,2023-06-14,SELL_HALF,79.63,13626.48,0.5,0.5
5y,H 둘다50%,2023-06-30,SELL_HALF,79.2,13787.92,0.2515,0.2515
5y,H 둘다50%,2023-07-14,SELL_HALF,79.4,14113.7,0.1279,0.1279
5y,H 둘다50%,2023-08-25,WEEKLY_BUY,40.59,13590.65,0.1,0.2238
5y,H 둘다50%,2023-09-26,WEEKLY_BUY,38.43,13063.61,0.1,0.317
5y,H 둘다50%,2023-09-27,CRASH_HALF_BUY,24.23,13092.85,0.3413,0.6587
5y,H 둘다50%,2023-09-28,CRASH_HALF_BUY,22.83,13201.28,0.1697,0.8303
5y,H 둘다50%,2023-09-29,CRASH_HALF_BUY,29.0,13219.32,0.0848,0.9152
5y,H 둘다50%,2023-10-02,CRASH_HALF_BUY,28.4,13307.77,0.0421,0.9579
5y,H 둘다50%,2023-10-03,CRASH_HALF_BUY,28.31,13059.47,0.0214,0.9786
5y,H 둘다50%,2023-10-04,CRASH_HALF_BUY,20.53,13236.01,0.0106,0.9894
5y,H 둘다50%,2023-10-05,CRASH_HALF_BUY,20.99,13219.83,0.0053,0.9947
5y,H 둘다50%,2023-10-06,CRASH_HALF_BUY,20.33,13431.34,0.0026,0.9974
5y,H 둘다50%,2023-10-09,CRASH_HALF_BUY,27.71,13484.24,0.0013,0.9987
5y,H 둘다50%,2023-10-10,CRASH_HALF_BUY,29.26,13562.84,0.0006,0.9994
5y,H 둘다50%,2023-10-16,CRASH_HALF_BUY,26.27,13567.98,0.0003,0.9997
5y,H 둘다50%,2023-10-19,CRASH_HALF_BUY,30.57,13186.18,0.0002,0.9998
5y,H 둘다50%,2023-10-20,CRASH_HALF_BUY,29.54,12983.81,0.0001,0.9999
5y,H 둘다50%,2023-10-23,CRASH_HALF_BUY,22.86,13018.33,0.0,1.0
5y,H 둘다50%,2023-10-24,CRASH_HALF_BUY,25.84,13139.87,0.0,1.0
5y,H 둘다50%,2023-10-26,CRASH_HALF_BUY,25.21,12595.61,0.0,1.0
5y,H 둘다50%,2023-10-27,CRASH_HALF_BUY,22.71,12643.01,0.0,1.0
5y,H 둘다50%,2023-10-30,CRASH_HALF_BUY,21.61,12789.48,0.0,1.0
5y,H 둘다50%,2023-10-31,CRASH_HALF_BUY,29.2,12851.24,0.0,1.0
5y,H 둘다50%,2023-11-01,CRASH_HALF_BUY,30.14,13061.47,0.0,1.0
5y,H 둘다50%,2023-12-01,WEEKLY_BUY,64.37,14305.03,0.0,1.0
5y,H 둘다50%,2023-12-20,SELL_HALF,82.97,14777.94,0.5,0.5
5y,H 둘다50%,2023-12-26,SELL_HALF,79.74,15074.57,0.2525,0.2525
5y,H 둘다50%,2024-02-02,WEEKLY_BUY,72.34,15628.95,0.1,0.3594
5y,H 둘다50%,2024-03-05,SELL_HALF,79.23,15939.59,0.182,0.182
5y,H 둘다50%,2024-04-04,WEEKLY_BUY,69.4,16049.08,0.1,0.283
5y,H 둘다50%,2024-04-19,CRASH_HALF_BUY,30.4,15282.01,0.3634,0.6366
5y,H 둘다50%,2024-04-22,CRASH_HALF_BUY,27.67,15451.31,0.1804,0.8196
5y,H 둘다50%,2024-05-21,WEEKLY_BUY,60.43,16832.62,0.1,0.9319
5y,H 둘다50%,2024-06-21,WEEKLY_BUY,38.71,17689.36,0.065,1.0
2011,H 100/100(기존),2011-01-03,RAMP_BUY,68.0,2691.52,0.04,0.04
2011,H 100/100(기존),2011-01-04,RAMP_BUY,68.0,2681.25,0.04,0.0799
2011,H 100/100(기존),2011-01-05,RAMP_BUY,68.0,2702.2,0.04,0.1204
2011,H 100/100(기존),2011-01-06,RAMP_BUY,67.0,2709.89,0.04,0.1607
2011,H 100/100(기존),2011-01-07,RAMP_BUY,64.0,2703.17,0.04,0.2004
2011,H 100/100(기존),2011-01-10,RAMP_BUY,63.0,2707.8,0.04,0.2407
2011,H 100/100(기존),2011-01-11,RAMP_BUY,58.0,2716.83,0.04,0.2813
2011,H 100/100(기존),2011-01-12,RAMP_BUY,58.0,2737.33,0.04,0.3228
2011,H 100/100(기존),2011-01-13,RAMP_BUY,58.0,2735.29,0.04,0.3626
2011,H 100/100(기존),2011-01-14,RAMP_BUY,58.0,2755.3,0.04,0.4043
2011,H 100/100(기존),2011-02-15,WEEKLY_BUY,61.0,2804.35,0.1,0.5086
2011,H 100/100(기존),2011-03-09,CRASH_FULL_BUY,27.0,2751.72,0.4962,1.0
2011,H 100/100(기존),2012-01-10,SELL_ALL,81.0,2702.5,,0.0
