sample,resell,crash,crash_buy,sell,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
5y,55,10,1.0,1.0,0.4165,0.0722,-0.1357,0.108,0.701
5y,55,10,0.5,0.5,0.4458,0.0766,-0.1324,0.1105,0.726
5y,55,15,1.0,1.0,0.1914,0.0357,-0.1999,0.1315,0.333
5y,55,15,0.5,0.5,0.2379,0.0437,-0.2032,0.1332,0.388
5y,55,20,1.0,1.0,0.3202,0.0572,-0.2387,0.155,0.437
5y,55,20,0.5,0.5,0.3065,0.055,-0.2222,0.1559,0.423
5y,55,25,1.0,1.0,0.4968,0.0841,-0.2387,0.1676,0.568
5y,55,25,0.5,0.5,0.4917,0.0834,-0.2318,0.1701,0.557
5y,55,30,1.0,1.0,0.6284,0.1026,-0.2387,0.1715,0.657
5y,55,30,0.5,0.5,0.6012,0.0989,-0.2387,0.1765,0.624
5y,55,35,1.0,1.0,0.463,0.0792,-0.2387,0.175,0.524
5y,55,35,0.5,0.5,0.6194,0.1013,-0.2387,0.1802,0.628
5y,55,40,1.0,1.0,0.4506,0.0773,-0.2387,0.184,0.498
5y,55,40,0.5,0.5,0.6349,0.1035,-0.2498,0.1885,0.619
5y,60,10,1.0,1.0,0.4878,0.0828,-0.1357,0.1117,0.77
5y,60,10,0.5,0.5,0.4948,0.0838,-0.1325,0.1116,0.78
5y,60,15,1.0,1.0,0.2473,0.0452,-0.2119,0.1346,0.397
5y,60,15,0.5,0.5,0.2893,0.0522,-0.2054,0.1337,0.448
5y,60,20,1.0,1.0,0.3247,0.0579,-0.2536,0.1587,0.435
5y,60,20,0.5,0.5,0.3027,0.0544,-0.237,0.156,0.418
5y,60,25,1.0,1.0,0.5048,0.0853,-0.2536,0.1709,0.566
5y,60,25,0.5,0.5,0.4219,0.073,-0.2318,0.1706,0.5
5y,60,30,1.0,1.0,0.6355,0.1035,-0.2536,0.1748,0.653
5y,60,30,0.5,0.5,0.5198,0.0874,-0.2387,0.1783,0.561
5y,60,35,1.0,1.0,0.4749,0.0809,-0.2459,0.1782,0.527
5y,60,35,0.5,0.5,0.513,0.0865,-0.2387,0.1828,0.547
5y,60,40,1.0,1.0,0.3792,0.0665,-0.2387,0.1884,0.437
5y,60,40,0.5,0.5,0.518,0.0872,-0.2567,0.1905,0.536
5y,65,10,1.0,1.0,0.6301,0.1028,-0.151,0.1173,0.896
5y,65,10,0.5,0.5,0.4795,0.0816,-0.1861,0.1256,0.69
5y,65,15,1.0,1.0,0.4379,0.0754,-0.1999,0.1444,0.578
5y,65,15,0.5,0.5,0.3152,0.0564,-0.2098,0.1458,0.45
5y,65,20,1.0,1.0,0.4036,0.0703,-0.2718,0.1706,0.484
5y,65,20,0.5,0.5,0.3226,0.0576,-0.2718,0.1703,0.415
5y,65,25,1.0,1.0,0.5791,0.0958,-0.2718,0.1827,0.594
5y,65,25,0.5,0.5,0.4372,0.0753,-0.276,0.1825,0.49
5y,65,30,1.0,1.0,0.6953,0.1115,-0.2718,0.1905,0.652
5y,65,30,0.5,0.5,0.5292,0.0888,-0.282,0.1909,0.543
5y,65,35,1.0,1.0,0.6047,0.0993,-0.2718,0.1928,0.589
5y,65,35,0.5,0.5,0.5762,0.0954,-0.2825,0.1952,0.566
5y,65,40,1.0,1.0,0.6,0.0987,-0.2718,0.1979,0.576
5y,65,40,0.5,0.5,0.608,0.0998,-0.2833,0.1998,0.578
5y,70,10,1.0,1.0,0.3513,0.0621,-0.2138,0.1506,0.477
5y,70,10,0.5,0.5,0.4349,0.075,-0.2295,0.1567,0.541
5y,70,15,1.0,1.0,0.1955,0.0364,-0.2294,0.16,0.304
5y,70,15,0.5,0.5,0.2944,0.053,-0.2477,0.1674,0.393
5y,70,20,1.0,1.0,0.2105,0.039,-0.294,0.1813,0.302
5y,70,20,0.5,0.5,0.3136,0.0561,-0.294,0.1831,0.391
