sample,id,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
전체(6.2년),Buy&Hold,2.151,0.2033,-0.3863,0.2726,0.835
전체(6.2년),A,0.5308,0.0711,-0.2522,0.1629,0.514
전체(6.2년),B,0.6462,0.0837,-0.2457,0.1589,0.598
전체(6.2년),C,0.6476,0.0838,-0.2457,0.1589,0.599
전체(6.2년),D,0.6455,0.0836,-0.2457,0.1589,0.598
전체(6.2년),E,0.606,0.0794,-0.2494,0.1604,0.569
전체(6.2년),F,0.6443,0.0835,-0.2457,0.1588,0.597
전체(6.2년),G,0.5948,0.0782,-0.2494,0.1603,0.562
전체(6.2년),H,0.4678,0.0638,-0.3479,0.1969,0.421
전체(6.2년),I,0.6876,0.088,-0.3479,0.2128,0.514
최근5년,Buy&Hold,1.2043,0.1718,-0.3863,0.2925,0.706
최근5년,A,0.3144,0.0564,-0.2029,0.1711,0.414
최근5년,B,0.4262,0.0738,-0.1943,0.1671,0.521
최근5년,C,0.4264,0.0738,-0.1943,0.1671,0.521
최근5년,D,0.4296,0.0743,-0.1921,0.1671,0.524
최근5년,E,0.3735,0.0657,-0.196,0.1687,0.472
최근5년,F,0.4744,0.081,-0.1823,0.1663,0.564
최근5년,G,0.4166,0.0724,-0.1863,0.168,0.511
최근5년,H,0.3582,0.0633,-0.2931,0.2098,0.406
최근5년,I,0.4852,0.0826,-0.2931,0.2281,0.472
