sample,filter,cap,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022,episodes
5y,탐욕소진 + 나스닥<200일선,0.0,1.149,0.1655,-0.2432,0.164,1.02,-0.12025015632742708,3
5y,탐욕소진 + 나스닥<200일선,0.5,1.0293,0.1522,-0.2432,0.1764,0.895,-0.22999821875587323,3
5y,추세만: 나스닥<200일선,0.0,1.0393,0.1534,-0.1315,0.135,1.129,-0.08374503166442249,10
5y,추세만: 나스닥<200일선,0.5,0.9896,0.1477,-0.2252,0.1562,0.964,-0.2142679379540261,10
5y,탐욕소진 + 나스닥<125일선,0.0,0.7987,0.1247,-0.3008,0.1834,0.735,-0.2790628691421084,6
5y,탐욕소진 + 나스닥<125일선,0.5,0.8467,0.1307,-0.3222,0.1914,0.74,-0.3121298592727271,6
5y,추세만: 나스닥<125일선,0.0,0.9474,0.1428,-0.1312,0.1318,1.084,-0.10789580304925339,17
5y,추세만: 나스닥<125일선,0.5,0.9247,0.1401,-0.2398,0.1547,0.929,-0.2329856594366454,17
5y,탐욕소진 + S&P500<125일선(CNN 모멘텀),0.0,0.5119,0.0863,-0.384,0.2048,0.508,-0.36166401155160954,10
5y,탐욕소진 + S&P500<125일선(CNN 모멘텀),0.5,0.6099,0.1001,-0.3668,0.2073,0.565,-0.3540637889978959,10
5y,추세만: S&P500<125일선(CNN 모멘텀),0.0,0.7045,0.1127,-0.2474,0.1382,0.846,-0.2312369483510741,23
5y,추세만: S&P500<125일선(CNN 모멘텀),0.5,0.7105,0.1135,-0.2997,0.1587,0.76,-0.2898158304851437,23
2011,탐욕소진 + 나스닥<200일선,0.0,6.0082,0.132,-0.2432,0.1493,0.907,-0.12025015632742697,14
2011,탐욕소진 + 나스닥<200일선,0.5,6.6584,0.1384,-0.2432,0.1588,0.898,-0.22999821875587323,14
2011,추세만: 나스닥<200일선,0.0,4.3463,0.1126,-0.2026,0.1349,0.861,-0.08374503166442249,41
2011,추세만: 나스닥<200일선,0.5,5.7933,0.1297,-0.2252,0.1487,0.897,-0.214267937954026,41
2011,탐욕소진 + 나스닥<125일선,0.0,3.9521,0.1072,-0.3008,0.1538,0.741,-0.27906286914210865,27
2011,탐욕소진 + 나스닥<125일선,0.5,5.291,0.1242,-0.3222,0.1624,0.804,-0.31212985927272696,27
2011,추세만: 나스닥<125일선,0.0,2.3928,0.0809,-0.2463,0.1202,0.709,-0.10789580304925361,77
2011,추세만: 나스닥<125일선,0.5,4.2623,0.1115,-0.2398,0.1387,0.834,-0.2329856594366454,77
