initial,ramp_days,buy_step,interval,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
0.5,1,0.2,21,1.5987,0.1673,-0.2718,0.1856,0.929
0.5,2,0.2,21,1.5917,0.1668,-0.2718,0.1856,0.927
0.5,3,0.2,21,1.5766,0.1657,-0.2718,0.1855,0.922
0.4,1,0.2,21,1.5755,0.1656,-0.2718,0.1853,0.923
0.5,1,0.2,14,1.5733,0.1654,-0.2718,0.1872,0.915
0.5,7,0.2,21,1.5706,0.1652,-0.2718,0.1855,0.92
0.5,1,0.1,21,1.5693,0.1651,-0.2718,0.185,0.922
0.4,2,0.2,21,1.5689,0.1651,-0.2718,0.1852,0.921
0.5,5,0.2,21,1.5684,0.1651,-0.2718,0.1855,0.919
0.5,2,0.1,21,1.565,0.1648,-0.2718,0.185,0.92
0.5,10,0.2,21,1.5623,0.1646,-0.2718,0.1854,0.918
0.5,1,0.1,14,1.5579,0.1643,-0.2718,0.1855,0.916
0.5,2,0.2,14,1.5576,0.1643,-0.2718,0.1871,0.909
0.4,3,0.2,21,1.556,0.1642,-0.2718,0.1852,0.916
0.5,10,0.2,14,1.5551,0.1641,-0.2718,0.1864,0.911
0.5,3,0.2,14,1.5525,0.1639,-0.2718,0.1871,0.908
0.3,1,0.2,21,1.5522,0.1639,-0.2718,0.185,0.916
0.5,3,0.1,21,1.5518,0.1639,-0.2718,0.1849,0.916
0.5,5,0.2,14,1.5507,0.1638,-0.2718,0.187,0.908
0.4,1,0.2,14,1.5503,0.1637,-0.2718,0.1868,0.908
0.4,7,0.2,21,1.5497,0.1637,-0.2718,0.1852,0.914
0.5,7,0.1,21,1.5496,0.1637,-0.2718,0.1849,0.915
0.5,2,0.1,14,1.5492,0.1637,-0.2718,0.1855,0.913
0.4,5,0.2,21,1.5489,0.1636,-0.2718,0.1852,0.914
0.5,10,0.1,21,1.5468,0.1635,-0.2718,0.1848,0.915
0.4,1,0.1,21,1.5463,0.1634,-0.2718,0.1847,0.915
0.3,2,0.2,21,1.546,0.1634,-0.2718,0.185,0.914
0.5,5,0.1,21,1.5449,0.1633,-0.2718,0.1849,0.914
0.5,10,0.1,14,1.5444,0.1633,-0.2718,0.1851,0.913
0.4,2,0.1,21,1.5423,0.1632,-0.2718,0.1847,0.914
0.4,10,0.2,21,1.541,0.1631,-0.2718,0.1851,0.912
0.5,3,0.1,14,1.541,0.1631,-0.2718,0.1854,0.91
0.5,14,0.2,14,1.539,0.1629,-0.2718,0.1864,0.906
0.5,5,0.1,14,1.5373,0.1628,-0.2718,0.1854,0.909
0.3,3,0.2,21,1.5354,0.1626,-0.2718,0.1849,0.91
0.4,2,0.2,14,1.5351,0.1626,-0.2718,0.1867,0.903
0.5,14,0.2,21,1.535,0.1626,-0.2718,0.1853,0.909
0.4,1,0.1,14,1.535,0.1626,-0.2718,0.1851,0.909
0.4,10,0.2,14,1.5339,0.1625,-0.2718,0.1862,0.905
0.5,7,0.2,14,1.5338,0.1625,-0.2718,0.1869,0.902
0.5,7,0.1,14,1.5326,0.1624,-0.2718,0.1853,0.908
