initial,buy_step,interval,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
0.5,0.2,21,1.5987,0.1673,-0.2718,0.1856,0.929
0.4,0.2,21,1.5755,0.1656,-0.2718,0.1853,0.923
0.5,0.2,14,1.5733,0.1654,-0.2718,0.1872,0.915
0.5,0.1,21,1.5693,0.1651,-0.2718,0.185,0.922
0.5,0.1,14,1.5579,0.1643,-0.2718,0.1855,0.916
0.3,0.2,21,1.5522,0.1639,-0.2718,0.185,0.916
0.4,0.2,14,1.5503,0.1637,-0.2718,0.1868,0.908
0.4,0.1,21,1.5463,0.1634,-0.2718,0.1847,0.915
0.4,0.1,14,1.535,0.1626,-0.2718,0.1851,0.909
0.3,0.2,14,1.5273,0.162,-0.2718,0.1864,0.902
0.3,0.1,21,1.5233,0.1617,-0.2718,0.1844,0.908
0.3,0.1,14,1.5121,0.1609,-0.2718,0.1849,0.902
