initial,ramp_days,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
0.4,1,1.5755,0.1656,-0.2718,0.1853,0.923
0.4,2,1.5689,0.1651,-0.2718,0.1852,0.921
0.4,3,1.556,0.1642,-0.2718,0.1852,0.916
0.4,7,1.5497,0.1637,-0.2718,0.1852,0.914
0.4,5,1.5489,0.1636,-0.2718,0.1852,0.914
0.4,10,1.541,0.1631,-0.2718,0.1851,0.912
0.4,14,1.5157,0.1612,-0.2718,0.185,0.903
0.5,1,1.5987,0.1673,-0.2718,0.1856,0.929
0.5,2,1.5917,0.1668,-0.2718,0.1856,0.927
0.5,3,1.5766,0.1657,-0.2718,0.1855,0.922
0.5,7,1.5706,0.1652,-0.2718,0.1855,0.92
0.5,5,1.5684,0.1651,-0.2718,0.1855,0.919
0.5,10,1.5623,0.1646,-0.2718,0.1854,0.918
0.5,14,1.535,0.1626,-0.2718,0.1853,0.909
