initial_allocation,buy_step,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
0.3,0.0,1.2326,0.1389,-0.2083,0.1387,1.011
0.3,0.0025,1.2331,0.139,-0.2083,0.1387,1.011
0.3,0.005,1.2335,0.139,-0.2083,0.1387,1.012
0.3,0.0075,1.2339,0.139,-0.2083,0.1387,1.012
0.3,0.01,1.2344,0.1391,-0.2083,0.1387,1.012
0.3,0.0125,1.2348,0.1391,-0.2083,0.1387,1.012
0.3,0.015,1.2352,0.1391,-0.2083,0.1387,1.012
0.3,0.0175,1.2356,0.1392,-0.2083,0.1387,1.012
0.3,0.02,1.2361,0.1392,-0.2083,0.1387,1.013
0.3,0.0225,1.2365,0.1393,-0.2083,0.1387,1.013
0.3,0.025,1.2369,0.1393,-0.2083,0.1387,1.013
0.3,0.0275,1.2373,0.1393,-0.2083,0.1387,1.013
0.3,0.03,1.2378,0.1394,-0.2083,0.1387,1.013
0.3,0.0325,1.2382,0.1394,-0.2083,0.1387,1.014
0.3,0.035,1.2386,0.1394,-0.2083,0.1387,1.014
0.3,0.0375,1.239,0.1395,-0.2083,0.1388,1.014
0.3,0.04,1.2394,0.1395,-0.2083,0.1388,1.014
0.3,0.0425,1.2399,0.1395,-0.2083,0.1388,1.014
0.3,0.045,1.2403,0.1396,-0.2083,0.1388,1.014
0.3,0.0475,1.2407,0.1396,-0.2083,0.1388,1.014
0.3,0.05,1.2411,0.1396,-0.2083,0.1388,1.015
0.3,0.0525,1.2415,0.1397,-0.2083,0.1388,1.015
0.3,0.055,1.2419,0.1397,-0.2083,0.1388,1.015
0.3,0.0575,1.2424,0.1397,-0.2083,0.1388,1.015
0.3,0.06,1.2428,0.1398,-0.2083,0.1389,1.015
0.3,0.0625,1.2432,0.1398,-0.2083,0.1389,1.015
0.3,0.065,1.2436,0.1398,-0.2083,0.1389,1.015
0.3,0.0675,1.244,0.1399,-0.2083,0.1389,1.016
0.3,0.07,1.2444,0.1399,-0.2083,0.1389,1.016
0.3,0.0725,1.2448,0.1399,-0.2083,0.1389,1.016
0.3,0.075,1.2452,0.14,-0.2083,0.1389,1.016
0.3,0.0775,1.2456,0.14,-0.2083,0.139,1.016
0.3,0.08,1.246,0.14,-0.2083,0.139,1.016
0.3,0.0825,1.2465,0.1401,-0.2083,0.139,1.016
0.3,0.085,1.2469,0.1401,-0.2083,0.139,1.016
0.3,0.0875,1.2473,0.1401,-0.2083,0.139,1.016
0.3,0.09,1.2477,0.1402,-0.2083,0.139,1.017
0.3,0.0925,1.2481,0.1402,-0.2083,0.1391,1.017
0.3,0.095,1.2485,0.1402,-0.2083,0.1391,1.017
0.3,0.0975,1.2489,0.1403,-0.2083,0.1391,1.017
0.3,0.1,1.2493,0.1403,-0.2083,0.1391,1.017
0.3025,0.0,1.233,0.139,-0.2083,0.1387,1.011
0.3025,0.0025,1.2335,0.139,-0.2083,0.1387,1.012
0.3025,0.005,1.2339,0.139,-0.2083,0.1387,1.012
0.3025,0.0075,1.2343,0.1391,-0.2083,0.1387,1.012
0.3025,0.01,1.2348,0.1391,-0.2083,0.1387,1.012
0.3025,0.0125,1.2352,0.1391,-0.2083,0.1387,1.012
0.3025,0.015,1.2356,0.1392,-0.2083,0.1387,1.012
0.3025,0.0175,1.236,0.1392,-0.2083,0.1387,1.013
0.3025,0.02,1.2365,0.1393,-0.2083,0.1387,1.013
0.3025,0.0225,1.2369,0.1393,-0.2083,0.1387,1.013
0.3025,0.025,1.2373,0.1393,-0.2083,0.1387,1.013
0.3025,0.0275,1.2377,0.1394,-0.2083,0.1387,1.013
