initial_allocation,ramp_days,buy_interval_days,buy_step,resell_level,crash_level,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
0.1,1,3,0.05,60,10,0.6758,0.0872,-0.185,0.1114,0.809
0.1,1,3,0.05,60,15,0.6574,0.0853,-0.1851,0.1169,0.761
0.1,1,3,0.05,60,20,0.6709,0.0867,-0.189,0.1245,0.732
0.1,1,3,0.05,60,25,0.8294,0.1028,-0.189,0.1295,0.823
0.1,1,3,0.05,60,30,0.9362,0.113,-0.189,0.1321,0.879
0.1,1,3,0.05,65,10,0.8138,0.1012,-0.208,0.1252,0.836
0.1,1,3,0.05,65,15,0.8278,0.1026,-0.208,0.1285,0.827
0.1,1,3,0.05,65,20,0.8514,0.1049,-0.2083,0.134,0.814
0.1,1,3,0.05,65,25,1.0114,0.1198,-0.2083,0.1384,0.89
0.1,1,3,0.05,65,30,1.2145,0.1374,-0.2083,0.1405,0.99
0.1,1,3,0.05,70,10,0.7624,0.0961,-0.2337,0.1447,0.709
0.1,1,3,0.05,70,15,0.7624,0.0961,-0.2337,0.1447,0.709
0.1,1,3,0.05,70,20,0.7822,0.0981,-0.2288,0.1454,0.719
0.1,1,3,0.05,70,25,0.8705,0.1068,-0.2543,0.1489,0.758
0.1,1,3,0.05,70,30,0.98,0.117,-0.2543,0.1501,0.815
0.1,1,3,0.05,75,10,1.0559,0.1238,-0.238,0.1506,0.854
0.1,1,3,0.05,75,15,1.0559,0.1238,-0.238,0.1506,0.854
0.1,1,3,0.05,75,20,1.0643,0.1246,-0.2349,0.1507,0.857
0.1,1,3,0.05,75,25,1.1371,0.1309,-0.2543,0.1535,0.881
0.1,1,3,0.05,75,30,1.1797,0.1345,-0.2543,0.1538,0.9
0.1,1,3,0.05,80,10,1.2207,0.1379,-0.2543,0.1599,0.891
0.1,1,3,0.05,80,15,1.2207,0.1379,-0.2543,0.1599,0.891
0.1,1,3,0.05,80,20,1.2207,0.1379,-0.2543,0.1599,0.891
0.1,1,3,0.05,80,25,1.2951,0.144,-0.2543,0.1607,0.921
0.1,1,3,0.05,80,30,1.293,0.1439,-0.2543,0.1607,0.92
0.1,1,3,0.05,85,10,1.2683,0.1419,-0.2543,0.1647,0.891
0.1,1,3,0.05,85,15,1.2683,0.1419,-0.2543,0.1647,0.891
0.1,1,3,0.05,85,20,1.2683,0.1419,-0.2543,0.1647,0.891
0.1,1,3,0.05,85,25,1.2683,0.1419,-0.2543,0.1647,0.891
0.1,1,3,0.05,85,30,1.2683,0.1419,-0.2543,0.1647,0.891
0.1,1,3,0.05,90,10,1.2683,0.1419,-0.2543,0.1647,0.891
0.1,1,3,0.05,90,15,1.2683,0.1419,-0.2543,0.1647,0.891
0.1,1,3,0.05,90,20,1.2683,0.1419,-0.2543,0.1647,0.891
0.1,1,3,0.05,90,25,1.2683,0.1419,-0.2543,0.1647,0.891
0.1,1,3,0.05,90,30,1.2683,0.1419,-0.2543,0.1647,0.891
0.1,1,3,0.1,60,10,0.7506,0.0949,-0.189,0.1267,0.782
0.1,1,3,0.1,60,15,0.7455,0.0944,-0.189,0.1282,0.771
0.1,1,3,0.1,60,20,0.7675,0.0966,-0.189,0.1309,0.773
0.1,1,3,0.1,60,25,0.8819,0.1078,-0.189,0.1335,0.837
0.1,1,3,0.1,60,30,0.9518,0.1144,-0.189,0.1356,0.87
0.1,1,3,0.1,65,10,0.9925,0.1181,-0.2083,0.1391,0.875
0.1,1,3,0.1,65,15,0.9912,0.118,-0.2083,0.1392,0.874
0.1,1,3,0.1,65,20,1.0265,0.1212,-0.2083,0.1405,0.888
0.1,1,3,0.1,65,25,1.1337,0.1306,-0.2083,0.1427,0.935
0.1,1,3,0.1,65,30,1.2695,0.142,-0.2083,0.144,0.997
0.1,1,3,0.1,70,10,1.0032,0.1191,-0.2543,0.152,0.819
0.1,1,3,0.1,70,15,1.0032,0.1191,-0.2543,0.152,0.819
0.1,1,3,0.1,70,20,1.0032,0.1191,-0.2543,0.152,0.819
