buy_step,ramp_days,interval_days,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
0.1,1,5,1.2807,0.1429,-0.2083,0.1417,1.017
0.1,1,7,1.2429,0.1398,-0.2083,0.1404,1.006
0.1,1,10,1.2622,0.1414,-0.2083,0.1396,1.021
0.1,1,14,1.2656,0.1416,-0.2083,0.1393,1.024
0.1,1,21,1.2791,0.1427,-0.2083,0.139,1.033
0.1,1,30,1.2554,0.1408,-0.2083,0.1389,1.021
0.1,1,45,1.2434,0.1398,-0.2083,0.1388,1.016
0.1,1,63,1.252,0.1405,-0.2083,0.1388,1.02
0.1,2,5,1.2769,0.1426,-0.2083,0.1416,1.015
0.1,2,7,1.2387,0.1394,-0.2083,0.1404,1.003
0.1,2,10,1.2576,0.141,-0.2083,0.1396,1.018
0.1,2,14,1.2605,0.1412,-0.2083,0.1393,1.022
0.1,2,21,1.2772,0.1426,-0.2083,0.139,1.032
0.1,2,30,1.2526,0.1406,-0.2083,0.1389,1.02
0.1,2,45,1.2421,0.1397,-0.2083,0.1388,1.015
0.1,2,63,1.2507,0.1404,-0.2083,0.1388,1.02
0.1,3,5,1.2675,0.1418,-0.2083,0.1416,1.011
0.1,3,7,1.2319,0.1389,-0.2083,0.1404,1.0
0.1,3,10,1.2529,0.1406,-0.2083,0.1396,1.016
0.1,3,14,1.257,0.1409,-0.2083,0.1393,1.02
0.1,3,21,1.2736,0.1423,-0.2083,0.139,1.03
0.1,3,30,1.2501,0.1404,-0.2083,0.1389,1.019
0.1,3,45,1.2391,0.1395,-0.2083,0.1388,1.014
0.1,3,63,1.2477,0.1402,-0.2083,0.1388,1.018
0.1,5,5,1.2516,0.1405,-0.2083,0.1416,1.003
0.1,5,7,1.2274,0.1385,-0.2083,0.1404,0.998
0.1,5,10,1.2418,0.1397,-0.2083,0.1396,1.01
0.1,5,14,1.2531,0.1406,-0.2083,0.1393,1.018
0.1,5,21,1.2697,0.142,-0.2083,0.139,1.029
0.1,5,30,1.2409,0.1396,-0.2083,0.1389,1.014
0.1,5,45,1.235,0.1391,-0.2083,0.1388,1.012
0.1,5,63,1.2436,0.1398,-0.2083,0.1388,1.016
0.1,7,5,1.2546,0.1407,-0.2083,0.1414,1.005
0.1,7,7,1.2158,0.1375,-0.2083,0.1403,0.992
0.1,7,10,1.2484,0.1402,-0.2083,0.1394,1.014
0.1,7,14,1.2468,0.1401,-0.2083,0.1392,1.015
0.1,7,21,1.2682,0.1419,-0.2083,0.1389,1.028
0.1,7,30,1.2504,0.1404,-0.2083,0.1388,1.02
0.1,7,45,1.2365,0.1393,-0.2083,0.1388,1.012
0.1,7,63,1.2451,0.14,-0.2083,0.1388,1.017
0.1,10,5,1.2387,0.1394,-0.2083,0.1413,0.998
0.1,10,7,1.2164,0.1376,-0.2083,0.1402,0.993
0.1,10,10,1.2412,0.1396,-0.2083,0.1394,1.011
0.1,10,14,1.2538,0.1407,-0.2083,0.1391,1.019
0.1,10,21,1.2648,0.1416,-0.2083,0.1389,1.026
0.1,10,30,1.2505,0.1404,-0.2083,0.1388,1.02
0.1,10,45,1.2366,0.1393,-0.2083,0.1388,1.012
0.1,10,63,1.2451,0.14,-0.2083,0.1388,1.017
0.1,14,5,1.235,0.1391,-0.2083,0.1412,0.997
0.1,14,7,1.203,0.1365,-0.2083,0.1401,0.987
0.1,14,10,1.2343,0.1391,-0.2083,0.1394,1.007
0.1,14,14,1.2478,0.1402,-0.2083,0.1391,1.016
0.1,14,21,1.2554,0.1408,-0.2083,0.1389,1.022
0.1,14,30,1.2472,0.1401,-0.2083,0.1388,1.018
0.1,14,45,1.2333,0.139,-0.2083,0.1388,1.011
0.1,14,63,1.2419,0.1397,-0.2083,0.1387,1.015
0.1,21,5,1.2198,0.1379,-0.2083,0.1409,0.991
0.1,21,7,1.1885,0.1353,-0.2083,0.14,0.98
0.1,21,10,1.2233,0.1382,-0.2083,0.1393,1.002
0.1,21,14,1.2288,0.1386,-0.2083,0.1391,1.007
0.1,21,21,1.2539,0.1407,-0.2083,0.1388,1.021
0.1,21,30,1.2377,0.1394,-0.2083,0.1388,1.013
0.1,21,45,1.2239,0.1382,-0.2083,0.1387,1.006
0.1,21,63,1.2324,0.1389,-0.2083,0.1387,1.011
0.2,1,5,1.2949,0.144,-0.2083,0.1452,1.003
0.2,1,7,1.2743,0.1424,-0.2083,0.1431,1.005
0.2,1,10,1.2754,0.1424,-0.2083,0.1414,1.016
0.2,1,14,1.281,0.1429,-0.2083,0.1404,1.025
0.2,1,21,1.3093,0.1452,-0.2083,0.1394,1.046
0.2,1,30,1.2618,0.1413,-0.2083,0.1391,1.023
0.2,1,45,1.2379,0.1394,-0.2083,0.1388,1.013
0.2,1,63,1.2551,0.1408,-0.2083,0.1388,1.022
0.2,2,5,1.2926,0.1438,-0.2083,0.1452,1.002
0.2,2,7,1.2719,0.1422,-0.2083,0.1431,1.004
0.2,2,10,1.2679,0.1418,-0.2083,0.1414,1.012
0.2,2,14,1.2722,0.1422,-0.2083,0.1404,1.021
0.2,2,21,1.3067,0.145,-0.2083,0.1394,1.045
0.2,2,30,1.2574,0.141,-0.2083,0.1391,1.021
0.2,2,45,1.2366,0.1393,-0.2083,0.1388,1.012
0.2,2,63,1.2537,0.1407,-0.2083,0.1388,1.021
0.2,3,5,1.2818,0.143,-0.2083,0.1451,0.997
0.2,3,7,1.262,0.1413,-0.2083,0.143,0.999
0.2,3,10,1.2613,0.1413,-0.2083,0.1414,1.009
0.2,3,14,1.2681,0.1418,-0.2083,0.1404,1.019
0.2,3,21,1.3025,0.1446,-0.2083,0.1394,1.043
0.2,3,30,1.2554,0.1408,-0.2083,0.1391,1.02
0.2,3,45,1.2336,0.139,-0.2083,0.1388,1.011
0.2,3,63,1.2507,0.1404,-0.2083,0.1388,1.02
0.2,5,5,1.2679,0.1418,-0.2083,0.1451,0.99
0.2,5,7,1.259,0.1411,-0.2083,0.143,0.998
0.2,5,10,1.2442,0.1399,-0.2083,0.1413,1.001
0.2,5,14,1.2643,0.1415,-0.2083,0.1404,1.017
0.2,5,21,1.2989,0.1443,-0.2083,0.1393,1.041
0.2,5,30,1.2411,0.1396,-0.2083,0.1391,1.013
0.2,5,45,1.2295,0.1387,-0.2083,0.1388,1.008
0.2,5,63,1.2466,0.1401,-0.2083,0.1388,1.018
0.2,7,5,1.2655,0.1416,-0.2083,0.145,0.989
0.2,7,7,1.2447,0.1399,-0.2083,0.1429,0.991
0.2,7,10,1.2544,0.1407,-0.2083,0.1411,1.007
0.2,7,14,1.2501,0.1404,-0.2083,0.1403,1.01
0.2,7,21,1.2943,0.144,-0.2083,0.1393,1.039
0.2,7,30,1.2587,0.1411,-0.2083,0.1389,1.023
0.2,7,45,1.231,0.1388,-0.2083,0.1388,1.009
0.2,7,63,1.2482,0.1402,-0.2083,0.1388,1.018
0.2,10,5,1.2536,0.1407,-0.2083,0.145,0.984
0.2,10,7,1.2302,0.1387,-0.2083,0.1429,0.984
0.2,10,10,1.24,0.1395,-0.2083,0.141,1.0
0.2,10,14,1.2642,0.1415,-0.2083,0.1401,1.019
0.2,10,21,1.2873,0.1434,-0.2083,0.1393,1.035
0.2,10,30,1.2587,0.1411,-0.2083,0.1389,1.023
0.2,10,45,1.2311,0.1388,-0.2083,0.1388,1.009
0.2,10,63,1.2482,0.1402,-0.2083,0.1388,1.019
0.2,14,5,1.2398,0.1395,-0.2083,0.1449,0.977
0.2,14,7,1.2077,0.1369,-0.2083,0.1428,0.973
0.2,14,10,1.2294,0.1387,-0.2083,0.141,0.995
0.2,14,14,1.2555,0.1408,-0.2083,0.14,1.014
0.2,14,21,1.2716,0.1421,-0.2083,0.1393,1.028
0.2,14,30,1.2555,0.1408,-0.2083,0.1389,1.022
0.2,14,45,1.2279,0.1385,-0.2083,0.1388,1.008
0.2,14,63,1.245,0.14,-0.2083,0.1388,1.017
0.2,21,5,1.2099,0.1371,-0.2083,0.1445,0.964
0.2,21,7,1.1864,0.1351,-0.2083,0.1424,0.964
0.2,21,10,1.2169,0.1376,-0.2083,0.1407,0.99
0.2,21,14,1.2269,0.1385,-0.2083,0.14,1.0
0.2,21,21,1.2782,0.1427,-0.2083,0.1391,1.032
0.2,21,30,1.246,0.14,-0.2083,0.1389,1.017
0.2,21,45,1.2184,0.1378,-0.2083,0.1388,1.003
0.2,21,63,1.2355,0.1392,-0.2083,0.1387,1.012
