sample,variant,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022,r1_worst,r2_worst,r2_neg,r2_win
5y,즉시 복원 (현재 J),1.0184,0.151,-0.1703,0.1441,1.053,-0.1585917779307464,-0.16806715657047644,0.07337889969443534,0.0,0.48133333333333334
5y,"복원 없음, 정기 21일/10%",0.8211,0.1275,-0.1703,0.1387,0.939,-0.1585917779307464,-0.16806715657047644,0.04732972867061336,0.0,0.43866666666666665
5y,"복원 없음, 정기 21일/20%",0.8332,0.129,-0.1703,0.14,0.941,-0.1585917779307464,-0.16806715657047644,0.03586784338535587,0.0,0.396
5y,"즉시 복원, 정기 14일/10%",1.015,0.1506,-0.1703,0.1448,1.046,-0.1585917779307464,-0.16806715657047644,0.0708064113648319,0.0,0.46266666666666667
5y,"복원 없음, 정기 14일/10%",0.838,0.1296,-0.1703,0.1394,0.948,-0.1585917779307464,-0.16806715657047644,0.04479715226805814,0.0,0.41333333333333333
5y,"복원 없음, 정기 14일/20%",0.8661,0.1331,-0.1703,0.1418,0.956,-0.1585917779307464,-0.16806715657047644,0.030808039470411774,0.0,0.35333333333333333
5y,"복원 없음, 정기 10일/10%",0.8482,0.1309,-0.1703,0.1408,0.948,-0.16179115194226124,-0.16806715657047644,0.03078413572441896,0.0,0.39466666666666667
5y,"복원 없음, 정기 5일/10%",0.8794,0.1347,-0.1728,0.1449,0.949,-0.16610210033341988,-0.16806715657047633,0.008498880701569789,0.0,0.324
2011,즉시 복원 (현재 J),5.8712,0.1306,-0.1944,0.1409,0.944,-0.15859177793074652,-0.1698473454507552,-0.07618683535829784,0.06384213580963435,0.2655252466627974
2011,"복원 없음, 정기 21일/10%",3.9956,0.1078,-0.1869,0.1311,0.849,-0.15859177793074652,-0.16806715657047644,-0.0757288676336495,0.06703424260011608,0.2301218804410911
2011,"복원 없음, 정기 21일/20%",4.2506,0.1114,-0.1894,0.1337,0.859,-0.15859177793074664,-0.16806715657047644,-0.0795266143968899,0.06790481717933837,0.22663958212420196
2011,"즉시 복원, 정기 14일/10%",5.8824,0.1307,-0.1944,0.1418,0.94,-0.1585917779307464,-0.16947237532763593,-0.07475930614368054,0.0612304120719675,0.2603017991874637
2011,"복원 없음, 정기 14일/10%",4.232,0.1111,-0.1868,0.1328,0.862,-0.1585917779307464,-0.16806715657047655,-0.07207662107605783,0.0763203714451538,0.22315728380731284
2011,"복원 없음, 정기 14일/20%",4.5875,0.1158,-0.189,0.137,0.87,-0.15859177793074652,-0.16806715657047644,-0.0780969547770155,0.08647707486941382,0.2211259431224608
2011,"복원 없음, 정기 10일/10%",4.3124,0.1122,-0.1925,0.1355,0.855,-0.161791151942261,-0.16806715657047644,-0.07702796687324798,0.08009286128845038,0.2217063261752757
2011,"복원 없음, 정기 5일/10%",4.777,0.1181,-0.1963,0.1424,0.858,-0.16610210033341966,-0.168113220210922,-0.08549952329502952,0.08966918165989553,0.2150319210679048
