horizon,strategy,n_windows,mean,median,worst,best,pct_negative,win_rate_vs_bnh
3m,BuyHold,1488,0.0413,0.0492,-0.2364,0.3512,0.2843,
3m,v1,1488,0.0172,0.0,-0.2364,0.2541,0.1875,0.3353
3m,v2Default,1488,0.0256,0.0299,-0.2364,0.2776,0.2668,0.336
3m,v2Optimal,1488,0.0412,0.0405,-0.2364,0.2732,0.211,0.4523
6m,BuyHold,1425,0.0806,0.1046,-0.316,0.5093,0.2456,
6m,v1,1425,0.0301,0.0154,-0.2565,0.3155,0.2575,0.2554
6m,v2Default,1425,0.0478,0.0654,-0.2565,0.3156,0.2505,0.2947
6m,v2Optimal,1425,0.0797,0.0853,-0.2135,0.3271,0.2014,0.4891
12m,BuyHold,1299,0.1558,0.2171,-0.3528,0.5398,0.2209,
12m,v1,1299,0.0398,0.0203,-0.2362,0.4005,0.3041,0.2248
12m,v2Default,1299,0.079,0.0978,-0.2766,0.4629,0.2394,0.3072
12m,v2Optimal,1299,0.1431,0.1626,-0.1377,0.5195,0.174,0.4396
24m,BuyHold,1047,0.3041,0.4059,-0.2082,0.9125,0.3114,
24m,v1,1047,0.0391,0.0639,-0.2156,0.3108,0.3773,0.2321
24m,v2Default,1047,0.1199,0.1453,-0.1142,0.441,0.2665,0.3362
24m,v2Optimal,1047,0.2721,0.2522,0.005,0.6961,0.0,0.4546
