scenario,candidate,cap,peak_to_trough,mdd_2022,peak_to_recovery,total_return,sharpe,mdd,cagr,riskoff_episodes,riskoff_days_pct
Buy&Hold,-,,-0.36395279909120204,-0.36395279909120204,0.0021472595422962204,8.8541,0.815,-0.364,0.1568,0,0.0
기준(오버레이 없음),H,,-0.36395279909120204,-0.36395279909120204,0.041198904935472624,5.7751,0.73,-0.364,0.1295,0,0.0
매도기준 65로 하향,H,,-0.051332795661392705,-0.27179466352217363,0.13399402901999213,3.4668,0.651,-0.2718,0.1,0,0.0
매도기준 70로 하향,H,,-0.2472523466008354,-0.34968050420343866,0.01526076061832482,3.8842,0.66,-0.3497,0.1062,0,0.0
매도기준 75로 하향,H,,-0.24862576517365687,-0.34968050420343866,0.011124324119653473,4.7075,0.696,-0.3497,0.1173,0,0.0
급락매수는 200일선 위에서만,H,,-0.36395279909120215,-0.36395279909120215,0.021018535270463268,5.2612,0.707,-0.364,0.1239,0,0.0
추세: 종가<200일선,H,0.0,-0.10693987448259323,-0.10693987448259323,0.22201616293007542,3.4564,0.752,-0.2129,0.0998,41,0.16658227848101265
추세: 종가<200일선,H,0.5,-0.23415861501028257,-0.23415861501028257,0.1269936182429774,4.3715,0.777,-0.2342,0.113,41,0.16658227848101265
추세: 종가<200일선×0.97,H,0.0,-0.14252087795894353,-0.14252087795894353,0.2582432816987359,3.8264,0.767,-0.2259,0.1054,13,0.14101265822784811
추세: 종가<200일선×0.97,H,0.5,-0.24949068635810923,-0.24949068635810923,0.15363157317937026,4.6389,0.784,-0.2495,0.1164,13,0.14101265822784811
추세: 데드크로스(50<200),H,0.0,-0.16664678970193614,-0.16843656796319406,0.09502294597161676,2.9656,0.618,-0.2693,0.0917,8,0.16835443037974684
추세: 데드크로스(50<200),H,0.5,-0.2601060490165228,-0.2601060490165228,0.03109957582246503,4.2699,0.706,-0.2601,0.1116,8,0.16835443037974684
낙폭: 52주고점 -10%,H,0.0,-0.11853825064911316,-0.11853825064911316,0.010627032877542408,2.721,0.694,-0.2293,0.0873,65,0.16886075949367088
낙폭: 52주고점 -10%,H,0.5,-0.23913923971793072,-0.23913923971793072,-0.007208494120192199,3.7635,0.743,-0.2391,0.1045,65,0.16886075949367088
낙폭: 52주고점 -15%,H,0.0,-0.1566451592029322,-0.1568214063537402,0.047293871618639294,3.0281,0.67,-0.2384,0.0928,30,0.12354430379746835
낙폭: 52주고점 -15%,H,0.5,-0.25564039627262936,-0.25564039627262936,0.010633640007880363,4.1247,0.731,-0.2556,0.1096,30,0.12354430379746835
탐욕소진: 60일내 FG≥70 후 FG<40 & 200일선 아래,H,0.0,-0.14252087795894364,-0.14252087795894364,0.19130073248109536,4.6031,0.792,-0.2432,0.116,14,0.12025316455696203
탐욕소진: 60일내 FG≥70 후 FG<40 & 200일선 아래,H,0.5,-0.24949068635810911,-0.24949068635810911,0.11306115190265742,5.0302,0.785,-0.2495,0.1212,14,0.12025316455696203
탐욕지속: 60일중 FG≥70 20일↑ 후 50일선 이탈,H,0.0,-0.36395279909120204,-0.36395279909120204,0.00820573033150418,2.8887,0.601,-0.364,0.0903,31,0.0589873417721519
탐욕지속: 60일중 FG≥70 20일↑ 후 50일선 이탈,H,0.5,-0.36395279909120193,-0.36395279909120193,0.008205730331503958,3.2515,0.633,-0.364,0.0965,31,0.0589873417721519
기준(오버레이 없음),I,,-0.36395279909120204,-0.36395279909120204,0.02609862201579527,7.0529,0.783,-0.364,0.142,0,0.0
매도기준 65로 하향,I,,-0.1958974798126436,-0.28643370640803356,0.026334309208517093,4.1994,0.695,-0.2864,0.1107,0,0.0
매도기준 70로 하향,I,,-0.2977807468524515,-0.34968050420343866,0.01836625056607888,4.8114,0.712,-0.3497,0.1186,0,0.0
매도기준 75로 하향,I,,-0.3075566835781115,-0.34968050420343866,0.03518505110551695,6.4451,0.779,-0.3497,0.1363,0,0.0
급락매수는 200일선 위에서만,I,,-0.36395279909120204,-0.36395279909120204,0.016826801261210278,6.4586,0.761,-0.364,0.1365,0,0.0
추세: 종가<200일선,I,0.0,-0.10693987448259334,-0.10693987448259334,0.19129706847893435,3.9928,0.796,-0.1993,0.1078,41,0.16658227848101265
추세: 종가<200일선,I,0.5,-0.23415861501028257,-0.23415861501028257,0.12239009223456909,5.3175,0.838,-0.2342,0.1245,41,0.16658227848101265
추세: 종가<200일선×0.97,I,0.0,-0.14252087795894364,-0.14252087795894364,0.2399952510435257,4.5448,0.821,-0.2259,0.1152,13,0.14101265822784811
추세: 종가<200일선×0.97,I,0.5,-0.24949068635810911,-0.24949068635810911,0.13690070354677109,5.5839,0.841,-0.2495,0.1275,13,0.14101265822784811
추세: 데드크로스(50<200),I,0.0,-0.16664678970193614,-0.16843656796319417,0.12593053536294718,3.6736,0.678,-0.2566,0.1031,8,0.16835443037974684
추세: 데드크로스(50<200),I,0.5,-0.2601060490165228,-0.2601060490165228,0.060202895007085644,5.2109,0.763,-0.2601,0.1233,8,0.16835443037974684
낙폭: 52주고점 -10%,I,0.0,-0.11853825064911305,-0.11853825064911305,0.03915250394175196,3.4582,0.773,-0.2293,0.0998,65,0.16886075949367088
낙폭: 52주고점 -10%,I,0.5,-0.23913923971793072,-0.23913923971793072,0.020813559963531292,4.803,0.821,-0.2391,0.1185,65,0.16886075949367088
낙폭: 52주고점 -15%,I,0.0,-0.1566451592029322,-0.1568214063537402,0.07685428318364362,3.9398,0.752,-0.2384,0.107,30,0.12354430379746835
낙폭: 52주고점 -15%,I,0.5,-0.25564039627262936,-0.25564039627262936,0.03915929756176184,5.2846,0.807,-0.2556,0.1241,30,0.12354430379746835
탐욕소진: 60일내 FG≥70 후 FG<40 & 200일선 아래,I,0.0,-0.14252087795894364,-0.14252087795894364,0.17149399904824691,5.4659,0.845,-0.2432,0.1262,14,0.12025316455696203
탐욕소진: 60일내 FG≥70 후 FG<40 & 200일선 아래,I,0.5,-0.24949068635810911,-0.24949068635810911,0.10621776225720492,6.0658,0.841,-0.2495,0.1326,14,0.12025316455696203
탐욕지속: 60일중 FG≥70 20일↑ 후 50일선 이탈,I,0.0,-0.36395279909120204,-0.36395279909120204,-0.003924673363281839,3.6346,0.661,-0.364,0.1026,31,0.0589873417721519
