sample,candidate,resell,sell_fraction,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022,r2_worst,r2_neg,r2_win
5y,A,65,1.0,0.6969,0.1117,-0.2718,0.1915,0.651,-0.05730995374747749,-0.016307855514630876,0.0026666666666666666,0.12533333333333332
5y,A,65,0.5,0.6228,0.1018,-0.2864,0.1963,0.594,-0.19846484604211612,-0.06624514730974407,0.029333333333333333,0.112
5y,A,77,1.0,0.8195,0.1273,-0.3565,0.2169,0.663,-0.3304538683278717,-0.05897996706559561,0.025333333333333333,0.504
5y,A,77,0.5,0.8292,0.1285,-0.3565,0.2192,0.663,-0.3474331780394059,-0.1053669681426147,0.064,0.516
5y,B,65,1.0,0.6624,0.1071,-0.2718,0.1913,0.63,-0.051332795661392705,-0.010048336427910587,0.0013333333333333333,0.124
5y,B,65,0.5,0.6078,0.0998,-0.2864,0.196,0.585,-0.1958974798126436,-0.06750144633025801,0.029333333333333333,0.112
5y,B,77,1.0,0.8131,0.1265,-0.3565,0.2165,0.661,-0.3304538683278717,-0.05064696999469698,0.024,0.508
5y,B,77,0.5,0.8312,0.1288,-0.3565,0.2185,0.666,-0.347433178039406,-0.09540549087107131,0.05733333333333333,0.6333333333333333
5y,C,65,1.0,0.6516,0.1057,-0.2718,0.1912,0.623,-0.051332795661392816,-0.010048336427911253,0.0013333333333333333,0.124
5y,C,65,0.5,0.5974,0.0983,-0.2864,0.1959,0.578,-0.1958974798126436,-0.06750144633025801,0.032,0.112
5y,C,77,1.0,0.8013,0.1251,-0.3565,0.2164,0.655,-0.3304538683278717,-0.0506469699946972,0.024,0.508
5y,C,77,0.5,0.8193,0.1273,-0.3565,0.2185,0.66,-0.3474331780394059,-0.09540549087107097,0.05733333333333333,0.6333333333333333
5y,D,65,1.0,0.6397,0.1041,-0.2718,0.1912,0.616,-0.05133279566139248,-0.010048336427910809,0.0013333333333333333,0.124
5y,D,65,0.5,0.5858,0.0967,-0.2864,0.1959,0.571,-0.1958974798126435,-0.06750144633025779,0.032,0.112
5y,D,77,1.0,0.7882,0.1234,-0.3565,0.2164,0.648,-0.3304538683278717,-0.05064696999469709,0.021333333333333333,0.508
5y,D,77,0.5,0.8061,0.1257,-0.3565,0.2184,0.653,-0.3474331780394059,-0.09540549087107142,0.05733333333333333,0.6333333333333333
