sample,structure,interval,step,crash_frac,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,bench_return,bench_sharpe
5y,F79,3,0.02,0.0,0.4501,0.0773,-0.3469,0.2067,0.465,0.8025,0.633
5y,F79,3,0.02,0.25,0.7898,0.1236,-0.364,0.2173,0.647,0.8025,0.633
5y,F79,3,0.02,0.5,0.9014,0.1373,-0.364,0.2185,0.7,0.8025,0.633
5y,F79,3,0.02,0.75,0.9486,0.1429,-0.364,0.219,0.722,0.8025,0.633
5y,F79,3,0.02,1.0,0.9714,0.1456,-0.364,0.2192,0.732,0.8025,0.633
5y,F79,3,0.05,0.0,0.6922,0.1111,-0.3637,0.2175,0.595,0.8025,0.633
5y,F79,3,0.05,0.25,0.8202,0.1274,-0.364,0.2191,0.659,0.8025,0.633
5y,F79,3,0.05,0.5,0.8692,0.1334,-0.364,0.2196,0.682,0.8025,0.633
5y,F79,3,0.05,0.75,0.8919,0.1362,-0.364,0.2199,0.693,0.8025,0.633
5y,F79,3,0.05,1.0,0.9072,0.138,-0.364,0.22,0.7,0.8025,0.633
5y,F79,3,0.1,0.0,0.762,0.1201,-0.364,0.2218,0.624,0.8025,0.633
5y,F79,3,0.1,0.25,0.7898,0.1236,-0.364,0.222,0.638,0.8025,0.633
5y,F79,3,0.1,0.5,0.8049,0.1255,-0.364,0.2222,0.645,0.8025,0.633
5y,F79,3,0.1,0.75,0.8133,0.1266,-0.364,0.2222,0.65,0.8025,0.633
5y,F79,3,0.1,1.0,0.8193,0.1273,-0.364,0.2223,0.652,0.8025,0.633
5y,F79,3,0.15,0.0,0.7897,0.1236,-0.364,0.2234,0.636,0.8025,0.633
5y,F79,3,0.15,0.25,0.8068,0.1258,-0.364,0.2235,0.644,0.8025,0.633
5y,F79,3,0.15,0.5,0.8165,0.127,-0.364,0.2235,0.649,0.8025,0.633
5y,F79,3,0.15,0.75,0.8217,0.1276,-0.364,0.2236,0.651,0.8025,0.633
5y,F79,3,0.15,1.0,0.8256,0.1281,-0.364,0.2236,0.653,0.8025,0.633
5y,F79,3,0.2,0.0,0.7992,0.1248,-0.364,0.224,0.639,0.8025,0.633
5y,F79,3,0.2,0.25,0.807,0.1258,-0.364,0.2241,0.643,0.8025,0.633
