resell_level,crash_level,num_trades,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
80.0,25.0,57,1.3219,0.1462,-0.2543,0.1599,0.937
80.0,22.5,71,1.219,0.1378,-0.2543,0.1583,0.898
80.0,15.0,81,1.1657,0.1333,-0.2543,0.1574,0.877
80.0,20.0,81,1.1657,0.1333,-0.2543,0.1574,0.877
80.0,17.5,81,1.1657,0.1333,-0.2543,0.1574,0.877
80.0,12.5,81,1.1657,0.1333,-0.2543,0.1574,0.877
80.0,10.0,81,1.1657,0.1333,-0.2543,0.1574,0.877
77.5,25.0,105,1.0457,0.1229,-0.2543,0.1551,0.828
75.0,25.0,114,1.0424,0.1226,-0.2543,0.1516,0.842
72.5,25.0,125,0.9977,0.1186,-0.2543,0.1497,0.826
65.0,25.0,176,0.9699,0.1161,-0.2083,0.1361,0.878
75.0,22.5,127,0.9641,0.1155,-0.2543,0.1496,0.808
77.5,22.5,118,0.9549,0.1147,-0.2543,0.1534,0.787
75.0,17.5,154,0.9126,0.1107,-0.2277,0.1447,0.801
75.0,20.0,148,0.9124,0.1107,-0.2277,0.1464,0.793
72.5,22.5,138,0.912,0.1107,-0.2543,0.1476,0.788
75.0,10.0,157,0.9019,0.1097,-0.2276,0.1444,0.796
77.5,10.0,132,0.9001,0.1096,-0.2543,0.1524,0.761
77.5,20.0,132,0.8996,0.1095,-0.2543,0.1524,0.761
77.5,17.5,132,0.8996,0.1095,-0.2543,0.1524,0.761
77.5,15.0,132,0.8996,0.1095,-0.2543,0.1524,0.761
77.5,12.5,132,0.8996,0.1095,-0.2543,0.1524,0.761
75.0,15.0,157,0.8989,0.1095,-0.2276,0.1444,0.794
75.0,12.5,157,0.8989,0.1095,-0.2276,0.1444,0.794
65.0,22.5,187,0.8668,0.1064,-0.2083,0.1334,0.828
67.5,25.0,152,0.8667,0.1064,-0.2355,0.1412,0.789
72.5,20.0,159,0.8657,0.1063,-0.2277,0.1443,0.775
72.5,17.5,173,0.8494,0.1047,-0.2277,0.1414,0.778
60.0,25.0,168,0.8409,0.1039,-0.189,0.1277,0.841
72.5,10.0,178,0.8356,0.1034,-0.2271,0.1407,0.772
72.5,12.5,177,0.8288,0.1027,-0.2271,0.1408,0.767
72.5,15.0,177,0.8284,0.1027,-0.2271,0.1409,0.767
70.0,25.0,145,0.8132,0.1012,-0.2543,0.1464,0.734
62.5,25.0,165,0.8111,0.101,-0.2083,0.1315,0.8
65.0,17.5,215,0.7787,0.0978,-0.2083,0.1245,0.814
67.5,22.5,174,0.7734,0.0972,-0.2355,0.138,0.744
65.0,10.0,239,0.7586,0.0957,-0.1834,0.1104,0.886
67.5,20.0,194,0.7503,0.0949,-0.2083,0.1343,0.745
67.5,17.5,208,0.7435,0.0942,-0.2083,0.1307,0.757
60.0,22.5,176,0.7414,0.094,-0.189,0.1249,0.785
65.0,20.0,200,0.7399,0.0938,-0.2083,0.1301,0.757
65.0,15.0,227,0.7359,0.0934,-0.1851,0.1208,0.803
62.5,22.5,176,0.7201,0.0918,-0.2083,0.1287,0.75
67.5,15.0,217,0.7034,0.0901,-0.2064,0.1293,0.734
70.0,22.5,169,0.6951,0.0892,-0.2543,0.1433,0.67
65.0,12.5,234,0.6783,0.0875,-0.1865,0.1138,0.797
60.0,17.5,203,0.6639,0.086,-0.1704,0.1154,0.775
70.0,20.0,190,0.6583,0.0854,-0.2277,0.1398,0.658
70.0,17.5,204,0.6487,0.0844,-0.2277,0.1364,0.664
62.5,17.5,203,0.6456,0.084,-0.2083,0.1195,0.738
67.5,10.0,227,0.6364,0.083,-0.2064,0.123,0.712
60.0,10.0,221,0.6303,0.0824,-0.1375,0.1002,0.843
67.5,12.5,224,0.627,0.082,-0.2064,0.1233,0.703
60.0,20.0,188,0.6265,0.082,-0.189,0.1214,0.712
70.0,10.0,214,0.6254,0.0819,-0.2258,0.1353,0.651
70.0,12.5,211,0.6168,0.0809,-0.2258,0.1355,0.644
70.0,15.0,211,0.6163,0.0809,-0.2258,0.1356,0.643
62.5,20.0,188,0.6056,0.0797,-0.2083,0.1253,0.677
62.5,10.0,228,0.6011,0.0792,-0.1834,0.1062,0.773
62.5,15.0,218,0.5662,0.0754,-0.1851,0.1147,0.693
60.0,15.0,211,0.5594,0.0746,-0.1704,0.1109,0.707
62.5,12.5,223,0.5279,0.0711,-0.1865,0.1097,0.683
60.0,12.5,216,0.5234,0.0706,-0.1696,0.1044,0.707
