resell_level,crash_level,ramp_days,weekly_step,num_trades,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
80,25,1,0.2,32,1.3822,0.151,-0.2543,0.1632,0.947
80,30,1,0.2,32,1.3822,0.151,-0.2543,0.1632,0.947
80,20,1,0.2,32,1.382,0.1509,-0.2543,0.1631,0.947
80,15,1,0.2,32,1.382,0.1509,-0.2543,0.1631,0.947
80,25,1,0.15,36,1.3683,0.1499,-0.2543,0.1626,0.944
80,30,1,0.15,36,1.3674,0.1498,-0.2543,0.1626,0.943
80,25,5,0.2,36,1.3612,0.1493,-0.2543,0.163,0.938
80,30,5,0.2,36,1.3611,0.1493,-0.2543,0.163,0.938
80,15,5,0.2,36,1.361,0.1493,-0.2543,0.163,0.938
80,20,5,0.2,36,1.361,0.1493,-0.2543,0.163,0.938
80,20,1,0.15,37,1.3595,0.1492,-0.2543,0.1624,0.941
80,15,1,0.15,37,1.3595,0.1492,-0.2543,0.1624,0.941
80,25,1,0.1,43,1.3526,0.1486,-0.2543,0.1617,0.941
80,30,1,0.1,43,1.3507,0.1485,-0.2543,0.1617,0.94
80,30,1,0.05,51,1.3463,0.1481,-0.2543,0.1601,0.946
80,25,5,0.15,40,1.3449,0.148,-0.2543,0.1625,0.934
80,30,5,0.15,40,1.344,0.1479,-0.2543,0.1625,0.934
95,20,1,0.2,5,1.3368,0.1474,-0.2543,0.1654,0.917
95,30,1,0.2,5,1.3368,0.1474,-0.2543,0.1654,0.917
95,25,1,0.2,5,1.3368,0.1474,-0.2543,0.1654,0.917
99,25,1,0.2,5,1.3368,0.1474,-0.2543,0.1654,0.917
99,30,1,0.2,5,1.3368,0.1474,-0.2543,0.1654,0.917
99,20,1,0.2,5,1.3368,0.1474,-0.2543,0.1654,0.917
99,15,1,0.2,5,1.3368,0.1474,-0.2543,0.1654,0.917
90,15,1,0.2,5,1.3368,0.1474,-0.2543,0.1654,0.917
90,20,1,0.2,5,1.3368,0.1474,-0.2543,0.1654,0.917
90,30,1,0.2,5,1.3368,0.1474,-0.2543,0.1654,0.917
90,25,1,0.2,5,1.3368,0.1474,-0.2543,0.1654,0.917
85,25,1,0.2,5,1.3368,0.1474,-0.2543,0.1654,0.917
85,30,1,0.2,5,1.3368,0.1474,-0.2543,0.1654,0.917
85,20,1,0.2,5,1.3368,0.1474,-0.2543,0.1654,0.917
85,15,1,0.2,5,1.3368,0.1474,-0.2543,0.1654,0.917
95,15,1,0.2,5,1.3368,0.1474,-0.2543,0.1654,0.917
80,20,5,0.15,41,1.3362,0.1473,-0.2543,0.1623,0.931
80,15,5,0.15,41,1.3362,0.1473,-0.2543,0.1623,0.931
80,25,1,0.05,54,1.3347,0.1472,-0.2543,0.16,0.942
80,30,5,0.05,54,1.3334,0.1471,-0.2543,0.16,0.941
80,25,5,0.1,47,1.332,0.147,-0.2543,0.1615,0.933
80,30,5,0.1,47,1.3302,0.1469,-0.2543,0.1615,0.932
90,15,1,0.15,6,1.3274,0.1466,-0.2543,0.1654,0.913
99,15,1,0.15,6,1.3274,0.1466,-0.2543,0.1654,0.913
99,20,1,0.15,6,1.3274,0.1466,-0.2543,0.1654,0.913
99,30,1,0.15,6,1.3274,0.1466,-0.2543,0.1654,0.913
99,25,1,0.15,6,1.3274,0.1466,-0.2543,0.1654,0.913
95,25,1,0.15,6,1.3274,0.1466,-0.2543,0.1654,0.913
95,30,1,0.15,6,1.3274,0.1466,-0.2543,0.1654,0.913
95,20,1,0.15,6,1.3274,0.1466,-0.2543,0.1654,0.913
95,15,1,0.15,6,1.3274,0.1466,-0.2543,0.1654,0.913
85,15,1,0.15,6,1.3274,0.1466,-0.2543,0.1654,0.913
85,20,1,0.15,6,1.3274,0.1466,-0.2543,0.1654,0.913
85,30,1,0.15,6,1.3274,0.1466,-0.2543,0.1654,0.913
85,25,1,0.15,6,1.3274,0.1466,-0.2543,0.1654,0.913
