sample,ma,buffer,cap,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022,r2_worst,r2_neg,episodes
5y,100,0.0,0.0,28,0.5197,0.0874,-0.1579,0.1219,0.752,-0.12583659565507677,0.0528178353224098,0.0,21
5y,100,0.0,0.0,29,0.5184,0.0872,-0.1579,0.1219,0.75,-0.12583659565507677,0.0528178353224098,0.0,21
5y,100,0.0,0.0,30,0.5202,0.0875,-0.1579,0.1219,0.752,-0.12583659565507677,0.0528178353224098,0.0,21
5y,100,0.0,0.0,31,0.5762,0.0954,-0.1579,0.1292,0.773,-0.12583659565507677,0.0528178353224098,0.0,21
5y,100,0.0,0.25,28,0.5555,0.0925,-0.1925,0.128,0.758,-0.18287382422564802,0.02213435520084328,0.0,21
5y,100,0.0,0.25,29,0.5542,0.0923,-0.1925,0.128,0.757,-0.18287382422564802,0.02213435520084328,0.0,21
5y,100,0.0,0.25,30,0.556,0.0926,-0.1925,0.128,0.759,-0.18287382422564802,0.02213435520084328,0.0,21
5y,100,0.0,0.25,31,0.6203,0.1015,-0.1925,0.1349,0.787,-0.18287382422564802,0.02213435520084328,0.0,21
5y,100,0.0,0.5,28,0.5621,0.0934,-0.2456,0.1458,0.688,-0.23887151103386017,-0.01721763230279505,0.009333333333333334,21
5y,100,0.0,0.5,29,0.5608,0.0932,-0.2456,0.1458,0.687,-0.23887151103386017,-0.01721763230279505,0.009333333333333334,21
5y,100,0.0,0.5,30,0.5626,0.0935,-0.2456,0.1458,0.689,-0.23887151103386017,-0.01721763230279505,0.009333333333333334,21
5y,100,0.0,0.5,31,0.6486,0.1053,-0.2456,0.1521,0.737,-0.23887151103386017,-0.01721763230279505,0.009333333333333334,21
5y,100,0.0,0.75,28,0.5468,0.0913,-0.3015,0.1737,0.592,-0.2937513073794643,-0.05780837207943801,0.07066666666666667,21
5y,100,0.0,0.75,29,0.5455,0.0911,-0.3015,0.1737,0.591,-0.2937513073794643,-0.05780837207943801,0.07066666666666667,21
5y,100,0.0,0.75,30,0.5473,0.0913,-0.3015,0.1737,0.592,-0.2937513073794643,-0.05780837207943801,0.07066666666666667,21
5y,100,0.0,0.75,31,0.6721,0.1084,-0.3015,0.1793,0.666,-0.2937513073794643,-0.05780837207943801,0.07066666666666667,21
2011,100,0.0,0.0,28,2.6089,0.0851,-0.166,0.1102,0.799,-0.12583659565507688,-0.12363114538872322,0.13929193267556586,78
2011,100,0.0,0.0,29,2.6621,0.0862,-0.166,0.1109,0.803,-0.12583659565507677,-0.12363114538872322,0.13900174114915845,78
2011,100,0.0,0.0,30,2.754,0.0879,-0.166,0.111,0.816,-0.12583659565507654,-0.12363114538872322,0.13493905977945445,78
2011,100,0.0,0.0,31,2.9086,0.0907,-0.166,0.1136,0.823,-0.12583659565507654,-0.12363114538872322,0.132617527568195,78
2011,100,0.0,0.25,28,3.1961,0.0956,-0.1925,0.1155,0.85,-0.18287382422564813,-0.08821672769345201,0.09199071387115496,78
2011,100,0.0,0.25,29,3.258,0.0966,-0.1925,0.1162,0.854,-0.18287382422564824,-0.08821672769345201,0.0902495647127104,78
2011,100,0.0,0.25,30,3.3648,0.0984,-0.1925,0.1163,0.867,-0.1828738242256478,-0.08821672769345201,0.08850841555426582,78
2011,100,0.0,0.25,31,3.5642,0.1015,-0.1925,0.1188,0.875,-0.18287382422564824,-0.08821672769345201,0.0832849680789321,78
2011,100,0.0,0.5,28,3.7512,0.1043,-0.2456,0.131,0.825,-0.23887151103386006,-0.09275677717060915,0.06848520023215322,78
2011,100,0.0,0.5,29,3.821,0.1053,-0.2456,0.1316,0.829,-0.23887151103386017,-0.07831297023384132,0.0673244341265235,78
2011,100,0.0,0.5,30,3.9419,0.1071,-0.2456,0.1317,0.84,-0.23887151103386006,-0.07672331366853469,0.0661636680208938,78
2011,100,0.0,0.5,31,4.2359,0.1112,-0.2456,0.134,0.856,-0.23887151103385995,-0.07672331366853413,0.06558328496807893,78
2011,100,0.0,0.75,28,4.1942,0.1106,-0.3015,0.1533,0.763,-0.2937513073794643,-0.15412635757176807,0.07370864770748695,78
2011,100,0.0,0.75,29,4.2747,0.1117,-0.3015,0.1539,0.767,-0.2937513073794641,-0.13997202422934507,0.0713871154962275,78
2011,100,0.0,0.75,30,4.407,0.1134,-0.3015,0.154,0.777,-0.2937513073794642,-0.13849495074887241,0.0693557748113755,78
2011,100,0.0,0.75,31,4.8674,0.1192,-0.3015,0.1561,0.802,-0.293751307379464,-0.13849495074887175,0.0693557748113755,78
5y,100,0.02,0.0,28,0.8398,0.1298,-0.1617,0.1353,0.974,-0.13085765114969983,0.057266637648421215,0.0,10
5y,100,0.02,0.0,29,0.8383,0.1297,-0.1617,0.1353,0.973,-0.13085765114969983,0.057266637648421215,0.0,10
5y,100,0.02,0.0,30,0.8404,0.1299,-0.1617,0.1353,0.975,-0.13085765114969983,0.057266637648421215,0.0,10
5y,100,0.02,0.0,31,0.8552,0.1317,-0.1617,0.1354,0.986,-0.13085765114969983,0.057266637648421215,0.0,10
5y,100,0.02,0.25,28,0.8487,0.1309,-0.2,0.1406,0.949,-0.18638557351014173,0.02353414475014981,0.0,10
5y,100,0.02,0.25,29,0.8471,0.1307,-0.2,0.1406,0.948,-0.18638557351014173,0.02353414475014981,0.0,10
5y,100,0.02,0.25,30,0.8493,0.131,-0.2,0.1407,0.95,-0.18638557351014173,0.02353414475014981,0.0,10
5y,100,0.02,0.25,31,0.8641,0.1328,-0.2,0.1407,0.961,-0.18638557351014173,0.02353414475014981,0.0,10
5y,100,0.02,0.5,28,0.8419,0.1301,-0.2516,0.1568,0.862,-0.24104709783831613,-0.01730383088236087,0.006666666666666667,10
5y,100,0.02,0.5,29,0.8404,0.1299,-0.2516,0.1568,0.861,-0.24104709783831613,-0.01730383088236087,0.006666666666666667,10
5y,100,0.02,0.5,30,0.8425,0.1302,-0.2516,0.1568,0.862,-0.24104709783831613,-0.01730383088236087,0.006666666666666667,10
5y,100,0.02,0.5,31,0.8573,0.132,-0.2516,0.1569,0.872,-0.24104709783831613,-0.01730383088236087,0.006666666666666667,10
5y,100,0.02,0.75,28,0.8297,0.1286,-0.3045,0.1828,0.756,-0.2947582992753838,-0.061315986828826774,0.029333333333333333,10
5y,100,0.02,0.75,29,0.8282,0.1284,-0.3045,0.1828,0.755,-0.2947582992753838,-0.061315986828826774,0.029333333333333333,10
5y,100,0.02,0.75,30,0.8303,0.1287,-0.3045,0.1828,0.756,-0.2947582992753838,-0.061315986828826774,0.029333333333333333,10
5y,100,0.02,0.75,31,0.8449,0.1305,-0.3045,0.1829,0.765,-0.2947582992753838,-0.061315986828826774,0.029333333333333333,10
2011,100,0.02,0.0,28,2.6573,0.0861,-0.2048,0.1222,0.739,-0.13085765114969972,-0.15805495795190272,0.1645385954730122,33
2011,100,0.02,0.0,29,2.6393,0.0857,-0.2048,0.1232,0.731,-0.1308576511496996,-0.15805495795190272,0.16802089378990134,33
2011,100,0.02,0.0,30,2.7307,0.0874,-0.2048,0.1233,0.743,-0.13085765114969972,-0.15805495795190272,0.16715031921067905,33
2011,100,0.02,0.0,31,2.7762,0.0883,-0.2048,0.1233,0.749,-0.13085765114969994,-0.15805495795190272,0.1656993615786419,33
2011,100,0.02,0.25,28,3.4164,0.0992,-0.2,0.1266,0.812,-0.18638557351014184,-0.11271683521385756,0.12478235635519443,33
2011,100,0.02,0.25,29,3.3946,0.0988,-0.2,0.1276,0.805,-0.18638557351014173,-0.11947408619527877,0.12507254788160185,33
2011,100,0.02,0.25,30,3.5049,0.1006,-0.2,0.1277,0.817,-0.18638557351014173,-0.1183215547593024,0.12362159024956472,33
2011,100,0.02,0.25,31,3.56,0.1014,-0.2,0.1277,0.822,-0.18638557351014184,-0.11832155475930228,0.1195589088798607,33
2011,100,0.02,0.5,28,4.2323,0.1111,-0.2516,0.1398,0.826,-0.24104709783831624,-0.09643669833216606,0.08009286128845038,33
2011,100,0.02,0.5,29,4.2065,0.1108,-0.2516,0.1407,0.819,-0.24104709783831624,-0.11189696455903553,0.07893209518282066,33
2011,100,0.02,0.5,30,4.3372,0.1125,-0.2516,0.1407,0.83,-0.24104709783831635,-0.11073451533331258,0.07661056297156123,33
2011,100,0.02,0.5,31,4.4024,0.1134,-0.2516,0.1408,0.835,-0.24104709783831646,-0.11073451533331269,0.07486941381311665,33
2011,100,0.02,0.75,28,5.0384,0.1213,-0.3045,0.1606,0.795,-0.29475829927538366,-0.15158496462271398,0.06790481717933837,33
2011,100,0.02,0.75,29,5.0293,0.1212,-0.3045,0.1614,0.792,-0.2947582992753839,-0.13739648122884873,0.0661636680208938,33
2011,100,0.02,0.75,30,5.1805,0.123,-0.3045,0.1614,0.801,-0.2947582992753839,-0.1359166832939367,0.06268136970400465,33
2011,100,0.02,0.75,31,5.2559,0.1238,-0.3045,0.1615,0.806,-0.2947582992753839,-0.1359166832939367,0.06268136970400465,33
5y,100,0.03,0.0,28,0.8292,0.1285,-0.1944,0.1382,0.948,-0.1647415274912961,0.0004552187861015522,0.0,8
5y,100,0.03,0.0,29,0.8277,0.1284,-0.1944,0.1382,0.947,-0.1647415274912961,0.0004552187861015522,0.0,8
5y,100,0.03,0.0,30,0.8298,0.1286,-0.1944,0.1382,0.949,-0.1647415274912961,0.0004552187861015522,0.0,8
5y,100,0.03,0.0,31,0.8445,0.1304,-0.1944,0.1383,0.96,-0.1647415274912961,0.0004552187861015522,0.0,8
5y,100,0.03,0.25,28,0.8391,0.1298,-0.2241,0.1434,0.927,-0.21110798124506813,-0.01876596456588464,0.005333333333333333,8
5y,100,0.03,0.25,29,0.8376,0.1296,-0.2241,0.1434,0.926,-0.21110798124506813,-0.01876596456588464,0.005333333333333333,8
5y,100,0.03,0.25,30,0.8397,0.1298,-0.2241,0.1434,0.927,-0.21110798124506813,-0.01876596456588464,0.005333333333333333,8
5y,100,0.03,0.25,31,0.8544,0.1316,-0.2241,0.1435,0.938,-0.21110798124506813,-0.01876596456588464,0.005333333333333333,8
5y,100,0.03,0.5,28,0.8344,0.1292,-0.2674,0.1589,0.847,-0.25705718608921446,-0.0451112889727453,0.02266666666666667,8
5y,100,0.03,0.5,29,0.8329,0.129,-0.2674,0.1589,0.846,-0.25705718608921446,-0.0451112889727453,0.02266666666666667,8
5y,100,0.03,0.5,30,0.835,0.1293,-0.2674,0.159,0.848,-0.25705718608921446,-0.0451112889727453,0.02266666666666667,8
5y,100,0.03,0.5,31,0.8497,0.1311,-0.2674,0.159,0.858,-0.25705718608921446,-0.0451112889727453,0.02266666666666667,8
5y,100,0.03,0.75,28,0.8253,0.1281,-0.3122,0.184,0.75,-0.30252192294784097,-0.07501310022030816,0.042666666666666665,8
5y,100,0.03,0.75,29,0.8238,0.1279,-0.3122,0.184,0.749,-0.30252192294784097,-0.07501310022030816,0.042666666666666665,8
5y,100,0.03,0.75,30,0.8259,0.1281,-0.3122,0.184,0.75,-0.30252192294784097,-0.07501310022030816,0.042666666666666665,8
5y,100,0.03,0.75,31,0.8406,0.1299,-0.3122,0.1841,0.759,-0.30252192294784097,-0.07501310022030816,0.042666666666666665,8
