ma,buffer,cap,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
60,0.0,0.0,28,2.3053,0.0791,-0.2123,0.1422,0.642
60,0.0,0.0,29,2.2366,0.0776,-0.2187,0.1443,0.625
60,0.0,0.0,30,2.2454,0.0778,-0.22,0.1443,0.627
60,0.0,0.0,31,2.0235,0.073,-0.2275,0.148,0.582
60,0.0,0.25,28,2.379,0.0806,-0.2543,0.1466,0.638
60,0.0,0.25,29,2.3095,0.0792,-0.2543,0.1486,0.622
60,0.0,0.25,30,2.3185,0.0794,-0.2543,0.1486,0.623
60,0.0,0.25,31,2.1014,0.0747,-0.2543,0.1522,0.582
60,0.0,0.5,28,2.2249,0.0774,-0.3071,0.1575,0.584
60,0.0,0.5,29,2.1895,0.0766,-0.3071,0.1594,0.574
60,0.0,0.5,30,2.1981,0.0768,-0.3071,0.1594,0.575
60,0.0,0.5,31,2.0267,0.0731,-0.3071,0.1634,0.542
60,0.0,0.75,28,2.1009,0.0747,-0.3583,0.1745,0.528
60,0.0,0.75,29,2.0993,0.0747,-0.3583,0.1762,0.524
60,0.0,0.75,30,2.1077,0.0749,-0.3583,0.1762,0.525
60,0.0,0.75,31,1.9782,0.0719,-0.3583,0.1808,0.5
60,0.02,0.0,28,1.1421,0.0497,-0.3973,0.1545,0.413
60,0.02,0.0,29,1.164,0.0504,-0.3936,0.1564,0.414
60,0.02,0.0,30,1.1734,0.0507,-0.3936,0.1564,0.416
60,0.02,0.0,31,1.1943,0.0513,-0.3867,0.1564,0.42
60,0.02,0.25,28,1.3381,0.0556,-0.3525,0.1579,0.445
60,0.02,0.25,29,1.362,0.0562,-0.3485,0.1597,0.446
60,0.02,0.25,30,1.3722,0.0565,-0.3485,0.1598,0.448
60,0.02,0.25,31,1.395,0.0572,-0.3485,0.1598,0.452
60,0.02,0.5,28,1.5303,0.0609,-0.3343,0.1674,0.461
60,0.02,0.5,29,1.5561,0.0616,-0.3343,0.1691,0.462
60,0.02,0.5,30,1.5672,0.0619,-0.3343,0.1692,0.464
60,0.02,0.5,31,1.5919,0.0625,-0.3343,0.1692,0.467
60,0.02,0.75,28,1.7403,0.0663,-0.3712,0.1827,0.466
60,0.02,0.75,29,1.7682,0.067,-0.3712,0.1842,0.468
60,0.02,0.75,30,1.7803,0.0673,-0.3712,0.1843,0.469
60,0.02,0.75,31,1.807,0.0679,-0.3712,0.1843,0.473
60,0.03,0.0,28,2.2606,0.0782,-0.2665,0.1613,0.579
60,0.03,0.0,29,2.2924,0.0788,-0.2665,0.1629,0.579
60,0.03,0.0,30,2.2694,0.0783,-0.2665,0.163,0.576
60,0.03,0.0,31,2.2172,0.0772,-0.2665,0.1633,0.568
60,0.03,0.25,28,2.2864,0.0787,-0.2973,0.1648,0.573
60,0.03,0.25,29,2.3185,0.0794,-0.2973,0.1664,0.573
60,0.03,0.25,30,2.2952,0.0789,-0.2973,0.1665,0.57
60,0.03,0.25,31,2.2519,0.078,-0.2973,0.1668,0.564
60,0.03,0.5,28,2.2908,0.0788,-0.3343,0.175,0.55
60,0.03,0.5,29,2.3228,0.0794,-0.3343,0.1765,0.551
60,0.03,0.5,30,2.2995,0.079,-0.3343,0.1765,0.548
60,0.03,0.5,31,2.2658,0.0783,-0.3343,0.177,0.543
60,0.03,0.75,28,2.3043,0.0791,-0.3712,0.1915,0.52
60,0.03,0.75,29,2.3364,0.0797,-0.3712,0.1929,0.521
60,0.03,0.75,30,2.313,0.0792,-0.3712,0.193,0.518
60,0.03,0.75,31,2.2888,0.0787,-0.3712,0.1936,0.515
60,0.05,0.0,28,1.8022,0.0678,-0.341,0.1681,0.501
60,0.05,0.0,29,2.0195,0.0729,-0.311,0.1693,0.529
60,0.05,0.0,30,2.06,0.0738,-0.311,0.1695,0.534
60,0.05,0.0,31,2.0759,0.0742,-0.311,0.1695,0.536
60,0.05,0.25,28,2.0618,0.0738,-0.3197,0.1713,0.53
60,0.05,0.25,29,2.2992,0.079,-0.3107,0.1725,0.557
60,0.05,0.25,30,2.3434,0.0799,-0.3107,0.1727,0.562
60,0.05,0.25,31,2.3608,0.0802,-0.3107,0.1727,0.564
60,0.05,0.5,28,2.3347,0.0797,-0.3343,0.1812,0.542
60,0.05,0.5,29,2.5933,0.0848,-0.3343,0.1824,0.568
60,0.05,0.5,30,2.6415,0.0858,-0.3343,0.1825,0.573
60,0.05,0.5,31,2.6603,0.0861,-0.3343,0.1826,0.574
60,0.05,0.75,28,2.6205,0.0854,-0.3712,0.1977,0.541
60,0.05,0.75,29,2.9013,0.0905,-0.3712,0.1987,0.565
60,0.05,0.75,30,2.9536,0.0915,-0.3712,0.1988,0.569
60,0.05,0.75,31,2.974,0.0918,-0.3712,0.1989,0.571
80,0.0,0.0,28,1.6799,0.0648,-0.2937,0.1496,0.523
80,0.0,0.0,29,1.7073,0.0655,-0.2937,0.1515,0.523
80,0.0,0.0,30,1.7191,0.0658,-0.2937,0.1515,0.525
80,0.0,0.0,31,1.7453,0.0664,-0.2937,0.1516,0.529
80,0.0,0.25,28,1.7781,0.0672,-0.3151,0.1534,0.53
