ma,buffer,cap,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
60,0.0,0.0,28,2.3704,0.276,-0.2123,0.2317,1.259
60,0.0,0.0,29,2.384,0.277,-0.2123,0.2318,1.262
60,0.0,0.0,30,2.3987,0.2781,-0.2123,0.2319,1.266
60,0.0,0.0,31,2.1663,0.2601,-0.2123,0.2392,1.17
60,0.0,0.25,28,2.3283,0.2728,-0.2543,0.237,1.224
60,0.0,0.25,29,2.3417,0.2738,-0.2543,0.2371,1.228
60,0.0,0.25,30,2.3562,0.2749,-0.2543,0.2372,1.231
60,0.0,0.25,31,2.1366,0.2577,-0.2543,0.2444,1.142
60,0.0,0.5,28,2.1808,0.2612,-0.3071,0.2509,1.131
60,0.0,0.5,29,2.1935,0.2622,-0.3071,0.2509,1.134
60,0.0,0.5,30,2.2074,0.2633,-0.3071,0.251,1.137
60,0.0,0.5,31,2.0355,0.2495,-0.3071,0.2591,1.064
60,0.0,0.75,28,2.0442,0.2502,-0.3583,0.2736,1.023
60,0.0,0.75,29,2.0564,0.2512,-0.3583,0.2737,1.026
60,0.0,0.75,30,2.0697,0.2523,-0.3583,0.2738,1.029
60,0.0,0.75,31,1.9417,0.2416,-0.3583,0.2833,0.971
60,0.02,0.0,28,1.7906,0.2286,-0.2665,0.2465,1.031
60,0.02,0.0,29,1.8018,0.2295,-0.2665,0.2465,1.035
60,0.02,0.0,30,1.8139,0.2306,-0.2665,0.2466,1.038
60,0.02,0.0,31,1.841,0.233,-0.2665,0.2467,1.046
60,0.02,0.25,28,1.8024,0.2296,-0.2973,0.2508,1.022
60,0.02,0.25,29,1.8136,0.2306,-0.2973,0.2509,1.025
60,0.02,0.25,30,1.8258,0.2317,-0.2973,0.251,1.028
60,0.02,0.25,31,1.853,0.234,-0.2973,0.2511,1.036
60,0.02,0.5,28,1.7992,0.2293,-0.3343,0.2639,0.982
60,0.02,0.5,29,1.8104,0.2303,-0.3343,0.264,0.986
60,0.02,0.5,30,1.8226,0.2314,-0.3343,0.2641,0.989
60,0.02,0.5,31,1.8498,0.2337,-0.3343,0.2642,0.997
60,0.02,0.75,28,1.7902,0.2285,-0.3712,0.2857,0.925
60,0.02,0.75,29,1.8014,0.2295,-0.3712,0.2858,0.928
60,0.02,0.75,30,1.8136,0.2306,-0.3712,0.2859,0.931
60,0.02,0.75,31,1.8407,0.2329,-0.3712,0.2859,0.939
60,0.03,0.0,28,1.7654,0.2263,-0.2665,0.2485,1.017
60,0.03,0.0,29,1.7765,0.2273,-0.2665,0.2486,1.02
60,0.03,0.0,30,1.7885,0.2284,-0.2665,0.2487,1.024
60,0.03,0.0,31,1.8151,0.2307,-0.2665,0.2488,1.032
60,0.03,0.25,28,1.7775,0.2274,-0.2973,0.2528,1.008
60,0.03,0.25,29,1.7887,0.2284,-0.2973,0.2529,1.011
60,0.03,0.25,30,1.8008,0.2295,-0.2973,0.2529,1.015
60,0.03,0.25,31,1.8275,0.2318,-0.2973,0.253,1.023
60,0.03,0.5,28,1.7849,0.2281,-0.3343,0.2654,0.974
60,0.03,0.5,29,1.796,0.229,-0.3343,0.2655,0.977
60,0.03,0.5,30,1.8082,0.2301,-0.3343,0.2656,0.981
60,0.03,0.5,31,1.835,0.2325,-0.3343,0.2657,0.988
60,0.03,0.75,28,1.7881,0.2283,-0.3712,0.2866,0.923
60,0.03,0.75,29,1.7992,0.2293,-0.3712,0.2867,0.926
60,0.03,0.75,30,1.8114,0.2304,-0.3712,0.2867,0.929
60,0.03,0.75,31,1.8382,0.2327,-0.3712,0.2868,0.936
60,0.05,0.0,28,1.7527,0.2252,-0.2665,0.2515,1.004
60,0.05,0.0,29,1.7638,0.2262,-0.2665,0.2516,1.007
60,0.05,0.0,30,1.7758,0.2272,-0.2665,0.2517,1.011
60,0.05,0.0,31,1.8006,0.2294,-0.2665,0.2518,1.018
60,0.05,0.25,28,1.8026,0.2296,-0.2973,0.2557,1.007
60,0.05,0.25,29,1.8138,0.2306,-0.2973,0.2557,1.01
60,0.05,0.25,30,1.826,0.2317,-0.2973,0.2558,1.014
60,0.05,0.25,31,1.8513,0.2339,-0.2973,0.2559,1.021
60,0.05,0.5,28,1.8496,0.2337,-0.3343,0.2683,0.985
60,0.05,0.5,29,1.8611,0.2347,-0.3343,0.2684,0.988
60,0.05,0.5,30,1.8735,0.2358,-0.3343,0.2685,0.992
60,0.05,0.5,31,1.8992,0.238,-0.3343,0.2686,0.999
60,0.05,0.75,28,1.8938,0.2375,-0.3712,0.2894,0.945
60,0.05,0.75,29,1.9054,0.2385,-0.3712,0.2895,0.947
60,0.05,0.75,30,1.918,0.2396,-0.3712,0.2896,0.951
60,0.05,0.75,31,1.9441,0.2418,-0.3712,0.2897,0.957
