ma,buffer,cap,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
60,0.0,0.0,28,0.1144,0.0176,-0.215,0.0919,0.242
60,0.0,0.0,29,0.2509,0.0368,-0.215,0.1176,0.375
60,0.0,0.0,30,0.2509,0.0368,-0.215,0.1176,0.375
60,0.0,0.0,31,0.2509,0.0368,-0.215,0.1176,0.375
60,0.0,0.25,28,0.1506,0.0229,-0.2201,0.1003,0.282
60,0.0,0.25,29,0.2915,0.0421,-0.2201,0.1243,0.404
60,0.0,0.25,30,0.2915,0.0421,-0.2201,0.1243,0.404
60,0.0,0.25,31,0.2915,0.0421,-0.2201,0.1243,0.404
60,0.0,0.5,28,0.1826,0.0274,-0.2641,0.1112,0.306
60,0.0,0.5,29,0.3105,0.0446,-0.2641,0.1398,0.391
60,0.0,0.5,30,0.3105,0.0446,-0.2641,0.1398,0.391
60,0.0,0.5,31,0.3105,0.0446,-0.2641,0.1398,0.391
60,0.0,0.75,28,0.2048,0.0305,-0.3066,0.1224,0.314
60,0.0,0.75,29,0.3243,0.0463,-0.3066,0.1492,0.387
60,0.0,0.75,30,0.3243,0.0463,-0.3066,0.1492,0.387
60,0.0,0.75,31,0.3243,0.0463,-0.3066,0.1492,0.387
60,0.02,0.0,28,0.1536,0.0233,-0.2435,0.1034,0.281
60,0.02,0.0,29,0.3042,0.0438,-0.2435,0.1269,0.411
60,0.02,0.0,30,0.3042,0.0438,-0.2435,0.1269,0.411
60,0.02,0.0,31,0.3042,0.0438,-0.2435,0.1269,0.411
60,0.02,0.25,28,0.1667,0.0252,-0.2568,0.1105,0.287
60,0.02,0.25,29,0.3189,0.0456,-0.2568,0.1327,0.413
60,0.02,0.25,30,0.3189,0.0456,-0.2568,0.1327,0.413
60,0.02,0.25,31,0.3189,0.0456,-0.2568,0.1327,0.413
60,0.02,0.5,28,0.1835,0.0275,-0.2813,0.1196,0.294
60,0.02,0.5,29,0.3202,0.0458,-0.2813,0.1466,0.388
60,0.02,0.5,30,0.3202,0.0458,-0.2813,0.1466,0.388
60,0.02,0.5,31,0.3202,0.0458,-0.2813,0.1466,0.388
60,0.02,0.75,28,0.2037,0.0304,-0.3095,0.1285,0.304
60,0.02,0.75,29,0.3275,0.0467,-0.3095,0.1542,0.382
60,0.02,0.75,30,0.3275,0.0467,-0.3095,0.1542,0.382
