ma,buffer,cap,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
60,0.0,0.0,28,0.0001,0.0,-0.1669,0.0875,0.044
60,0.0,0.0,29,0.1225,0.0235,-0.1669,0.1199,0.259
60,0.0,0.0,30,0.1225,0.0235,-0.1669,0.1199,0.259
60,0.0,0.0,31,0.1225,0.0235,-0.1669,0.1199,0.259
60,0.0,0.25,28,0.0123,0.0024,-0.174,0.0977,0.075
60,0.0,0.25,29,0.1362,0.0259,-0.174,0.1275,0.271
60,0.0,0.25,30,0.1362,0.0259,-0.174,0.1275,0.271
60,0.0,0.25,31,0.1362,0.0259,-0.174,0.1275,0.271
60,0.0,0.5,28,0.0204,0.0041,-0.2147,0.1095,0.093
60,0.0,0.5,29,0.1308,0.025,-0.2147,0.1447,0.248
60,0.0,0.5,30,0.1308,0.025,-0.2147,0.1447,0.248
60,0.0,0.5,31,0.1308,0.025,-0.2147,0.1447,0.248
60,0.0,0.75,28,0.0201,0.004,-0.2544,0.1206,0.094
60,0.0,0.75,29,0.1214,0.0232,-0.2544,0.1538,0.231
60,0.0,0.75,30,0.1214,0.0232,-0.2544,0.1538,0.231
60,0.0,0.75,31,0.1214,0.0232,-0.2544,0.1538,0.231
60,0.02,0.0,28,-0.0351,-0.0071,-0.2147,0.0996,-0.024
60,0.02,0.0,29,0.0909,0.0176,-0.2147,0.1291,0.204
60,0.02,0.0,30,0.0909,0.0176,-0.2147,0.1291,0.204
60,0.02,0.0,31,0.0909,0.0176,-0.2147,0.1291,0.204
60,0.02,0.25,28,-0.0261,-0.0053,-0.2202,0.1082,0.004
60,0.02,0.25,29,0.101,0.0195,-0.2202,0.1358,0.214
60,0.02,0.25,30,0.101,0.0195,-0.2202,0.1358,0.214
60,0.02,0.25,31,0.101,0.0195,-0.2202,0.1358,0.214
60,0.02,0.5,28,-0.0137,-0.0028,-0.2377,0.1183,0.035
60,0.02,0.5,29,0.1002,0.0193,-0.2377,0.1516,0.206
60,0.02,0.5,30,0.1002,0.0193,-0.2377,0.1516,0.206
60,0.02,0.5,31,0.1002,0.0193,-0.2377,0.1516,0.206
60,0.02,0.75,28,0.0018,0.0004,-0.2596,0.1273,0.067
60,0.02,0.75,29,0.1048,0.0202,-0.2596,0.159,0.209
60,0.02,0.75,30,0.1048,0.0202,-0.2596,0.159,0.209
60,0.02,0.75,31,0.1048,0.0202,-0.2596,0.159,0.209
60,0.03,0.0,28,-0.0964,-0.0201,-0.289,0.1074,-0.142
60,0.03,0.0,29,0.0372,0.0073,-0.289,0.138,0.124
60,0.03,0.0,30,0.0215,0.0043,-0.2912,0.1411,0.102
60,0.03,0.0,31,0.0215,0.0043,-0.2912,0.1411,0.102
60,0.03,0.25,28,-0.0665,-0.0137,-0.281,0.115,-0.066
60,0.03,0.25,29,0.0715,0.0139,-0.281,0.144,0.171
60,0.03,0.25,30,0.0552,0.0108,-0.281,0.1469,0.149
60,0.03,0.25,31,0.0552,0.0108,-0.281,0.1469,0.149
60,0.03,0.5,28,-0.0308,-0.0063,-0.278,0.1252,0.011
60,0.03,0.5,29,0.1071,0.0206,-0.278,0.1597,0.212
60,0.03,0.5,30,0.0904,0.0175,-0.278,0.1623,0.191
60,0.03,0.5,31,0.0904,0.0175,-0.278,0.1623,0.191
60,0.03,0.75,28,-0.005,-0.001,-0.2791,0.1329,0.059
60,0.03,0.75,29,0.1485,0.0282,-0.2791,0.1672,0.255
60,0.03,0.75,30,0.1368,0.0261,-0.2791,0.1714,0.24
60,0.03,0.75,31,0.1368,0.0261,-0.2791,0.1714,0.24
60,0.05,0.0,28,-0.1591,-0.0342,-0.3393,0.1114,-0.266
