base,resell_level,crash_level,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
A,55,10,0.37,0.0651,-0.1357,0.114,0.612
A,55,15,0.1996,0.0371,-0.2098,0.1346,0.339
A,55,20,0.3173,0.0567,-0.2387,0.1566,0.432
A,55,25,0.4792,0.0815,-0.2387,0.1685,0.551
A,55,30,0.6027,0.0991,-0.2387,0.1724,0.636
A,55,35,0.4422,0.0761,-0.2387,0.1759,0.506
A,55,40,0.4209,0.0729,-0.2387,0.1849,0.474
A,60,10,0.4011,0.0699,-0.1588,0.1196,0.626
A,60,15,0.2304,0.0424,-0.2303,0.1391,0.369
A,60,20,0.2879,0.052,-0.2531,0.161,0.396
A,60,25,0.4465,0.0767,-0.2531,0.1724,0.517
A,60,30,0.5697,0.0945,-0.2531,0.1761,0.603
A,60,35,0.4232,0.0732,-0.2454,0.1795,0.485
A,60,40,0.3469,0.0615,-0.2387,0.1892,0.411
A,65,10,0.5672,0.0941,-0.2068,0.1338,0.741
A,65,15,0.4876,0.0828,-0.2212,0.1533,0.597
A,65,20,0.4203,0.0728,-0.2718,0.1739,0.492
A,65,25,0.5545,0.0924,-0.2718,0.185,0.572
A,65,30,0.6969,0.1117,-0.2718,0.1915,0.651
A,65,35,0.6108,0.1002,-0.2718,0.1938,0.591
A,65,40,0.5872,0.0969,-0.2718,0.1988,0.566
A,70,10,0.232,0.0427,-0.279,0.1756,0.326
A,70,15,0.2189,0.0404,-0.2801,0.1764,0.314
A,70,20,0.2364,0.0434,-0.294,0.187,0.321
A,70,25,0.3246,0.0579,-0.3497,0.2005,0.382
A,70,30,0.4671,0.0798,-0.3497,0.2049,0.478
A,70,35,0.4223,0.0731,-0.3497,0.206,0.447
A,70,40,0.52,0.0875,-0.3497,0.2091,0.507
A,75,10,0.4803,0.0817,-0.2809,0.193,0.505
A,75,15,0.4687,0.08,-0.2829,0.1937,0.496
A,75,20,0.4658,0.0796,-0.294,0.2008,0.483
A,75,25,0.5354,0.0897,-0.3497,0.2105,0.515
A,75,30,0.6861,0.1103,-0.3497,0.2121,0.601
A,75,35,0.5976,0.0984,-0.3608,0.2128,0.549
A,75,40,0.7833,0.1228,-0.3608,0.2161,0.646
A,80,10,0.6315,0.103,-0.364,0.215,0.565
A,80,15,0.6215,0.1016,-0.364,0.2154,0.559
A,80,20,0.6215,0.1016,-0.364,0.2154,0.559
A,80,25,0.8281,0.1284,-0.364,0.2197,0.662
A,80,30,0.8961,0.1367,-0.364,0.2203,0.694
A,80,35,0.8674,0.1332,-0.364,0.2206,0.68
A,80,40,0.8684,0.1333,-0.364,0.2207,0.68
A,85,10,0.8117,0.1264,-0.364,0.2281,0.638
A,85,15,0.8006,0.125,-0.364,0.2285,0.632
A,85,20,0.8006,0.125,-0.364,0.2285,0.632
A,85,25,0.8006,0.125,-0.364,0.2285,0.632
A,85,30,0.8006,0.125,-0.364,0.2285,0.632
A,85,35,0.8006,0.125,-0.364,0.2285,0.632
A,85,40,0.8006,0.125,-0.364,0.2285,0.632
A,90,10,0.8117,0.1264,-0.364,0.2281,0.638
A,90,15,0.8006,0.125,-0.364,0.2285,0.632
A,90,20,0.8006,0.125,-0.364,0.2285,0.632
A,90,25,0.8006,0.125,-0.364,0.2285,0.632
A,90,30,0.8006,0.125,-0.364,0.2285,0.632
A,90,35,0.8006,0.125,-0.364,0.2285,0.632
A,90,40,0.8006,0.125,-0.364,0.2285,0.632
B,55,10,0.41,0.0712,-0.1357,0.1086,0.69
B,55,15,0.1772,0.0332,-0.1999,0.1327,0.313
B,55,20,0.2947,0.0531,-0.2387,0.156,0.411
B,55,25,0.4678,0.0799,-0.2387,0.1684,0.542
B,55,30,0.5968,0.0983,-0.2387,0.1723,0.632
B,55,35,0.4347,0.075,-0.2387,0.1758,0.5
B,55,40,0.4225,0.0731,-0.2387,0.1848,0.476
B,60,10,0.4809,0.0818,-0.1357,0.1123,0.759
B,60,15,0.2324,0.0427,-0.2119,0.1357,0.377
B,60,20,0.299,0.0538,-0.2536,0.1596,0.409
B,60,25,0.4756,0.081,-0.2536,0.1718,0.541
B,60,30,0.6038,0.0992,-0.2536,0.1756,0.628
B,60,35,0.4463,0.0767,-0.2459,0.179,0.504
B,60,40,0.3525,0.0623,-0.2387,0.1892,0.415
B,65,10,0.6225,0.1018,-0.151,0.1179,0.884
B,65,15,0.4207,0.0728,-0.1999,0.1455,0.558
B,65,20,0.3764,0.0661,-0.2718,0.1715,0.46
B,65,25,0.5485,0.0915,-0.2718,0.1835,0.571
B,65,30,0.6624,0.1071,-0.2718,0.1913,0.63
B,65,35,0.5736,0.095,-0.2718,0.1935,0.568
B,65,40,0.569,0.0944,-0.2718,0.1987,0.555
B,70,10,0.3451,0.0612,-0.2138,0.1511,0.469
B,70,15,0.1812,0.0339,-0.2294,0.161,0.288
B,70,20,0.187,0.0349,-0.294,0.1821,0.28
B,70,25,0.3247,0.0579,-0.3497,0.1981,0.384
B,70,30,0.447,0.0768,-0.3497,0.2044,0.465
B,70,35,0.4038,0.0703,-0.3497,0.2055,0.434
B,70,40,0.5147,0.0867,-0.3497,0.2087,0.504
B,75,10,0.427,0.0738,-0.2432,0.176,0.494
B,75,15,0.3712,0.0653,-0.2432,0.1791,0.444
B,75,20,0.4108,0.0714,-0.294,0.1953,0.452
B,75,25,0.5335,0.0894,-0.3497,0.2072,0.518
B,75,30,0.6703,0.1082,-0.3497,0.2116,0.593
B,75,35,0.5739,0.0951,-0.3608,0.2123,0.536
B,75,40,0.7813,0.1226,-0.3608,0.2157,0.646
B,80,10,0.4313,0.0744,-0.364,0.2091,0.449
B,80,15,0.4208,0.0729,-0.364,0.2096,0.441
B,80,20,0.4635,0.0792,-0.364,0.2108,0.468
B,80,25,0.8038,0.1254,-0.364,0.2166,0.656
B,80,30,0.9293,0.1406,-0.364,0.2199,0.711
B,80,35,0.8925,0.1363,-0.364,0.2202,0.693
B,80,40,0.8856,0.1354,-0.364,0.2203,0.689
B,85,10,0.8135,0.1266,-0.364,0.228,0.639
B,85,15,0.8002,0.1249,-0.364,0.2285,0.632
B,85,20,0.8002,0.1249,-0.364,0.2285,0.632
B,85,25,0.8002,0.1249,-0.364,0.2285,0.632
B,85,30,0.8002,0.1249,-0.364,0.2285,0.632
B,85,35,0.8002,0.1249,-0.364,0.2285,0.632
B,85,40,0.8002,0.1249,-0.364,0.2285,0.632
B,90,10,0.8135,0.1266,-0.364,0.228,0.639
B,90,15,0.8002,0.1249,-0.364,0.2285,0.632
