base,resell_level,crash_level,crash_frac,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
A,55,5,0.0,0.5529,0.0284,-0.1861,0.074,0.417
A,55,5,0.1,0.6772,0.0335,-0.1861,0.0789,0.458
A,55,5,0.2,0.825,0.039,-0.1861,0.0873,0.484
A,55,5,0.3,0.9121,0.0421,-0.1861,0.0939,0.487
A,55,5,0.4,0.953,0.0435,-0.1861,0.099,0.481
A,55,5,0.5,0.9785,0.0444,-0.1861,0.1031,0.474
A,55,5,0.6,0.9846,0.0446,-0.1861,0.106,0.466
A,55,5,0.7,0.9857,0.0446,-0.1861,0.1083,0.458
A,55,5,0.8,0.9858,0.0446,-0.1861,0.1102,0.452
A,55,5,0.9,0.9855,0.0446,-0.1861,0.1118,0.447
A,55,5,1.0,0.9846,0.0446,-0.1901,0.1132,0.443
A,55,6,0.0,0.5529,0.0284,-0.1861,0.074,0.417
A,55,6,0.1,0.7726,0.0371,-0.173,0.0808,0.493
A,55,6,0.2,0.9134,0.0422,-0.1828,0.0922,0.495
A,55,6,0.3,0.9882,0.0447,-0.1829,0.0993,0.491
A,55,6,0.4,1.017,0.0457,-0.1843,0.1045,0.481
A,55,6,0.5,1.0229,0.0459,-0.1854,0.1087,0.468
A,55,6,0.6,1.0047,0.0453,-0.1861,0.1118,0.453
A,55,6,0.7,1.0001,0.0451,-0.1873,0.1143,0.444
A,55,6,0.8,0.9962,0.045,-0.2021,0.1165,0.437
A,55,6,0.9,0.9939,0.0449,-0.2158,0.1181,0.432
A,55,6,1.0,0.9892,0.0448,-0.2299,0.1194,0.427
A,55,7,0.0,0.5529,0.0284,-0.1861,0.074,0.417
A,55,7,0.1,0.7341,0.0357,-0.1849,0.0837,0.461
A,55,7,0.2,0.8684,0.0406,-0.1862,0.0956,0.465
A,55,7,0.3,0.9152,0.0422,-0.1867,0.1035,0.452
A,55,7,0.4,0.9355,0.0429,-0.1868,0.1089,0.441
A,55,7,0.5,0.9541,0.0436,-0.1869,0.1125,0.436
A,55,7,0.6,0.9726,0.0442,-0.1978,0.115,0.434
A,55,7,0.7,0.9917,0.0448,-0.2065,0.117,0.434
A,55,7,0.8,1.0093,0.0454,-0.2145,0.1185,0.435
A,55,7,0.9,1.0256,0.046,-0.2228,0.1196,0.436
A,55,7,1.0,1.0433,0.0465,-0.2299,0.1205,0.439
A,55,8,0.0,0.5529,0.0284,-0.1861,0.074,0.417
A,55,8,0.1,0.7833,0.0375,-0.1846,0.0871,0.467
A,55,8,0.2,0.899,0.0417,-0.1862,0.1007,0.457
A,55,8,0.3,0.9552,0.0436,-0.1867,0.1084,0.449
A,55,8,0.4,0.9708,0.0441,-0.1868,0.113,0.44
A,55,8,0.5,0.9774,0.0444,-0.1911,0.116,0.433
A,55,8,0.6,0.9802,0.0445,-0.1948,0.1181,0.428
A,55,8,0.7,0.9819,0.0445,-0.196,0.1195,0.425
A,55,8,0.8,0.9823,0.0445,-0.1955,0.1206,0.422
A,55,8,0.9,0.9811,0.0445,-0.1978,0.1214,0.42
A,55,8,1.0,0.9778,0.0444,-0.1989,0.1221,0.417
A,55,9,0.0,0.5529,0.0284,-0.1861,0.074,0.417
A,55,9,0.1,0.87,0.0407,-0.1846,0.0898,0.49
A,55,9,0.2,1.0048,0.0453,-0.1862,0.1039,0.479
A,55,9,0.3,1.0383,0.0464,-0.1867,0.1114,0.464
A,55,9,0.4,1.0324,0.0462,-0.1868,0.1159,0.448
A,55,9,0.5,1.0201,0.0458,-0.1915,0.1189,0.437
A,55,9,0.6,1.0063,0.0453,-0.1958,0.121,0.428
A,55,9,0.7,0.9921,0.0449,-0.2001,0.1224,0.42
A,55,9,0.8,0.9778,0.0444,-0.2018,0.1235,0.414
A,55,9,0.9,0.9664,0.044,-0.2013,0.1242,0.409
A,55,9,1.0,0.9578,0.0437,-0.1989,0.1248,0.406
A,55,10,0.0,0.5529,0.0284,-0.1861,0.074,0.417
A,55,10,0.1,0.8684,0.0406,-0.1865,0.0928,0.476
A,55,10,0.2,0.968,0.044,-0.1868,0.1072,0.457
A,55,10,0.3,0.9919,0.0448,-0.1933,0.1147,0.441
A,55,10,0.4,0.9987,0.0451,-0.2068,0.1191,0.431
A,55,10,0.5,1.0087,0.0454,-0.2154,0.122,0.426
A,55,10,0.6,1.0126,0.0455,-0.2226,0.124,0.422
A,55,10,0.7,1.0078,0.0454,-0.2304,0.1255,0.417
A,55,10,0.8,0.9927,0.0449,-0.2366,0.1266,0.411
A,55,10,0.9,0.9728,0.0442,-0.2419,0.1276,0.404
A,55,10,1.0,0.948,0.0434,-0.2467,0.1284,0.396
A,55,11,0.0,0.5529,0.0284,-0.1861,0.074,0.417
A,55,11,0.1,0.8651,0.0405,-0.1861,0.0966,0.46
A,55,11,0.2,0.9635,0.0439,-0.2032,0.1115,0.442
A,55,11,0.3,1.0016,0.0452,-0.2305,0.1189,0.432
A,55,11,0.4,1.0285,0.0461,-0.2451,0.1232,0.428
A,55,11,0.5,1.0568,0.047,-0.2538,0.1258,0.429
A,55,11,0.6,1.078,0.0477,-0.2602,0.1276,0.43
A,55,11,0.7,1.0925,0.0481,-0.2664,0.1288,0.43
