structure,resell,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,beats_bh_return,beats_bh_sharpe
F(초기40% 10일분할),55,10,0.0799,0.0125,-0.0543,0.0319,0.416,False,False
F(초기40% 10일분할),55,11,0.0634,0.01,-0.0543,0.0358,0.303,False,False
F(초기40% 10일분할),55,12,0.0634,0.01,-0.0543,0.0358,0.303,False,False
F(초기40% 10일분할),55,13,0.0634,0.01,-0.0543,0.0358,0.303,False,False
F(초기40% 10일분할),55,14,0.1359,0.0208,-0.0543,0.0426,0.517,False,False
F(초기40% 10일분할),55,15,0.1367,0.0209,-0.0543,0.0426,0.52,False,False
F(초기40% 10일분할),55,16,0.1716,0.0259,-0.0543,0.0512,0.54,False,False
F(초기40% 10일분할),55,17,0.2931,0.0423,-0.0696,0.0612,0.728,False,False
F(초기40% 10일분할),55,18,0.2707,0.0394,-0.0858,0.0619,0.674,False,False
F(초기40% 10일분할),55,19,0.3437,0.0488,-0.0858,0.0777,0.669,False,False
F(초기40% 10일분할),55,20,0.317,0.0454,-0.1127,0.0792,0.616,False,False
F(초기40% 10일분할),55,21,0.3017,0.0434,-0.1112,0.0801,0.586,False,False
F(초기40% 10일분할),55,22,0.2957,0.0427,-0.1515,0.0837,0.555,False,False
F(초기40% 10일분할),55,23,0.3045,0.0438,-0.1515,0.0885,0.542,False,False
F(초기40% 10일분할),55,24,0.3244,0.0463,-0.1515,0.0896,0.565,False,False
F(초기40% 10일분할),55,25,0.3653,0.0515,-0.1515,0.0906,0.616,False,False
F(초기40% 10일분할),55,26,0.3331,0.0475,-0.1515,0.0912,0.569,False,False
F(초기40% 10일분할),55,27,0.3342,0.0476,-0.1984,0.0969,0.542,False,False
F(초기40% 10일분할),55,28,0.6005,0.0788,-0.2131,0.1278,0.673,False,False
F(초기40% 10일분할),55,29,0.6788,0.0871,-0.2201,0.1369,0.695,False,False
F(초기40% 10일분할),55,30,0.6872,0.088,-0.217,0.1383,0.695,False,False
F(초기40% 10일분할),55,31,0.7574,0.0952,-0.2452,0.1397,0.738,False,False
F(초기40% 10일분할),55,32,0.7732,0.0968,-0.2452,0.1399,0.748,False,False
F(초기40% 10일분할),55,33,0.8244,0.1018,-0.2374,0.1401,0.78,False,False
F(초기40% 10일분할),55,34,0.2332,0.0344,-0.343,0.1725,0.287,False,False
F(초기40% 10일분할),55,35,0.2695,0.0392,-0.343,0.1733,0.315,False,False
F(초기40% 10일분할),55,36,0.2975,0.0429,-0.343,0.1781,0.331,False,False
F(초기40% 10일분할),55,37,0.3527,0.0499,-0.3736,0.1817,0.366,False,False
F(초기40% 10일분할),55,38,0.3318,0.0473,-0.3736,0.1829,0.351,False,False
F(초기40% 10일분할),55,39,0.2718,0.0395,-0.3736,0.1847,0.308,False,False
F(초기40% 10일분할),55,40,0.2828,0.041,-0.3736,0.1853,0.315,False,False
F(초기40% 10일분할),55,41,0.3344,0.0476,-0.3736,0.1891,0.347,False,False
F(초기40% 10일분할),55,42,0.2488,0.0365,-0.3736,0.1933,0.287,False,False
F(초기40% 10일분할),55,43,0.3743,0.0526,-0.3736,0.1943,0.368,False,False
F(초기40% 10일분할),55,44,0.441,0.0607,-0.3736,0.195,0.408,False,False
F(초기40% 10일분할),55,45,0.3697,0.052,-0.3736,0.1964,0.363,False,False
F(초기40% 10일분할),56,10,0.0734,0.0115,-0.0543,0.0323,0.381,False,False
F(초기40% 10일분할),56,11,0.0569,0.009,-0.0543,0.0361,0.273,False,False
F(초기40% 10일분할),56,12,0.0569,0.009,-0.0543,0.0361,0.273,False,False
F(초기40% 10일분할),56,13,0.0569,0.009,-0.0543,0.0361,0.273,False,False
F(초기40% 10일분할),56,14,0.1281,0.0196,-0.0543,0.0429,0.488,False,False
F(초기40% 10일분할),56,15,0.129,0.0198,-0.0543,0.0429,0.491,False,False
F(초기40% 10일분할),56,16,0.1617,0.0245,-0.0543,0.0514,0.51,False,False
F(초기40% 10일분할),56,17,0.2811,0.0408,-0.0696,0.0614,0.701,False,False
F(초기40% 10일분할),56,18,0.2589,0.0378,-0.0858,0.0621,0.647,False,False
F(초기40% 10일분할),56,19,0.3253,0.0465,-0.0858,0.0779,0.639,False,False
F(초기40% 10일분할),56,20,0.2987,0.0431,-0.1163,0.0793,0.586,False,False
F(초기40% 10일분할),56,21,0.2837,0.0411,-0.1148,0.0802,0.557,False,False
F(초기40% 10일분할),56,22,0.2778,0.0403,-0.1549,0.0838,0.527,False,False
F(초기40% 10일분할),56,23,0.2865,0.0415,-0.1549,0.0886,0.516,False,False
F(초기40% 10일분할),56,24,0.3099,0.0445,-0.1549,0.0897,0.544,False,False
F(초기40% 10일분할),56,25,0.3494,0.0495,-0.1549,0.0907,0.594,False,False
F(초기40% 10일분할),56,26,0.3175,0.0455,-0.1549,0.0913,0.547,False,False
F(초기40% 10일분할),56,27,0.3196,0.0457,-0.201,0.097,0.523,False,False
F(초기40% 10일분할),56,28,0.5601,0.0744,-0.2156,0.128,0.639,False,False
F(초기40% 10일분할),56,29,0.6001,0.0787,-0.2226,0.1375,0.634,False,False
F(초기40% 10일분할),56,30,0.6131,0.0802,-0.2201,0.139,0.639,False,False
F(초기40% 10일분할),56,31,0.6803,0.0873,-0.2482,0.1404,0.682,False,False
F(초기40% 10일분할),56,32,0.6954,0.0889,-0.2482,0.1405,0.692,False,False
F(초기40% 10일분할),56,33,0.7443,0.0939,-0.2405,0.1408,0.724,False,False
F(초기40% 10일분할),56,34,0.1765,0.0266,-0.343,0.173,0.242,False,False
