structure,resell,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,beats_bh_return,beats_bh_sharpe
F(초기40% 10일분할),55,10,0.056,0.011,-0.0543,0.0371,0.323,False,False
F(초기40% 10일분할),55,11,0.0398,0.0079,-0.0543,0.0412,0.217,False,False
F(초기40% 10일분할),55,12,0.0398,0.0079,-0.0543,0.0412,0.217,False,False
F(초기40% 10일분할),55,13,0.0398,0.0079,-0.0543,0.0412,0.217,False,False
F(초기40% 10일분할),55,14,0.1107,0.0213,-0.0543,0.0487,0.471,False,False
F(초기40% 10일분할),55,15,0.1116,0.0214,-0.0543,0.0487,0.474,False,False
F(초기40% 10일분할),55,16,0.1456,0.0276,-0.0543,0.0581,0.514,False,False
F(초기40% 10일분할),55,17,0.1956,0.0365,-0.0696,0.0647,0.604,False,False
F(초기40% 10일분할),55,18,0.1749,0.0329,-0.0858,0.0655,0.542,False,False
F(초기40% 10일분할),55,19,0.2588,0.0472,-0.0858,0.0797,0.638,False,False
F(초기40% 10일분할),55,20,0.2145,0.0397,-0.0994,0.0811,0.536,False,False
F(초기40% 10일분할),55,21,0.2165,0.0401,-0.0979,0.0811,0.541,False,False
F(초기40% 10일분할),55,22,0.2366,0.0435,-0.0941,0.0824,0.574,False,False
F(초기40% 10일분할),55,23,0.2449,0.0449,-0.0941,0.0885,0.557,False,False
F(초기40% 10일분할),55,24,0.2656,0.0484,-0.1075,0.092,0.576,False,False
F(초기40% 10일분할),55,25,0.2656,0.0484,-0.1075,0.092,0.576,False,False
F(초기40% 10일분할),55,26,0.2656,0.0484,-0.1075,0.092,0.576,False,False
F(초기40% 10일분할),55,27,0.2934,0.053,-0.1541,0.0968,0.599,False,False
F(초기40% 10일분할),55,28,0.5516,0.0921,-0.1696,0.1342,0.742,False,True
F(초기40% 10일분할),55,29,0.6421,0.1046,-0.1696,0.1449,0.779,False,True
F(초기40% 10일분할),55,30,0.6357,0.1037,-0.1696,0.1462,0.767,False,True
F(초기40% 10일분할),55,31,0.6903,0.111,-0.1995,0.1478,0.807,False,True
F(초기40% 10일분할),55,32,0.7055,0.113,-0.1995,0.148,0.819,False,True
F(초기40% 10일분할),55,33,0.7078,0.1133,-0.1912,0.1481,0.82,False,True
F(초기40% 10일분할),55,34,0.1425,0.0271,-0.343,0.1843,0.241,False,False
F(초기40% 10일분할),55,35,0.142,0.027,-0.343,0.1849,0.24,False,False
F(초기40% 10일분할),55,36,0.1596,0.0302,-0.343,0.1905,0.255,False,False
F(초기40% 10일분할),55,37,0.209,0.0388,-0.3736,0.1947,0.298,False,False
F(초기40% 10일분할),55,38,0.1903,0.0356,-0.3736,0.1961,0.281,False,False
F(초기40% 10일분할),55,39,0.1386,0.0264,-0.3736,0.1975,0.234,False,False
F(초기40% 10일분할),55,40,0.1484,0.0282,-0.3736,0.1982,0.243,False,False
F(초기40% 10일분할),55,41,0.1637,0.0309,-0.3736,0.2022,0.255,False,False
F(초기40% 10일분할),55,42,0.0875,0.017,-0.3736,0.207,0.186,False,False
F(초기40% 10일분할),55,43,0.1556,0.0294,-0.3736,0.2078,0.247,False,False
F(초기40% 10일분할),55,44,0.189,0.0353,-0.3736,0.2085,0.275,False,False
F(초기40% 10일분할),55,45,0.144,0.0274,-0.3736,0.21,0.237,False,False
F(초기40% 10일분할),56,10,0.0488,0.0096,-0.0543,0.0375,0.282,False,False
F(초기40% 10일분할),56,11,0.0327,0.0065,-0.0543,0.0416,0.181,False,False
F(초기40% 10일분할),56,12,0.0327,0.0065,-0.0543,0.0416,0.181,False,False
F(초기40% 10일분할),56,13,0.0327,0.0065,-0.0543,0.0416,0.181,False,False
F(초기40% 10일분할),56,14,0.1023,0.0197,-0.0543,0.049,0.436,False,False
F(초기40% 10일분할),56,15,0.1031,0.0199,-0.0543,0.049,0.439,False,False
F(초기40% 10일분할),56,16,0.1351,0.0257,-0.0543,0.0583,0.479,False,False
F(초기40% 10일분할),56,17,0.1836,0.0344,-0.0696,0.065,0.57,False,False
F(초기40% 10일분할),56,18,0.1631,0.0308,-0.0858,0.0658,0.509,False,False
F(초기40% 10일분할),56,19,0.2407,0.0442,-0.0858,0.0798,0.599,False,False
F(초기40% 10일분할),56,20,0.1967,0.0367,-0.1024,0.0812,0.498,False,False
F(초기40% 10일분할),56,21,0.1987,0.037,-0.1009,0.0812,0.502,False,False
F(초기40% 10일분할),56,22,0.2185,0.0404,-0.0972,0.0826,0.537,False,False
F(초기40% 10일분할),56,23,0.2267,0.0418,-0.0972,0.0886,0.522,False,False
F(초기40% 10일분할),56,24,0.2508,0.0459,-0.1112,0.0922,0.549,False,False
F(초기40% 10일분할),56,25,0.2508,0.0459,-0.1112,0.0922,0.549,False,False
F(초기40% 10일분할),56,26,0.2508,0.0459,-0.1112,0.0922,0.549,False,False
F(초기40% 10일분할),56,27,0.2783,0.0505,-0.1575,0.0969,0.573,False,False
F(초기40% 10일분할),56,28,0.5112,0.0863,-0.1729,0.1345,0.7,False,False
F(초기40% 10일분할),56,29,0.5639,0.0938,-0.1729,0.1457,0.706,False,False
F(초기40% 10일분할),56,30,0.5639,0.0938,-0.1729,0.147,0.701,False,False
F(초기40% 10일분할),56,31,0.6161,0.1011,-0.2027,0.1486,0.741,False,True
F(초기40% 10일분할),56,32,0.6307,0.1031,-0.2027,0.1487,0.753,False,True
F(초기40% 10일분할),56,33,0.6329,0.1034,-0.1945,0.1488,0.754,False,True
F(초기40% 10일분할),56,34,0.0899,0.0174,-0.343,0.1849,0.188,False,False
F(초기40% 10일분할),56,35,0.0894,0.0173,-0.343,0.1854,0.187,False,False
F(초기40% 10일분할),56,36,0.1099,0.0211,-0.343,0.1911,0.207,False,False
F(초기40% 10일분할),56,37,0.1692,0.0318,-0.3736,0.1953,0.262,False,False
F(초기40% 10일분할),56,38,0.1532,0.029,-0.3736,0.1967,0.247,False,False
F(초기40% 10일분할),56,39,0.103,0.0199,-0.3736,0.1981,0.201,False,False
F(초기40% 10일분할),56,40,0.1126,0.0216,-0.3736,0.1988,0.21,False,False
F(초기40% 10일분할),56,41,0.1273,0.0243,-0.3736,0.2028,0.223,False,False
F(초기40% 10일분할),56,42,0.0535,0.0105,-0.3736,0.2075,0.155,False,False
F(초기40% 10일분할),56,43,0.1198,0.023,-0.3736,0.2087,0.216,False,False
F(초기40% 10일분할),56,44,0.1414,0.0269,-0.3736,0.2096,0.234,False,False
F(초기40% 10일분할),56,45,0.0982,0.019,-0.3736,0.2111,0.196,False,False
F(초기40% 10일분할),57,10,0.033,0.0065,-0.0543,0.0383,0.194,False,False
F(초기40% 10일분할),57,11,0.0171,0.0034,-0.0543,0.0423,0.104,False,False
F(초기40% 10일분할),57,12,0.0171,0.0034,-0.0543,0.0423,0.104,False,False
F(초기40% 10일분할),57,13,0.0171,0.0034,-0.0543,0.0423,0.104,False,False
F(초기40% 10일분할),57,14,0.0793,0.0154,-0.0543,0.0496,0.343,False,False
F(초기40% 10일분할),57,15,0.08,0.0156,-0.0543,0.0496,0.346,False,False
F(초기40% 10일분할),57,16,0.1292,0.0247,-0.0543,0.0588,0.457,False,False
F(초기40% 10일분할),57,17,0.118,0.0226,-0.1467,0.0687,0.371,False,False
F(초기40% 10일분할),57,18,0.118,0.0226,-0.1467,0.0687,0.371,False,False
F(초기40% 10일분할),57,19,0.1925,0.0359,-0.1467,0.0822,0.484,False,False
F(초기40% 10일분할),57,20,0.1503,0.0285,-0.1622,0.0836,0.388,False,False
