base,resell_level,crash_level,crash_frac,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
A,55,10,0.25,0.3176,0.0568,-0.1228,0.0939,0.637
A,55,10,0.5,0.3809,0.0668,-0.1324,0.1065,0.662
A,55,10,0.75,0.3931,0.0686,-0.1355,0.1118,0.652
A,55,10,1.0,0.37,0.0651,-0.1357,0.114,0.612
A,55,15,0.25,0.2634,0.0479,-0.1698,0.1137,0.47
A,55,15,0.5,0.2217,0.0409,-0.1974,0.1263,0.382
A,55,15,0.75,0.2003,0.0372,-0.206,0.1313,0.345
A,55,15,1.0,0.1996,0.0371,-0.2098,0.1346,0.339
A,55,20,0.25,0.3147,0.0563,-0.2034,0.1345,0.476
A,55,20,0.5,0.28,0.0507,-0.2245,0.1473,0.41
A,55,20,0.75,0.2812,0.0509,-0.2368,0.1536,0.401
A,55,20,1.0,0.3173,0.0567,-0.2387,0.1566,0.432
A,55,25,0.25,0.3767,0.0661,-0.2164,0.1478,0.509
A,55,25,0.5,0.4048,0.0704,-0.2363,0.1606,0.506
A,55,25,0.75,0.4563,0.0782,-0.2387,0.1658,0.539
A,55,25,1.0,0.4792,0.0815,-0.2387,0.1685,0.551
A,55,30,0.25,0.4092,0.0711,-0.2387,0.1594,0.512
A,55,30,0.5,0.4937,0.0837,-0.2387,0.1679,0.564
A,55,30,0.75,0.5494,0.0916,-0.2387,0.1708,0.601
A,55,30,1.0,0.6027,0.0991,-0.2387,0.1724,0.636
A,55,35,0.25,0.422,0.073,-0.2387,0.1645,0.512
A,55,35,0.5,0.4867,0.0826,-0.2387,0.1718,0.55
A,55,35,0.75,0.4812,0.0818,-0.2387,0.1743,0.54
A,55,35,1.0,0.4422,0.0761,-0.2387,0.1759,0.506
A,55,40,0.25,0.4371,0.0753,-0.2387,0.1717,0.51
A,55,40,0.5,0.4405,0.0758,-0.2387,0.1794,0.499
A,55,40,0.75,0.4262,0.0737,-0.2387,0.1828,0.482
A,55,40,1.0,0.4209,0.0729,-0.2387,0.1849,0.474
A,60,10,0.25,0.3426,0.0608,-0.1525,0.1005,0.639
A,60,10,0.5,0.4104,0.0713,-0.1546,0.1125,0.67
A,60,10,0.75,0.4236,0.0733,-0.1567,0.1176,0.662
A,60,10,1.0,0.4011,0.0699,-0.1588,0.1196,0.626
A,60,15,0.25,0.3024,0.0543,-0.1913,0.1191,0.505
A,60,15,0.5,0.2556,0.0466,-0.2182,0.1311,0.414
A,60,15,0.75,0.2312,0.0425,-0.2266,0.1359,0.375
A,60,15,1.0,0.2304,0.0424,-0.2303,0.1391,0.369
A,60,20,0.25,0.322,0.0575,-0.2222,0.1402,0.47
A,60,20,0.5,0.2655,0.0483,-0.2451,0.1523,0.387
A,60,20,0.75,0.2576,0.047,-0.2547,0.1582,0.37
A,60,20,1.0,0.2879,0.052,-0.2531,0.161,0.396
A,60,25,0.25,0.3796,0.0666,-0.2344,0.153,0.499
A,60,25,0.5,0.3891,0.068,-0.2524,0.1652,0.482
A,60,25,0.75,0.4305,0.0743,-0.2537,0.17,0.508
A,60,25,1.0,0.4465,0.0767,-0.2531,0.1724,0.517
A,60,30,0.25,0.4139,0.0718,-0.2491,0.1636,0.507
A,60,30,0.5,0.479,0.0815,-0.2528,0.1719,0.544
A,60,30,0.75,0.5247,0.0881,-0.2539,0.1746,0.573
A,60,30,1.0,0.5697,0.0945,-0.2531,0.1761,0.603
A,60,35,0.25,0.4169,0.0723,-0.2538,0.1686,0.5
A,60,35,0.5,0.4677,0.0799,-0.2518,0.1756,0.527
A,60,35,0.75,0.4603,0.0788,-0.2479,0.1779,0.517
A,60,35,1.0,0.4232,0.0732,-0.2454,0.1795,0.485
A,60,40,0.25,0.3846,0.0673,-0.2456,0.1769,0.458
A,60,40,0.5,0.3605,0.0636,-0.2484,0.1846,0.427
A,60,40,0.75,0.3502,0.062,-0.2387,0.1874,0.416
A,60,40,1.0,0.3469,0.0615,-0.2387,0.1892,0.411
A,65,10,0.25,0.4789,0.0815,-0.2001,0.1238,0.697
A,65,10,0.5,0.5642,0.0937,-0.2039,0.1297,0.758
A,65,10,0.75,0.5854,0.0967,-0.2054,0.1325,0.765
A,65,10,1.0,0.5672,0.0941,-0.2068,0.1338,0.741
A,65,15,0.25,0.5164,0.0869,-0.208,0.1334,0.694
A,65,15,0.5,0.4977,0.0842,-0.2168,0.1447,0.633
A,65,15,0.75,0.4863,0.0826,-0.2204,0.1506,0.604
A,65,15,1.0,0.4876,0.0828,-0.2212,0.1533,0.597
A,65,20,0.25,0.4546,0.0779,-0.2698,0.1589,0.553
A,65,20,0.5,0.4134,0.0717,-0.2718,0.1674,0.499
A,65,20,0.75,0.3993,0.0696,-0.2718,0.1718,0.479
A,65,20,1.0,0.4203,0.0728,-0.2718,0.1739,0.492
A,65,25,0.25,0.4813,0.0819,-0.2714,0.1698,0.55
A,65,25,0.5,0.5052,0.0853,-0.2718,0.1793,0.548
A,65,25,0.75,0.5482,0.0915,-0.2718,0.1832,0.571
A,65,25,1.0,0.5545,0.0924,-0.2718,0.185,0.572
A,65,30,0.25,0.4983,0.0843,-0.2718,0.1808,0.54
A,65,30,0.5,0.5855,0.0967,-0.2718,0.1879,0.587
A,65,30,0.75,0.6497,0.1054,-0.2718,0.1903,0.624
A,65,30,1.0,0.6969,0.1117,-0.2718,0.1915,0.651
A,65,35,0.25,0.5561,0.0926,-0.2718,0.1864,0.57
A,65,35,0.5,0.6306,0.1029,-0.2718,0.1913,0.609
A,65,35,0.75,0.6346,0.1034,-0.2718,0.1928,0.609
A,65,35,1.0,0.6108,0.1002,-0.2718,0.1938,0.591
A,65,40,0.25,0.6384,0.1039,-0.2718,0.1911,0.615
A,65,40,0.5,0.6357,0.1035,-0.2718,0.1956,0.603
A,65,40,0.75,0.6102,0.1001,-0.2718,0.1974,0.584
A,65,40,1.0,0.5872,0.0969,-0.2718,0.1988,0.566
A,70,10,0.25,0.2014,0.0374,-0.2785,0.1744,0.298
A,70,10,0.5,0.2234,0.0412,-0.2787,0.175,0.319
A,70,10,0.75,0.2324,0.0427,-0.2788,0.1754,0.327
A,70,10,1.0,0.232,0.0427,-0.279,0.1756,0.326
