date,fear_and_greed_historical,fear_and_greed_historical_rating,market_momentum_sp500,market_momentum_sp500_rating,market_momentum_sp125,market_momentum_sp125_rating,stock_price_strength,stock_price_strength_rating,stock_price_breadth,stock_price_breadth_rating,put_call_options,put_call_options_rating,market_volatility_vix,market_volatility_vix_rating,market_volatility_vix_50,market_volatility_vix_50_rating,junk_bond_demand,junk_bond_demand_rating,safe_haven_demand,safe_haven_demand_rating
2020-07-16,50.0,neutral,3215.57,extreme greed,2984.69104,extreme greed,2.0784655704380572,extreme fear,1524.3271416689295,extreme greed,0.5942680089409877,extreme fear,28.0,fear,30.231399999999997,fear,2.2169,extreme fear,2.8829108365866127,extreme fear
2020-07-17,50.0,neutral,3224.73,extreme greed,2983.8519200000005,extreme greed,2.1440446867772622,extreme fear,1537.4104855354433,extreme greed,0.5943619454580491,extreme fear,25.68,fear,30.062600000000003,fear,2.2161999999999997,extreme fear,3.881355592170059,extreme fear
2020-07-20,50.0,neutral,3251.84,extreme greed,2983.30032,extreme greed,2.1931082971710913,extreme fear,1534.8024382009405,extreme greed,0.5961758696580269,extreme fear,24.46,extreme fear,29.923000000000002,fear,2.2095,extreme fear,3.838288309001553,extreme fear
2020-07-21,50.0,neutral,3257.3,extreme greed,2982.7847199999997,extreme greed,2.336615921777637,extreme fear,1560.3531311071981,extreme greed,0.5665464977210342,extreme fear,24.84,extreme fear,29.8602,fear,2.1943,extreme fear,3.463118465905693,extreme fear
2020-07-22,50.0,neutral,3276.02,extreme greed,2982.38856,extreme greed,2.4215437775863746,extreme fear,1588.9734190620725,extreme greed,0.5652073963671782,extreme fear,24.32,extreme fear,29.7952,fear,2.1723999999999997,extreme fear,6.948318564107772,extreme fear
2020-07-23,50.0,neutral,3235.66,extreme greed,2981.9100799999997,extreme greed,2.59743428841614,extreme fear,1601.2008784109453,extreme greed,0.5831285159505899,extreme fear,26.08,fear,29.656000000000002,fear,2.1662,extreme fear,4.464346529360749,extreme fear
2020-07-24,50.0,neutral,3215.63,extreme greed,2981.68608,extreme greed,2.704078495423684,extreme fear,1588.1331236288097,extreme greed,0.6162962776550219,extreme fear,25.84,fear,29.4672,fear,2.1679,extreme fear,6.666826699137957,extreme fear
2020-07-27,50.0,neutral,3239.41,extreme greed,2981.39144,extreme greed,2.8321143759348124,extreme fear,1580.4259649766038,extreme greed,0.6259433046005277,extreme fear,24.74,extreme fear,29.3098,fear,2.1633999999999998,extreme fear,6.1145672391800945,extreme fear
2020-07-28,50.0,neutral,3218.44,extreme greed,2980.9517600000004,extreme greed,2.9594760142109444,extreme fear,1566.7412418900542,extreme greed,0.6452433968623533,extreme fear,25.44,fear,29.180799999999998,fear,2.1498999999999997,extreme fear,3.66868296311887,extreme fear
2020-07-29,50.0,neutral,3258.44,extreme greed,2980.75,extreme greed,3.097218722045197,extreme fear,1577.3655603072639,extreme greed,0.6600934026221328,extreme fear,24.1,extreme fear,29.0768,fear,2.1525,extreme fear,3.825468861123452,extreme fear
