date,fg,fg_rating,close,fwd_ret_1w,fwd_ret_1m,fwd_ret_3m,fwd_ret_6m,fwd_ret_12m,fg_chg_5d
2016-09-19,45.0,neutral,5235.02978515625,0.004290414790463215,0.0016829051515103721,0.038611121500566004,0.10674252409283502,0.23424700324334435,
2016-09-20,45.0,neutral,5241.35009765625,0.01227925287990761,0.0009654112966070993,0.041227897340158304,0.11071384819762109,0.23175134627038507,
2016-09-21,54.0,neutral,5295.18017578125,0.004413377473562852,-0.010075218573347033,0.0356474679536567,0.09867648470486823,0.21293133154976118,
2016-09-22,59.0,greed,5339.52001953125,-0.013179109157769875,-0.015379681485810592,0.024704496989896185,0.09162250783857884,0.20365124549888125,
2016-09-23,53.0,neutral,5305.75,0.0011779672996277135,0.0007689917777882194,0.026701205649531268,0.1007624025232059,0.20069544244451776,
2016-09-26,47.0,neutral,5257.490234375,0.008251062936621256,0.004928143812678032,0.03902997397685959,0.11747999041545998,0.21353723389435086,2.0
2016-09-27,45.0,neutral,5305.7099609375,-0.0030250060417293945,-0.010449108943839436,0.03425177437264937,0.11154771898715388,0.2162858153076901,0.0
2016-09-28,45.0,neutral,5318.5498046875,-0.0004756531853891133,-0.019287135330262717,0.02256446932215983,0.11202114503795779,0.21338530845847425,-9.0
2016-09-29,44.0,fear,5269.14990234375,0.007154891398274854,-0.015002382955994098,0.03092338316922305,0.12195332149222438,0.23282883981874525,-15.0
2016-09-30,43.0,fear,5312.0,-0.003689777420227802,-0.02312873932252446,0.013388576277767239,0.10969129815159073,0.2267922091196819,-10.0
2016-10-03,45.0,neutral,5300.8701171875,0.005244385180720013,-0.027786011693613832,0.02418658788144845,0.11276257159284908,0.2321958124872998,-2.0
2016-10-04,49.0,neutral,5289.66015625,-0.00810451256246525,-0.03480192046245878,0.03541623435461139,0.10866857363975857,0.2353591137781328,4.0
2016-10-05,49.0,neutral,5316.02001953125,-0.0144845203210483,-0.04845915973506154,0.03233996885703205,0.10589316325240006,0.238776347546924,4.0
2016-10-06,52.0,neutral,5306.85009765625,-0.017622510116227508,-0.04908372682013196,0.04036480341363036,0.10758923851828084,0.24182519847164663,8.0
2016-10-07,55.0,neutral,5292.39990234375,-0.01478341537628347,-0.023851179577878967,0.04523844121623766,0.11120291064491705,0.2432412708561391,12.0
2016-10-10,55.0,neutral,5328.669921875,-0.024180536521374862,-0.025368373249216813,0.041877223700361954,0.10098206598372084,0.23619028699044353,10.0
2016-10-11,47.0,neutral,5246.7900390625,-0.0005622857576795814,0.0008156959063325697,0.06039118411871236,0.11232965542734186,0.25858853804400117,-2.0
2016-10-12,45.0,neutral,5239.02001953125,0.0014105952432323932,-0.005768295355064068,0.05887937318310721,0.10806026331297613,0.25815701048127715,-4.0
2016-10-13,34.0,fear,5213.330078125,0.005466755331603679,0.004561342711835836,0.06920529367138406,0.12342590077644267,0.26709794041341595,-18.0
2016-10-14,33.0,fear,5214.16015625,0.008292753731762526,0.0008131215702433803,0.0622477665611596,0.12184321914857743,0.2703867548180474,-22.0
2016-10-17,33.0,fear,5199.81982421875,0.021156551116226163,0.014577484515079009,0.06843123226456438,0.12754479642708483,0.2738249362794365,-22.0
2016-10-18,38.0,fear,5243.83984375,0.007544101225917643,0.009676160196897765,0.056492998108643944,0.12832961369106455,0.2632384687985829,-9.0
2016-10-19,41.0,fear,5246.41015625,0.0007357151206814905,0.016689518353695698,0.05888215230503602,0.12658367216869282,0.25896939574009314,-4.0
2016-10-20,38.0,fear,5241.830078125,-0.00493336542692735,0.015200738351385468,0.05935138275076124,0.14155165944622894,0.2646441616548372,4.0
2016-10-21,44.0,fear,5257.39990234375,-0.012800967386463746,0.02120058641303113,0.065347902951151,0.14609699591024738,0.25286837609377777,11.0
2016-10-24,49.0,neutral,5309.830078125,-0.022729529877699606,0.014411010975001082,0.06525816467320156,0.13473122337586574,0.24268198392353812,16.0
2016-10-25,49.0,neutral,5283.39990234375,-0.02457126596855963,0.018412438057991087,0.07036761939458258,0.14489534262263604,0.24236102851252395,11.0
2016-10-26,43.0,fear,5250.27001953125,-0.027560524463352998,0.0283128109203461,0.07818831490530664,0.15186644511308156,0.2488443442222512,2.0
2016-10-27,46.0,neutral,5215.97021484375,-0.03020723894192523,0.029302284609495022,0.07625422111534519,0.1678747858491616,0.2847580583482576,8.0
2016-10-28,33.0,fear,5190.10009765625,-0.02769310374835654,0.03657344186954492,0.08182692692151194,0.17442245862272543,0.29071883680290145,-11.0
2016-10-31,26.0,fear,5189.14013671875,-0.004426593662639977,0.025927231779786508,0.08739593722203232,0.17024201403189632,0.296490313350664,-23.0
2016-11-01,22.0,extreme fear,5153.580078125,0.007744161465425448,0.01892466667399373,0.09364754401237296,0.17885814359177643,0.3032745554232059,-27.0
2016-11-02,18.0,extreme fear,5105.56982421875,0.028498288145978767,0.02939536296479206,0.10991920875323147,0.19492240350635748,0.31521851088066644,-25.0
2016-11-03,14.0,extreme fear,5058.41015625,0.029730615705743757,0.04951753075208143,0.11963040357449262,0.20643838038909523,0.33726600502103166,-32.0
2016-11-04,14.0,extreme fear,5046.3701171875,0.03779741510518764,0.05679921927174214,0.12441618095308682,0.2128697859286619,0.344816131954377,-19.0
2016-11-07,34.0,fear,5166.169921875,0.01011000049525923,0.04405388270066801,0.09993482236258355,0.1863992531035934,0.3100188122925629,8.0
2016-11-08,30.0,fear,5193.490234375,0.015814005438749668,0.04310581493433596,0.10045074080495153,0.177620383390114,0.3072365231865162,8.0
2016-11-09,42.0,fear,5251.06982421875,0.008285978926727333,0.036836336643081724,0.09199269382513298,0.16571102373019042,0.28546182599881287,24.0
2016-11-10,38.0,fear,5208.7998046875,0.024030566512386775,0.039114621796685345,0.10658120432088802,0.1806308847463849,0.29606438998307216,24.0
2016-11-11,48.0,neutral,5237.10986328125,0.01611574027413476,0.04329109389767538,0.10415285819414688,0.17810591686190835,0.29033002439676814,34.0
2016-11-14,57.0,greed,5218.39990234375,0.02883258541951217,0.041827001306131706,0.11517707540822109,0.15193169302244547,0.29117550269792614,23.0
2016-11-15,63.0,greed,5275.6201171875,0.02098899807209431,0.03435235601561204,0.102221117741083,0.14775699317041924,0.27116998797719827,33.0
2016-11-16,60.0,greed,5294.580078125,0.01626193133086784,0.026929440299539698,0.10274658083793686,0.1490430035136905,0.2830649341067757,18.0
2016-11-17,63.0,greed,5333.97021484375,0.012176615994311968,0.023147809528238472,0.09973433653384833,0.14991645437359735,0.27162128130878416,25.0
2016-11-18,61.0,greed,5321.509765625,0.008888510037939223,0.030523325697998205,0.10130961718233022,0.15356547884048122,0.2760870993421818,13.0
2016-11-21,68.0,greed,5368.85986328125,0.0020600386069660193,0.019104673079940016,0.08691787720802058,0.14791970296737045,0.27820061525589046,11.0
2016-11-22,67.0,greed,5386.35009765625,-0.011634951449269737,0.011337886158815147,0.08520797063250796,0.15203424454809955,0.2749560906316557,4.0
2016-11-23,70.0,greed,5380.68017578125,-0.024080656769603803,0.015241523923709588,0.08943473888830966,0.1541644807953224,0.2803511695897676,10.0
2016-11-25,71.0,greed,5398.919921875,-0.026536792840871293,0.016395875621823874,0.07900099014306616,0.14896868839868516,0.2740548330160075,8.0
2016-11-28,72.0,greed,5368.81005859375,-0.011160745345998424,0.01299170565521357,0.09969056843532464,0.15454261780213274,0.2875031502030454,11.0
2016-11-29,72.0,greed,5379.919921875,-0.008721304881178837,0.009697155837371296,0.08946235259223112,0.16113811522084265,0.26849288387555137,4.0
2016-11-30,73.0,greed,5323.68017578125,0.013163749047615525,0.011165197653431047,0.1027615871267975,0.18448133555696256,0.29120645641245635,6.0
2016-12-01,71.0,greed,5251.10986328125,0.031659973668141106,0.03389192370325733,0.11389407726584588,0.19892372083171028,0.30402715274198444,1.0
2016-12-02,71.0,greed,5255.64990234375,0.03593277732826783,0.0421165986641423,0.11003021209225072,0.1939646238223356,0.28915933197263244,0.0
2016-12-05,75.0,greed,5308.89013671875,0.01952383637153443,0.03372640986655728,0.09958007311401951,0.1861951783964968,0.27375210011729467,3.0
2016-12-06,79.0,extreme greed,5333.0,0.024532172909244254,0.03526346495288779,0.09484531381844175,0.18540404380742537,0.27065064369257463,7.0
2016-12-07,83.0,extreme greed,5393.759765625,0.007955518620512247,0.025596256524738292,0.08676141229466205,0.1509448309950192,0.2630966412647717,10.0
